Timestamp,['1da98322-927bf059 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Current C']
2017-06-23T00:00:00-06:00,217.5323111216227 A
2017-06-24T00:00:00-06:00,303.58624569574994 A
2017-06-25T00:00:00-06:00,221.46500293413797 A
2017-06-26T00:00:00-06:00,136.91954692204794 A
2017-06-27T00:00:00-06:00,137.0852896372477 A
2017-06-28T00:00:00-06:00,133.27631084124246 A
2017-06-29T00:00:00-06:00,132.12483636538187 A
2017-06-30T00:00:00-06:00,131.2840294043223 A
2017-07-01T00:00:00-06:00,133.3412811756134 A
2017-07-02T00:00:00-06:00,133.92051467075143 A
2017-07-03T00:00:00-06:00,137.28069957097372 A
2017-07-04T00:00:00-06:00,133.2592178185781 A
2017-07-05T00:00:00-06:00,132.65742762883505 A
2017-07-06T00:00:00-06:00,132.5913553237915 A
2017-07-07T00:00:00-06:00,132.5371925830841 A
2017-07-08T00:00:00-06:00,133.61584695180258 A
2017-07-09T00:00:00-06:00,130.26546502113342 A
2017-07-10T00:00:00-06:00,129.32091108957925 A
2017-07-11T00:00:00-06:00,130.3427391052246 A
2017-07-12T00:00:00-06:00,128.919819355011 A
2017-07-13T00:00:00-06:00,130.0032261212667 A
2017-07-14T00:00:00-06:00,128.7901920477549 A
2017-07-15T00:00:00-06:00,132.37932221094766 A
2017-07-16T00:00:00-06:00,132.31687577565512 A
2017-07-17T00:00:00-06:00,133.79313205150848 A
2017-07-18T00:00:00-06:00,134.57267491022745 A
2017-07-19T00:00:00-06:00,135.097083568573 A
2017-07-20T00:00:00-06:00,133.3417035738627 A
2017-07-21T00:00:00-06:00,134.5642965634664 A
2017-07-22T00:00:00-06:00,137.43331259869515 A
2017-07-23T00:00:00-06:00,135.351327419281 A
2017-07-24T00:00:00-06:00,135.7315904299418 A
2017-07-25T00:00:00-06:00,132.20356599489847 A
2017-07-26T00:00:00-06:00,131.40821401278177 A
2017-07-27T00:00:00-06:00,131.43080512682596 A
2017-07-28T00:00:00-06:00,130.9431574344635 A
2017-07-29T00:00:00-06:00,133.77493302027383 A
2017-07-30T00:00:00-06:00,132.49489029248556 A
2017-07-31T00:00:00-06:00,136.27288325627646 A
2017-08-01T00:00:00-06:00,136.81254148483276 A
2017-08-02T00:00:00-06:00,136.86893574396768 A
2017-08-03T00:00:00-06:00,135.53702759742737 A
