Timestamp,['1ef4684e-3b513c82 0070-QUINNEY COLLEGE OF LAW Power Meter 316931 Current B']
2017-06-27T00:00:00-06:00,42.06057721376419 A
2017-06-28T00:00:00-06:00,42.28310505549113 A
2017-06-29T00:00:00-06:00,43.758844355742134 A
2017-06-30T00:00:00-06:00,41.52215427160263 A
2017-07-01T00:00:00-06:00,35.09926070769628 A
2017-07-02T00:00:00-06:00,33.73596694072088 A
2017-07-03T00:00:00-06:00,39.983943363030754 A
2017-07-04T00:00:00-06:00,39.473083794116974 A
2017-07-05T00:00:00-06:00,40.98596495389938 A
2017-07-06T00:00:00-06:00,42.101585467656456 A
2017-07-07T00:00:00-06:00,38.794536769390106 A
2017-07-08T00:00:00-06:00,35.022270917892456 A
2017-07-09T00:00:00-06:00,32.393476804097496 A
2017-07-10T00:00:00-06:00,42.62648083766302 A
2017-07-11T00:00:00-06:00,43.536324779192604 A
2017-07-12T00:00:00-06:00,43.11226656039556 A
2017-07-13T00:00:00-06:00,39.51796029011408 A
2017-07-14T00:00:00-06:00,42.353160202503204 A
2017-07-15T00:00:00-06:00,33.14557074507078 A
2017-07-16T00:00:00-06:00,29.97914531826973 A
2017-07-17T00:00:00-06:00,45.65394687652588 A
2017-07-18T00:00:00-06:00,41.055120627085365 A
2017-07-19T00:00:00-06:00,53.23382325967153 A
2017-07-20T00:00:00-06:00,44.189887722333275 A
2017-07-21T00:00:00-06:00,39.01880580186844 A
2017-07-22T00:00:00-06:00,34.94446089863777 A
2017-07-23T00:00:00-06:00,30.47020337978999 A
2017-07-24T00:00:00-06:00,39.86051952838898 A
2017-07-25T00:00:00-06:00,43.330410520235695 A
2017-07-26T00:00:00-06:00,41.15864624579748 A
2017-07-27T00:00:00-06:00,38.87019189198812 A
2017-07-28T00:00:00-06:00,41.299510498841606 A
2017-07-29T00:00:00-06:00,34.61365196108818 A
2017-07-30T00:00:00-06:00,32.66775439182917 A
2017-07-31T00:00:00-06:00,37.37848271926244 A
2017-08-01T00:00:00-06:00,40.46774991353353 A
2017-08-02T00:00:00-06:00,41.789230048656464 A
2017-08-03T00:00:00-06:00,39.20902065436045 A
2017-08-04T00:00:00-06:00,42.15669467422988 A
2017-08-05T00:00:00-06:00,34.634004175662994 A
2017-08-06T00:00:00-06:00,30.341862837473553 A
2017-08-07T00:00:00-06:00,43.79176638523737 A
2017-08-08T00:00:00-06:00,42.31756909688314 A
2017-08-09T00:00:00-06:00,45.33473541339239 A
2017-08-10T00:00:00-06:00,40.2881749944484 A
2017-08-11T00:00:00-06:00,39.427326341470085 A
2017-08-12T00:00:00-06:00,35.61455331246058 A
2017-08-13T00:00:00-06:00,30.712479482094448 A
2017-08-14T00:00:00-06:00,48.01232588291168 A
2017-08-15T00:00:00-06:00,42.25388745466868 A
2017-08-16T00:00:00-06:00,43.62811994552612 A
2017-08-17T00:00:00-06:00,41.198912024497986 A
2017-08-18T00:00:00-06:00,38.65739103158315 A
2017-08-19T00:00:00-06:00,34.72097862760226 A
2017-08-20T00:00:00-06:00,32.279270420471825 A
2017-08-21T00:00:00-06:00,42.5854163368543 A
2017-08-22T00:00:00-06:00,51.793614407380424 A
2017-08-23T00:00:00-06:00,48.14716204007467 A
2017-08-24T00:00:00-06:00,42.876471201578774 A
2017-08-25T00:00:00-06:00,43.381022453308105 A
2017-08-26T00:00:00-06:00,36.2555268506209 A
2017-08-27T00:00:00-06:00,31.614349792400997 A
2017-08-28T00:00:00-06:00,44.393861957218334 A
2017-08-29T00:00:00-06:00,47.10614885309691 A
2017-08-30T00:00:00-06:00,46.83947475751241 A
2017-08-31T00:00:00-06:00,47.744661370913185 A
2017-09-01T00:00:00-06:00,42.58159307638804 A
2017-09-02T00:00:00-06:00,35.4001013537248 A
2017-09-03T00:00:00-06:00,31.49829004187333 A
2017-09-04T00:00:00-06:00,40.65005648136139 A
2017-09-05T00:00:00-06:00,44.65129141012827 A
2017-09-06T00:00:00-06:00,46.60057266553243 A
2017-09-07T00:00:00-06:00,47.74037903547287 A
2017-09-08T00:00:00-06:00,50.99653254057232 A
2017-09-09T00:00:00-06:00,39.50034817059835 A
2017-09-10T00:00:00-06:00,30.649877220392227 A
2017-09-11T00:00:00-06:00,46.04090921084086 A
2017-09-12T00:00:00-06:00,46.56518958012263 A
2017-09-13T00:00:00-06:00,54.96588804324468 A
2017-09-14T00:00:00-06:00,58.466449638207756 A
2017-09-15T00:00:00-06:00,53.71794420480728 A
2017-09-16T00:00:00-06:00,34.871477246284485 A
2017-09-17T00:00:00-06:00,32.01369473338127 A
2017-09-18T00:00:00-06:00,48.77762738863627 A
2017-09-19T00:00:00-06:00,57.46287296215693 A
2017-09-20T00:00:00-06:00,50.73554068803787 A
2017-09-21T00:00:00-06:00,58.212930043538414 A
2017-09-22T00:00:00-06:00,61.37569042046865 A
2017-09-23T00:00:00-06:00,50.24486988782883 A
2017-09-24T00:00:00-06:00,64.00929470856984 A
2017-09-25T00:00:00-06:00,58.99974113702774 A
2017-09-26T00:00:00-06:00,51.49865239858627 A
2017-09-27T00:00:00-06:00,50.5360858241717 A
2017-09-28T00:00:00-06:00,55.11233143011729 A
2017-09-29T00:00:00-06:00,48.798160473505654 A
2017-09-30T00:00:00-06:00,40.60537620385488 A
2017-10-01T00:00:00-06:00,34.87158120671908 A
2017-10-02T00:00:00-06:00,62.18696973721186 A
2017-10-03T00:00:00-06:00,57.39821579058965 A
2017-10-04T00:00:00-06:00,54.82748272021612 A
2017-10-05T00:00:00-06:00,51.425277549342105 A
2017-10-06T00:00:00-06:00,51.031881054242454 A
2017-10-07T00:00:00-06:00,37.83498148123423 A
2017-10-08T00:00:00-06:00,34.689385076363884 A
2017-10-09T00:00:00-06:00,56.76176639397939 A
2017-10-10T00:00:00-06:00,56.96653312444687 A
2017-10-11T00:00:00-06:00,50.090592642625175 A
2017-10-12T00:00:00-06:00,50.54088546832403 A
2017-10-13T00:00:00-06:00,53.272360821564995 A
2017-10-14T00:00:00-06:00,52.99186805884043 A
2017-10-15T00:00:00-06:00,51.5545000632604 A
2017-10-16T00:00:00-06:00,61.86367775996526 A
2017-10-17T00:00:00-06:00,56.15240647395452 A
2017-10-18T00:00:00-06:00,52.387506822745 A
2017-10-19T00:00:00-06:00,55.419864197572075 A
2017-10-20T00:00:00-06:00,57.12225755055746 A
2017-10-21T00:00:00-06:00,49.53207768996557 A
2017-10-22T00:00:00-06:00,44.613181829452515 A
2017-10-23T00:00:00-06:00,53.33041636149088 A
2017-10-24T00:00:00-06:00,54.06342156728109 A
2017-10-25T00:00:00-06:00,54.74081015586853 A
2017-10-26T00:00:00-06:00,55.22473557790121 A
2017-10-27T00:00:00-06:00,50.82324494918188 A
2017-10-28T00:00:00-06:00,35.092261373996735 A
2017-10-29T00:00:00-06:00,35.508515606323876 A
2017-10-30T00:00:00-06:00,59.23090535402298 A
2017-10-31T00:00:00-06:00,52.50381420056025 A
2017-11-01T00:00:00-06:00,62.12899839878082 A
2017-11-02T00:00:00-06:00,59.057522455851235 A
2017-11-03T00:00:00-06:00,60.94558117787043 A
2017-11-04T00:00:00-06:00,55.007169346014656 A
2017-11-05T00:00:00-06:00,50.41553234100342 A
2017-11-06T00:00:00-07:00,66.31283648808797 A
2017-11-07T00:00:00-07:00,64.07216248909633 A
2017-11-08T00:00:00-07:00,63.01687594254812 A
