Timestamp,['1daaa925-690a5ef8 0037-ARCHITECTURE BLDG Power Meter (301159) Volts B-N']
2017-12-03T00:00:00-07:00,122.0546236038208 V
2017-12-04T00:00:00-07:00,122.00249775250752 V
2017-12-05T00:00:00-07:00,122.11052203178406 V
2017-12-06T00:00:00-07:00,122.13122161229451 V
2017-12-07T00:00:00-07:00,122.20975820223491 V
2017-12-08T00:00:00-07:00,122.29976034164429 V
2017-12-09T00:00:00-07:00,122.33675320943196 V
2017-12-10T00:00:00-07:00,122.28838125864665 V
2017-12-11T00:00:00-07:00,122.0839159488678 V
2017-12-12T00:00:00-07:00,121.9883798758189 V
2017-12-13T00:00:00-07:00,122.11001785596211 V
2017-12-14T00:00:00-07:00,122.20872378349304 V
2017-12-15T00:00:00-07:00,122.11216314633687 V
2017-12-16T00:00:00-07:00,122.21817517280579 V
2017-12-17T00:00:00-07:00,122.10404984156291 V
2017-12-18T00:00:00-07:00,122.17105127417523 V
2017-12-19T00:00:00-07:00,122.02550005912781 V
2017-12-20T00:00:00-07:00,122.15271194775899 V
2017-12-21T00:00:00-07:00,122.0152359008789 V
2017-12-22T00:00:00-07:00,122.05575188000996 V
2017-12-23T00:00:00-07:00,122.02778728802998 V
2017-12-24T00:00:00-07:00,122.10685102144878 V
2017-12-25T00:00:00-07:00,122.23441116015117 V
2017-12-26T00:00:00-07:00,122.25610971450806 V
2017-12-27T00:00:00-07:00,121.92834520339966 V
2017-12-28T00:00:00-07:00,122.22273071606953 V
2017-12-29T00:00:00-07:00,122.09075315793355 V
2017-12-30T00:00:00-07:00,122.02140657107036 V
2017-12-31T00:00:00-07:00,121.97772018114726 V
