Timestamp,['1cac2883-d67ad6ff 0077-CHRISTENSEN CNTR Power Meter (300172) Current C']
2017-07-17T00:00:00-06:00,89.10882864793142 A
2017-07-18T00:00:00-06:00,94.01321687698365 A
2017-07-19T00:00:00-06:00,93.7288766304652 A
2017-07-20T00:00:00-06:00,92.7524070183436 A
2017-07-21T00:00:00-06:00,84.59658490022024 A
2017-07-22T00:00:00-06:00,76.93424475987753 A
2017-07-23T00:00:00-06:00,74.11584077808592 A
2017-07-24T00:00:00-06:00,75.43625574641757 A
2017-07-25T00:00:00-06:00,90.97795630031162 A
2017-07-26T00:00:00-06:00,93.76410802470313 A
2017-07-27T00:00:00-06:00,90.45063286622366 A
2017-07-28T00:00:00-06:00,78.94037543270323 A
2017-07-29T00:00:00-06:00,67.6448025531239 A
2017-07-30T00:00:00-06:00,67.56225939061906 A
2017-07-31T00:00:00-06:00,87.36741622553932 A
2017-08-01T00:00:00-06:00,92.54359633922577 A
2017-08-02T00:00:00-06:00,91.62827235327826 A
2017-08-03T00:00:00-06:00,86.4919868045383 A
2017-08-04T00:00:00-06:00,89.69299443934901 A
2017-08-05T00:00:00-06:00,82.58618402216169 A
2017-08-06T00:00:00-06:00,78.43706575234731 A
2017-08-07T00:00:00-06:00,88.3484335846371 A
2017-08-08T00:00:00-06:00,90.28082994090187 A
2017-08-09T00:00:00-06:00,85.91769691573249 A
2017-08-10T00:00:00-06:00,83.71338691711426 A
2017-08-11T00:00:00-06:00,85.81820242366831 A
2017-08-12T00:00:00-06:00,81.27096474435595 A
2017-08-13T00:00:00-06:00,81.81546311378479 A
2017-08-14T00:00:00-06:00,84.7480002562205 A
2017-08-15T00:00:00-06:00,84.58519848982493 A
2017-08-16T00:00:00-06:00,89.68184924390582 A
2017-08-17T00:00:00-06:00,86.3147483057446 A
2017-08-18T00:00:00-06:00,96.44430752330356 A
2017-08-19T00:00:00-06:00,98.32547658284506 A
2017-08-20T00:00:00-06:00,94.3101691140069 A
2017-08-21T00:00:00-06:00,99.80674114757115 A
2017-08-22T00:00:00-06:00,117.2525609281328 A
2017-08-23T00:00:00-06:00,120.46904879146152 A
2017-08-24T00:00:00-06:00,103.73774463865492 A
2017-08-25T00:00:00-06:00,94.84963913758595 A
2017-08-26T00:00:00-06:00,85.9728503730562 A
2017-08-27T00:00:00-06:00,82.54027730358972 A
2017-08-28T00:00:00-06:00,96.9355442268261 A
2017-08-29T00:00:00-06:00,104.88596969075722 A
2017-08-30T00:00:00-06:00,107.47507530848185 A
2017-08-31T00:00:00-06:00,105.38748310407003 A
2017-09-01T00:00:00-06:00,99.6572039630678 A
2017-09-02T00:00:00-06:00,96.35791322390239 A
2017-09-03T00:00:00-06:00,89.00391608079275 A
2017-09-04T00:00:00-06:00,87.61796502007378 A
2017-09-05T00:00:00-06:00,106.28650685416328 A
2017-09-06T00:00:00-06:00,102.2668304098977 A
2017-09-07T00:00:00-06:00,104.85299860901303 A
2017-09-08T00:00:00-06:00,91.91441750693154 A
2017-09-09T00:00:00-06:00,83.74708864423964 A
2017-09-10T00:00:00-06:00,82.77342771424188 A
2017-09-11T00:00:00-06:00,105.22168969048394 A
2017-09-12T00:00:00-06:00,104.9205219136344 A
2017-09-13T00:00:00-06:00,102.65354350937737 A
2017-09-14T00:00:00-06:00,98.12000789907243 A
2017-09-15T00:00:00-06:00,89.79828489091662 A
2017-09-16T00:00:00-06:00,83.06081908808814 A
2017-09-17T00:00:00-06:00,70.73129796849356 A
2017-09-18T00:00:00-06:00,95.471946630213 A
2017-09-19T00:00:00-06:00,100.23207089106242 A
2017-09-20T00:00:00-06:00,110.61908719539642 A
2017-09-21T00:00:00-06:00,90.13756218221452 A
2017-09-22T00:00:00-06:00,80.40796714491314 A
2017-09-23T00:00:00-06:00,73.42277501424154 A
2017-09-24T00:00:00-06:00,73.96745679378509 A
2017-09-25T00:00:00-06:00,96.56747212939793 A
2017-09-26T00:00:00-06:00,111.36334949599372 A
2017-09-27T00:00:00-06:00,95.92283866670397 A
2017-09-28T00:00:00-06:00,94.55732114977307 A
2017-09-29T00:00:00-06:00,94.20824080175824 A
2017-09-30T00:00:00-06:00,88.18917122681935 A
2017-10-01T00:00:00-06:00,76.98074890772502 A
2017-10-02T00:00:00-06:00,93.00363701184591 A
2017-10-03T00:00:00-06:00,92.03045248455471 A
2017-10-04T00:00:00-06:00,93.70425395700667 A
2017-10-05T00:00:00-06:00,96.82941851615905 A
2017-10-06T00:00:00-06:00,84.3111923178037 A
2017-10-07T00:00:00-06:00,81.2672642323706 A
2017-10-08T00:00:00-06:00,84.14258952405717 A
2017-10-09T00:00:00-06:00,87.202056561576 A
2017-10-10T00:00:00-06:00,91.36205689377255 A
2017-10-11T00:00:00-06:00,89.50173286861843 A
2017-10-12T00:00:00-06:00,84.90982567734189 A
2017-10-13T00:00:00-06:00,89.52710060013665 A
2017-10-14T00:00:00-06:00,86.01676649517483 A
2017-10-15T00:00:00-06:00,73.78137019077937 A
2017-10-16T00:00:00-06:00,97.05399436950684 A
2017-10-17T00:00:00-06:00,103.44160784615411 A
2017-10-18T00:00:00-06:00,92.59660986794366 A
2017-10-19T00:00:00-06:00,100.35183186266157 A
2017-10-20T00:00:00-06:00,85.46198655499353 A
2017-10-21T00:00:00-06:00,87.47389602131314 A
2017-10-22T00:00:00-06:00,88.13982486195034 A
2017-10-23T00:00:00-06:00,94.11930673652225 A
2017-10-24T00:00:00-06:00,102.47399532927408 A
2017-10-25T00:00:00-06:00,91.30415621731017 A
2017-10-26T00:00:00-06:00,102.59995602236853 A
2017-10-27T00:00:00-06:00,87.2370968302091 A
2017-10-28T00:00:00-06:00,84.25143976873822 A
2017-10-29T00:00:00-06:00,76.54032172759374 A
2017-10-30T00:00:00-06:00,87.05652491913901 A
2017-10-31T00:00:00-06:00,77.69170795679092 A
2017-11-01T00:00:00-06:00,88.82382958200243 A
2017-11-02T00:00:00-06:00,96.79930289851295 A
2017-11-03T00:00:00-06:00,84.62733849684398 A
2017-11-04T00:00:00-06:00,79.01185567114088 A
2017-11-05T00:00:00-06:00,75.67461533610026 A
2017-11-06T00:00:00-07:00,85.91138203938802 A
2017-11-07T00:00:00-07:00,88.55325111680561 A
2017-11-08T00:00:00-07:00,88.73629531065623 A
2017-11-09T00:00:00-07:00,91.5025610698594 A
2017-11-10T00:00:00-07:00,84.77462597025766 A
2017-11-11T00:00:00-07:00,82.54495196077559 A
2017-11-12T00:00:00-07:00,72.48745433224572 A
2017-11-13T00:00:00-07:00,90.55744173129399 A
2017-11-14T00:00:00-07:00,93.41362725496292 A
2017-11-15T00:00:00-07:00,89.60514721208149 A
2017-11-16T00:00:00-07:00,91.22166994942559 A
2017-11-17T00:00:00-07:00,83.36103760931226 A
2017-11-18T00:00:00-07:00,76.69828102853563 A
2017-11-19T00:00:00-07:00,77.24079068634245 A
2017-11-20T00:00:00-07:00,87.43161913288964 A
2017-11-21T00:00:00-07:00,89.82145447068744 A
2017-11-22T00:00:00-07:00,85.02837897671594 A
2017-11-23T00:00:00-07:00,70.65299966732661 A
2017-11-24T00:00:00-07:00,68.34240514292661 A
2017-11-25T00:00:00-07:00,64.44867138465246 A
2017-11-26T00:00:00-07:00,63.68585764037238 A
2017-11-27T00:00:00-07:00,84.7783389793502 A
2017-11-28T00:00:00-07:00,89.25624391237895 A
2017-11-29T00:00:00-07:00,91.94130566252602 A
2017-11-30T00:00:00-07:00,92.05314226150513 A
2017-12-01T00:00:00-07:00,85.64494287172953 A
2017-12-02T00:00:00-07:00,81.63177567852868 A
2017-12-03T00:00:00-07:00,76.99362497064803 A
2017-12-04T00:00:00-07:00,93.42488077216679 A
2017-12-05T00:00:00-07:00,98.70722346835666 A
2017-12-06T00:00:00-07:00,97.88397336535984 A
2017-12-07T00:00:00-07:00,103.2741528749466 A
2017-12-08T00:00:00-07:00,84.42824565569559 A
2017-12-09T00:00:00-07:00,78.37066107590994 A
2017-12-10T00:00:00-07:00,85.5499814828237 A
2017-12-11T00:00:00-07:00,103.29054321712918 A
2017-12-12T00:00:00-07:00,87.04955137438245 A
2017-12-13T00:00:00-07:00,101.69354875087738 A
2017-12-14T00:00:00-07:00,103.9758679231008 A
2017-12-15T00:00:00-07:00,84.77720770306057 A
2017-12-16T00:00:00-07:00,83.35060753027598 A
2017-12-17T00:00:00-07:00,76.51784182654487 A
2017-12-18T00:00:00-07:00,86.36548407270365 A
2017-12-19T00:00:00-07:00,81.61116908391317 A
2017-12-20T00:00:00-07:00,85.51199734740787 A
2017-12-21T00:00:00-07:00,82.11008003287846 A
2017-12-22T00:00:00-07:00,81.7076881620619 A
2017-12-23T00:00:00-07:00,76.06554318004184 A
2017-12-24T00:00:00-07:00,74.45719220108457 A
2017-12-25T00:00:00-07:00,80.81560169855753 A
2017-12-26T00:00:00-07:00,78.42059245374467 A
2017-12-27T00:00:00-07:00,70.80912319819133 A
2017-12-28T00:00:00-07:00,67.91367684337828 A
2017-12-29T00:00:00-07:00,63.36225894027286 A
2017-12-30T00:00:00-07:00,62.49546389712228 A
2017-12-31T00:00:00-07:00,65.26863030725055 A
