Timestamp,"['1d942987-08457d8a 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) W-hours, Received']"
2017-07-09T00:00:00-06:00,567.15625 kWh
2017-07-10T00:00:00-06:00,658.15625 kWh
2017-07-11T00:00:00-06:00,692.1875 kWh
2017-07-12T00:00:00-06:00,727.625 kWh
2017-07-13T00:00:00-06:00,730.90625 kWh
2017-07-14T00:00:00-06:00,683.125 kWh
2017-07-15T00:00:00-06:00,614.75 kWh
2017-07-16T00:00:00-06:00,567.28125 kWh
2017-07-17T00:00:00-06:00,665.9375 kWh
2017-07-18T00:00:00-06:00,707.84375 kWh
2017-07-19T00:00:00-06:00,691.90625 kWh
2017-07-20T00:00:00-06:00,684.1875 kWh
2017-07-21T00:00:00-06:00,679.59375 kWh
2017-07-22T00:00:00-06:00,565.65625 kWh
2017-07-23T00:00:00-06:00,614.625 kWh
2017-07-24T00:00:00-06:00,565.25 kWh
2017-07-25T00:00:00-06:00,677.125 kWh
2017-07-26T00:00:00-06:00,695.15625 kWh
2017-07-27T00:00:00-06:00,740.25 kWh
2017-07-28T00:00:00-06:00,682.46875 kWh
2017-07-29T00:00:00-06:00,626.5625 kWh
2017-07-30T00:00:00-06:00,606.34375 kWh
2017-07-31T00:00:00-06:00,725.96875 kWh
2017-08-01T00:00:00-06:00,714.15625 kWh
2017-08-02T00:00:00-06:00,697 kWh
2017-08-03T00:00:00-06:00,680 kWh
2017-08-04T00:00:00-06:00,669.09375 kWh
2017-08-05T00:00:00-06:00,607 kWh
2017-08-06T00:00:00-06:00,596.28125 kWh
2017-08-07T00:00:00-06:00,665.375 kWh
2017-08-08T00:00:00-06:00,679.0625 kWh
2017-08-09T00:00:00-06:00,692.3125 kWh
2017-08-10T00:00:00-06:00,634.28125 kWh
2017-08-11T00:00:00-06:00,646.84375 kWh
2017-08-12T00:00:00-06:00,561.28125 kWh
2017-08-13T00:00:00-06:00,567.78125 kWh
2017-08-14T00:00:00-06:00,650.15625 kWh
2017-08-15T00:00:00-06:00,692.53125 kWh
2017-08-16T00:00:00-06:00,686.875 kWh
2017-08-17T00:00:00-06:00,674.375 kWh
2017-08-18T00:00:00-06:00,687.8125 kWh
2017-08-19T00:00:00-06:00,623.75 kWh
2017-08-20T00:00:00-06:00,611.4375 kWh
2017-08-21T00:00:00-06:00,765.09375 kWh
2017-08-22T00:00:00-06:00,790.1875 kWh
2017-08-23T00:00:00-06:00,808.0625 kWh
2017-08-24T00:00:00-06:00,762.71875 kWh
2017-08-25T00:00:00-06:00,742.9375 kWh
2017-08-26T00:00:00-06:00,673.375 kWh
2017-08-27T00:00:00-06:00,647.71875 kWh
2017-08-28T00:00:00-06:00,854.34375 kWh
2017-08-29T00:00:00-06:00,813.34375 kWh
2017-08-30T00:00:00-06:00,921.8125 kWh
2017-08-31T00:00:00-06:00,883.46875 kWh
2017-09-01T00:00:00-06:00,818.28125 kWh
2017-09-02T00:00:00-06:00,688.34375 kWh
2017-09-03T00:00:00-06:00,660.71875 kWh
2017-09-04T00:00:00-06:00,672.3125 kWh
2017-09-05T00:00:00-06:00,834.9375 kWh
2017-09-06T00:00:00-06:00,907.5 kWh
2017-09-07T00:00:00-06:00,859.21875 kWh
2017-09-08T00:00:00-06:00,813.6875 kWh
2017-09-09T00:00:00-06:00,710.84375 kWh
2017-09-10T00:00:00-06:00,656 kWh
2017-09-11T00:00:00-06:00,933.125 kWh
2017-09-12T00:00:00-06:00,916.71875 kWh
2017-09-13T00:00:00-06:00,906.46875 kWh
2017-09-14T00:00:00-06:00,875.28125 kWh
2017-09-15T00:00:00-06:00,832.375 kWh
2017-09-16T00:00:00-06:00,715.1875 kWh
2017-09-17T00:00:00-06:00,681 kWh
2017-09-18T00:00:00-06:00,898.1875 kWh
2017-09-19T00:00:00-06:00,833.625 kWh
2017-09-20T00:00:00-06:00,913.78125 kWh
2017-09-21T00:00:00-06:00,866.15625 kWh
2017-09-22T00:00:00-06:00,784.46875 kWh
2017-09-23T00:00:00-06:00,667.96875 kWh
2017-09-24T00:00:00-06:00,641.5 kWh
2017-09-25T00:00:00-06:00,857.15625 kWh
2017-09-26T00:00:00-06:00,878.0625 kWh
2017-09-27T00:00:00-06:00,915.375 kWh
2017-09-28T00:00:00-06:00,925.84375 kWh
2017-09-29T00:00:00-06:00,826.59375 kWh
2017-09-30T00:00:00-06:00,741.03125 kWh
2017-10-01T00:00:00-06:00,741.15625 kWh
2017-10-02T00:00:00-06:00,864.1875 kWh
2017-10-03T00:00:00-06:00,860.53125 kWh
2017-10-04T00:00:00-06:00,890.03125 kWh
2017-10-05T00:00:00-06:00,872.0625 kWh
2017-10-06T00:00:00-06:00,827.15625 kWh
2017-10-07T00:00:00-06:00,638.15625 kWh
2017-10-08T00:00:00-06:00,658.625 kWh
2017-10-09T00:00:00-06:00,739.90625 kWh
2017-10-10T00:00:00-06:00,707 kWh
2017-10-11T00:00:00-06:00,700.90625 kWh
2017-10-12T00:00:00-06:00,735 kWh
2017-10-13T00:00:00-06:00,727.625 kWh
2017-10-14T00:00:00-06:00,703.75 kWh
2017-10-15T00:00:00-06:00,687.5 kWh
2017-10-16T00:00:00-06:00,898.6875 kWh
2017-10-17T00:00:00-06:00,867.34375 kWh
2017-10-18T00:00:00-06:00,934.03125 kWh
2017-10-19T00:00:00-06:00,942.5625 kWh
2017-10-20T00:00:00-06:00,808.5 kWh
2017-10-21T00:00:00-06:00,708.875 kWh
2017-10-22T00:00:00-06:00,710.78125 kWh
2017-10-23T00:00:00-06:00,888.90625 kWh
2017-10-24T00:00:00-06:00,872.53125 kWh
2017-10-25T00:00:00-06:00,907.8125 kWh
2017-10-26T00:00:00-06:00,889.21875 kWh
2017-10-27T00:00:00-06:00,900.125 kWh
