Timestamp,"['1e68925a-9802c45d 0004-KINGSBURY HALL Power Meter 2 (301209) Watts, 3-Ph total']"
2017-07-05T00:00:00-06:00,90.73563385009766 kW
2017-07-06T00:00:00-06:00,28.28146743774414 kW
2017-07-07T00:00:00-06:00,31.903188705444336 kW
2017-07-08T00:00:00-06:00,10.677141189575195 kW
2017-07-09T00:00:00-06:00,11.07041072845459 kW
2017-07-10T00:00:00-06:00,27.528793334960938 kW
2017-07-11T00:00:00-06:00,26.403339385986328 kW
2017-07-12T00:00:00-06:00,93.83131408691406 kW
2017-07-13T00:00:00-06:00,30.284643173217773 kW
2017-07-14T00:00:00-06:00,36.89090347290039 kW
2017-07-15T00:00:00-06:00,98.48783111572266 kW
2017-07-16T00:00:00-06:00,10.928520202636719 kW
2017-07-17T00:00:00-06:00,34.58070373535156 kW
2017-07-18T00:00:00-06:00,39.8493766784668 kW
2017-07-19T00:00:00-06:00,35.21961212158203 kW
2017-07-20T00:00:00-06:00,34.1382942199707 kW
2017-07-21T00:00:00-06:00,35.1118049621582 kW
2017-07-22T00:00:00-06:00,11.645150184631348 kW
2017-07-23T00:00:00-06:00,11.166851043701172 kW
2017-07-24T00:00:00-06:00,11.729519844055176 kW
2017-07-25T00:00:00-06:00,35.19738006591797 kW
2017-07-26T00:00:00-06:00,91.71841430664062 kW
2017-07-27T00:00:00-06:00,92.03005981445312 kW
2017-07-28T00:00:00-06:00,41.86080551147461 kW
2017-07-29T00:00:00-06:00,11.720744132995605 kW
2017-07-30T00:00:00-06:00,12.094120979309082 kW
2017-07-31T00:00:00-06:00,27.307573318481445 kW
2017-08-01T00:00:00-06:00,25.042150497436523 kW
2017-08-02T00:00:00-06:00,65.01213836669922 kW
2017-08-03T00:00:00-06:00,60.62087631225586 kW
2017-08-04T00:00:00-06:00,64.51956176757812 kW
2017-08-05T00:00:00-06:00,106.80607604980469 kW
2017-08-06T00:00:00-06:00,35.89394760131836 kW
2017-08-07T00:00:00-06:00,40.868568420410156 kW
2017-08-08T00:00:00-06:00,25.609018325805664 kW
2017-08-09T00:00:00-06:00,93.19430541992188 kW
2017-08-10T00:00:00-06:00,28.767009735107422 kW
2017-08-11T00:00:00-06:00,74.65580749511719 kW
2017-08-12T00:00:00-06:00,10.371964454650879 kW
2017-08-13T00:00:00-06:00,10.284799575805664 kW
2017-08-14T00:00:00-06:00,35.752593994140625 kW
2017-08-15T00:00:00-06:00,40.271339416503906 kW
2017-08-16T00:00:00-06:00,34.17180252075195 kW
2017-08-17T00:00:00-06:00,33.037113189697266 kW
2017-08-18T00:00:00-06:00,28.540924072265625 kW
2017-08-19T00:00:00-06:00,41.521888732910156 kW
2017-08-20T00:00:00-06:00,12.121957778930664 kW
2017-08-21T00:00:00-06:00,58.02885818481445 kW
2017-08-22T00:00:00-06:00,56.14997863769531 kW
2017-08-23T00:00:00-06:00,21.519433975219727 kW
2017-08-24T00:00:00-06:00,41.93840408325195 kW
2017-08-25T00:00:00-06:00,29.052425384521484 kW
2017-08-26T00:00:00-06:00,19.606691360473633 kW
2017-08-27T00:00:00-06:00,9.497925758361816 kW
2017-08-28T00:00:00-06:00,28.72258949279785 kW
2017-08-29T00:00:00-06:00,28.468801498413086 kW
2017-08-30T00:00:00-06:00,29.016202926635742 kW
2017-08-31T00:00:00-06:00,27.440017700195312 kW
2017-09-01T00:00:00-06:00,21.638517379760742 kW
2017-09-02T00:00:00-06:00,9.907986640930176 kW
2017-09-03T00:00:00-06:00,9.835136413574219 kW
2017-09-04T00:00:00-06:00,10.040348052978516 kW
2017-09-05T00:00:00-06:00,27.584793090820312 kW
2017-09-06T00:00:00-06:00,25.88370704650879 kW
2017-09-07T00:00:00-06:00,43.4281005859375 kW
2017-09-08T00:00:00-06:00,76.29654693603516 kW
2017-09-09T00:00:00-06:00,76.1928482055664 kW
2017-09-10T00:00:00-06:00,15.117562294006348 kW
2017-09-11T00:00:00-06:00,40.82976150512695 kW
2017-09-12T00:00:00-06:00,33.090396881103516 kW
2017-09-13T00:00:00-06:00,40.48919677734375 kW
2017-09-14T00:00:00-06:00,43.68812561035156 kW
2017-09-15T00:00:00-06:00,40.57554626464844 kW
2017-09-16T00:00:00-06:00,65.11296081542969 kW
2017-09-17T00:00:00-06:00,9.066091537475586 kW
2017-09-18T00:00:00-06:00,46.18297576904297 kW
2017-09-19T00:00:00-06:00,33.158966064453125 kW
2017-09-20T00:00:00-06:00,29.83368682861328 kW
2017-09-21T00:00:00-06:00,27.252676010131836 kW
2017-09-22T00:00:00-06:00,39.0518684387207 kW
2017-09-23T00:00:00-06:00,8.908934593200684 kW
2017-09-24T00:00:00-06:00,18.95220184326172 kW
2017-09-25T00:00:00-06:00,28.133617401123047 kW
2017-09-26T00:00:00-06:00,110.1895523071289 kW
2017-09-27T00:00:00-06:00,108.28347778320312 kW
2017-09-28T00:00:00-06:00,31.451522827148438 kW
