Timestamp,['1cf8d805-aacccc6b 0064-MERRILL ENGINEERING BLDG Power Meter (powerlogic) 316608 Current B']
2017-08-30T00:00:00-06:00,148.04166666666666 A
2017-08-31T00:00:00-06:00,148.26041666666666 A
2017-09-01T00:00:00-06:00,149.26041666666666 A
2017-09-02T00:00:00-06:00,152.38541666666666 A
2017-09-03T00:00:00-06:00,149.34375 A
2017-09-04T00:00:00-06:00,149.70833333333334 A
2017-09-05T00:00:00-06:00,150.32291666666666 A
2017-09-06T00:00:00-06:00,150.42708333333334 A
2017-09-07T00:00:00-06:00,149.51041666666666 A
2017-09-08T00:00:00-06:00,148.61290322580646 A
2017-09-09T00:00:00-06:00,147 A
2017-09-10T00:00:00-06:00,146.625 A
2017-09-11T00:00:00-06:00,145.23958333333334 A
2017-09-12T00:00:00-06:00,146.04166666666666 A
2017-09-13T00:00:00-06:00,147.60416666666666 A
2017-09-14T00:00:00-06:00,147.29166666666666 A
2017-09-15T00:00:00-06:00,146.33333333333334 A
2017-09-16T00:00:00-06:00,147.65625 A
2017-09-17T00:00:00-06:00,146.14583333333334 A
2017-09-18T00:00:00-06:00,147.13541666666666 A
2017-09-19T00:00:00-06:00,146.52083333333334 A
2017-09-20T00:00:00-06:00,146.94791666666666 A
2017-09-21T00:00:00-06:00,147.92708333333334 A
2017-09-22T00:00:00-06:00,147.55208333333334 A
2017-09-23T00:00:00-06:00,145.58333333333334 A
2017-09-24T00:00:00-06:00,146.48958333333334 A
2017-09-25T00:00:00-06:00,144.19791666666666 A
2017-09-26T00:00:00-06:00,147.14583333333334 A
2017-09-27T00:00:00-06:00,146.89583333333334 A
2017-09-28T00:00:00-06:00,147.73958333333334 A
2017-09-29T00:00:00-06:00,149.05208333333334 A
2017-09-30T00:00:00-06:00,150.44791666666666 A
2017-10-01T00:00:00-06:00,151.17708333333334 A
2017-10-02T00:00:00-06:00,150.73958333333334 A
2017-10-03T00:00:00-06:00,150.5625 A
2017-10-04T00:00:00-06:00,149.46875 A
2017-10-05T00:00:00-06:00,146.76041666666666 A
2017-10-06T00:00:00-06:00,146.92708333333334 A
2017-10-07T00:00:00-06:00,147.51041666666666 A
2017-10-08T00:00:00-06:00,147.47916666666666 A
2017-10-09T00:00:00-06:00,147.625 A
2017-10-10T00:00:00-06:00,147.125 A
2017-10-11T00:00:00-06:00,148.20833333333334 A
2017-10-12T00:00:00-06:00,144.53125 A
2017-10-13T00:00:00-06:00,145.45833333333334 A
2017-10-14T00:00:00-06:00,146.97916666666666 A
2017-10-15T00:00:00-06:00,147.08333333333334 A
2017-10-16T00:00:00-06:00,146.35416666666666 A
2017-10-17T00:00:00-06:00,148.25 A
2017-10-18T00:00:00-06:00,147.17708333333334 A
2017-10-19T00:00:00-06:00,145.82291666666666 A
2017-10-20T00:00:00-06:00,145.65625 A
2017-10-21T00:00:00-06:00,146.76041666666666 A
2017-10-22T00:00:00-06:00,147.95833333333334 A
2017-10-23T00:00:00-06:00,149.91666666666666 A
2017-10-24T00:00:00-06:00,151.05208333333334 A
2017-10-25T00:00:00-06:00,148.67708333333334 A
2017-10-26T00:00:00-06:00,147.83333333333334 A
2017-10-27T00:00:00-06:00,147.52083333333334 A
2017-10-28T00:00:00-06:00,146.27083333333334 A
2017-10-29T00:00:00-06:00,145.98958333333334 A
2017-10-30T00:00:00-06:00,146.5 A
2017-10-31T00:00:00-06:00,147.30208333333334 A
2017-11-01T00:00:00-06:00,148.84375 A
2017-11-02T00:00:00-06:00,149.13541666666666 A
2017-11-03T00:00:00-06:00,150.63541666666666 A
2017-11-04T00:00:00-06:00,150.09375 A
2017-11-05T00:00:00-06:00,150.31 A
2017-11-06T00:00:00-07:00,148.85416666666666 A
2017-11-07T00:00:00-07:00,148.66666666666666 A
2017-11-08T00:00:00-07:00,149.53125 A
2017-11-09T00:00:00-07:00,147.35416666666666 A
2017-11-10T00:00:00-07:00,147.02083333333334 A
2017-11-11T00:00:00-07:00,147.60416666666666 A
2017-11-12T00:00:00-07:00,147.58333333333334 A
2017-11-13T00:00:00-07:00,148.02083333333334 A
2017-11-14T00:00:00-07:00,146.54166666666666 A
2017-11-15T00:00:00-07:00,146.89583333333334 A
2017-11-16T00:00:00-07:00,146.5 A
2017-11-17T00:00:00-07:00,147.0625 A
2017-11-18T00:00:00-07:00,147.13541666666666 A
2017-11-19T00:00:00-07:00,147.64583333333334 A
2017-11-20T00:00:00-07:00,147.21875 A
2017-11-21T00:00:00-07:00,147.70833333333334 A
2017-11-22T00:00:00-07:00,147.02083333333334 A
2017-11-23T00:00:00-07:00,147.19791666666666 A
2017-11-24T00:00:00-07:00,148.01041666666666 A
2017-11-25T00:00:00-07:00,150.20833333333334 A
2017-11-26T00:00:00-07:00,149.57291666666666 A
