Timestamp,['20d43261-9d8c0deb 0043-NAVAL SCIENCE BLDG Power Meter 300093 Real Energy In']
2017-12-11T00:00:00-07:00,232.71875 kWh
2017-12-12T00:00:00-07:00,237.5625 kWh
2017-12-13T00:00:00-07:00,251.21875 kWh
2017-12-14T00:00:00-07:00,224.4375 kWh
2017-12-15T00:00:00-07:00,213.9375 kWh
2017-12-16T00:00:00-07:00,115.5 kWh
2017-12-17T00:00:00-07:00,115.3125 kWh
2017-12-18T00:00:00-07:00,192.25 kWh
2017-12-19T00:00:00-07:00,207.28125 kWh
2017-12-20T00:00:00-07:00,197.75 kWh
2017-12-21T00:00:00-07:00,177.0625 kWh
2017-12-22T00:00:00-07:00,180.09375 kWh
2017-12-23T00:00:00-07:00,120.5 kWh
2017-12-24T00:00:00-07:00,115.375 kWh
2017-12-25T00:00:00-07:00,110.53125 kWh
2017-12-26T00:00:00-07:00,109.34375 kWh
2017-12-27T00:00:00-07:00,195.75 kWh
2017-12-28T00:00:00-07:00,190.125 kWh
2017-12-29T00:00:00-07:00,116.28125 kWh
2017-12-30T00:00:00-07:00,119.65625 kWh
2017-12-31T00:00:00-07:00,111.53125 kWh
