Timestamp,['1cbacbc5-d6b0bb2b 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) Volt C-A']
2017-11-25T00:00:00-07:00,211.3604817390442 V
2017-11-26T00:00:00-07:00,211.41426722208658 V
2017-11-27T00:00:00-07:00,211.44890435536703 V
2017-11-28T00:00:00-07:00,211.30693817138672 V
2017-11-29T00:00:00-07:00,211.22037808100382 V
2017-11-30T00:00:00-07:00,211.12991046905518 V
2017-12-01T00:00:00-07:00,211.30780490239462 V
2017-12-02T00:00:00-07:00,211.23242362340292 V
2017-12-03T00:00:00-07:00,211.20062812169394 V
2017-12-04T00:00:00-07:00,211.0853622754415 V
2017-12-05T00:00:00-07:00,211.30689525604248 V
2017-12-06T00:00:00-07:00,211.373393535614 V
2017-12-07T00:00:00-07:00,211.53484280904135 V
2017-12-08T00:00:00-07:00,211.59307543436685 V
2017-12-09T00:00:00-07:00,211.688671429952 V
2017-12-10T00:00:00-07:00,211.5414983431498 V
2017-12-11T00:00:00-07:00,211.36624177296957 V
2017-12-12T00:00:00-07:00,211.15602159500122 V
2017-12-13T00:00:00-07:00,211.35668754577637 V
2017-12-14T00:00:00-07:00,211.54836813608804 V
2017-12-15T00:00:00-07:00,211.3527315457662 V
2017-12-16T00:00:00-07:00,211.52394898732504 V
2017-12-17T00:00:00-07:00,211.21841446558633 V
2017-12-18T00:00:00-07:00,211.33914414272513 V
2017-12-19T00:00:00-07:00,211.14388847351074 V
2017-12-20T00:00:00-07:00,211.43728971481323 V
2017-12-21T00:00:00-07:00,211.22764237721762 V
2017-12-22T00:00:00-07:00,211.34266392389932 V
2017-12-23T00:00:00-07:00,211.28631242116293 V
2017-12-24T00:00:00-07:00,211.30134312311807 V
2017-12-25T00:00:00-07:00,211.54762919743857 V
2017-12-26T00:00:00-07:00,211.58059676488242 V
2017-12-27T00:00:00-07:00,211.06554238001505 V
2017-12-28T00:00:00-07:00,211.55886522928873 V
2017-12-29T00:00:00-07:00,211.33965476353964 V
2017-12-30T00:00:00-07:00,211.2080012957255 V
2017-12-31T00:00:00-07:00,211.08356428146362 V
