Timestamp,['203a2657-d9ad994b 0066-SIMMONS PIONEER MEMORIAL THEATRE Power Meter Volts A-B']
2017-08-11T00:00:00-06:00,211.70697326660155 V
2017-08-12T00:00:00-06:00,211.76578060785928 V
2017-08-13T00:00:00-06:00,212.03696823120117 V
2017-08-14T00:00:00-06:00,211.75702349344888 V
2017-08-15T00:00:00-06:00,211.79470936457315 V
2017-08-16T00:00:00-06:00,211.56618483861288 V
2017-08-17T00:00:00-06:00,211.62565279006958 V
2017-08-18T00:00:00-06:00,211.54640563329062 V
2017-08-19T00:00:00-06:00,211.78986930847168 V
2017-08-20T00:00:00-06:00,211.78276697794595 V
2017-08-21T00:00:00-06:00,211.670419216156 V
2017-08-22T00:00:00-06:00,211.46289904912314 V
2017-08-23T00:00:00-06:00,211.63043228785196 V
2017-08-24T00:00:00-06:00,211.4724055926005 V
2017-08-25T00:00:00-06:00,211.49985710779825 V
2017-08-26T00:00:00-06:00,211.39996560414633 V
2017-08-27T00:00:00-06:00,211.46217584609985 V
2017-08-28T00:00:00-06:00,211.4226664667544 V
2017-08-29T00:00:00-06:00,211.56933380455098 V
2017-08-30T00:00:00-06:00,211.57309770584106 V
2017-08-31T00:00:00-06:00,211.61240657170615 V
2017-09-01T00:00:00-06:00,211.49108727773032 V
2017-09-02T00:00:00-06:00,211.72002983093262 V
2017-09-03T00:00:00-06:00,211.90626255671182 V
2017-09-04T00:00:00-06:00,211.4741474787394 V
2017-09-05T00:00:00-06:00,211.3046204249064 V
2017-09-06T00:00:00-06:00,211.47887341181436 V
2017-09-07T00:00:00-06:00,211.21571763356528 V
2017-09-08T00:00:00-06:00,211.37865285670503 V
2017-09-09T00:00:00-06:00,211.47640228271484 V
2017-09-10T00:00:00-06:00,211.7647624015808 V
2017-09-11T00:00:00-06:00,211.10766172409058 V
2017-09-12T00:00:00-06:00,211.402290503184 V
2017-09-13T00:00:00-06:00,211.14865668614706 V
2017-09-14T00:00:00-06:00,211.32827774683633 V
2017-09-15T00:00:00-06:00,211.60361878077188 V
2017-09-16T00:00:00-06:00,211.8041737874349 V
2017-09-17T00:00:00-06:00,211.7317582766215 V
2017-09-18T00:00:00-06:00,211.50905736287436 V
2017-09-19T00:00:00-06:00,211.29342953364053 V
2017-09-20T00:00:00-06:00,211.38672018051147 V
2017-09-21T00:00:00-06:00,211.72407627105713 V
2017-09-22T00:00:00-06:00,211.47691853841147 V
2017-09-23T00:00:00-06:00,211.64107100168863 V
2017-09-24T00:00:00-06:00,211.82760508855185 V
2017-09-25T00:00:00-06:00,211.86478885014853 V
2017-09-26T00:00:00-06:00,211.83808135986328 V
2017-09-27T00:00:00-06:00,211.75184551874796 V
2017-09-28T00:00:00-06:00,211.46882311503092 V
2017-09-29T00:00:00-06:00,211.4514659245809 V
2017-09-30T00:00:00-06:00,211.6594502131144 V
2017-10-01T00:00:00-06:00,211.89105987548828 V
2017-10-02T00:00:00-06:00,212.20892222722372 V
2017-10-03T00:00:00-06:00,212.14345455169678 V
2017-10-04T00:00:00-06:00,211.7758329709371 V
2017-10-05T00:00:00-06:00,212.09629503885904 V
2017-10-06T00:00:00-06:00,211.9356025060018 V
2017-10-07T00:00:00-06:00,211.978076616923 V
2017-10-08T00:00:00-06:00,212.39751879374185 V
2017-10-09T00:00:00-06:00,212.37552054723105 V
2017-10-10T00:00:00-06:00,212.3871490160624 V
2017-10-11T00:00:00-06:00,211.9125803311666 V
2017-10-12T00:00:00-06:00,212.5926276842753 V
2017-10-13T00:00:00-06:00,212.44105275472006 V
2017-10-14T00:00:00-06:00,212.3382248878479 V
2017-10-15T00:00:00-06:00,212.5437216758728 V
2017-10-16T00:00:00-06:00,212.167289574941 V
2017-10-17T00:00:00-06:00,211.93590943018594 V
2017-10-18T00:00:00-06:00,211.9295104344686 V
2017-10-19T00:00:00-06:00,211.92262967427573 V
2017-10-20T00:00:00-06:00,212.15546290079752 V
2017-10-21T00:00:00-06:00,212.45219373703003 V
2017-10-22T00:00:00-06:00,212.5960815747579 V
2017-10-23T00:00:00-06:00,212.16133801142374 V
2017-10-24T00:00:00-06:00,212.25310468673706 V
2017-10-25T00:00:00-06:00,212.10165389378867 V
2017-10-26T00:00:00-06:00,212.40914678573608 V
2017-10-27T00:00:00-06:00,212.4207262992859 V
2017-10-28T00:00:00-06:00,212.1471300125122 V
2017-10-29T00:00:00-06:00,212.53921540578207 V
2017-10-30T00:00:00-06:00,212.40706872940063 V
2017-10-31T00:00:00-06:00,212.50000270207724 V
2017-11-01T00:00:00-06:00,212.06461477279663 V
2017-11-02T00:00:00-06:00,212.106959660848 V
2017-11-03T00:00:00-06:00,212.25453488032022 V
2017-11-04T00:00:00-06:00,212.3869735399882 V
2017-11-05T00:00:00-06:00,212.68873123168945 V
2017-11-06T00:00:00-07:00,212.37687873840332 V
2017-11-07T00:00:00-07:00,212.35196924209595 V
2017-11-08T00:00:00-07:00,212.39005740483603 V
2017-11-09T00:00:00-07:00,212.68867270151773 V
2017-11-10T00:00:00-07:00,212.81811587015787 V
2017-11-11T00:00:00-07:00,212.68037048975626 V
2017-11-12T00:00:00-07:00,212.68140252431235 V
2017-11-13T00:00:00-07:00,212.70846859614053 V
2017-11-14T00:00:00-07:00,213.088432153066 V
2017-11-15T00:00:00-07:00,212.639547030131 V
2017-11-16T00:00:00-07:00,212.2543419202169 V
2017-11-17T00:00:00-07:00,212.77188634872437 V
2017-11-18T00:00:00-07:00,212.8372384707133 V
2017-11-19T00:00:00-07:00,212.87941058476767 V
2017-11-20T00:00:00-07:00,212.60343249638876 V
2017-11-21T00:00:00-07:00,212.52501837412515 V
2017-11-22T00:00:00-07:00,212.30118481318155 V
2017-11-23T00:00:00-07:00,213.0157151222229 V
2017-11-24T00:00:00-07:00,212.38176027933756 V
2017-11-25T00:00:00-07:00,212.40216080347696 V
2017-11-26T00:00:00-07:00,212.65565506617227 V
2017-11-27T00:00:00-07:00,212.28465747833252 V
2017-11-28T00:00:00-07:00,212.43766911824545 V
2017-11-29T00:00:00-07:00,212.53998947143555 V
2017-11-30T00:00:00-07:00,212.63858286539713 V
2017-12-01T00:00:00-07:00,212.3579796155294 V
2017-12-02T00:00:00-07:00,212.280570824941 V
2017-12-03T00:00:00-07:00,212.74702294667563 V
2017-12-04T00:00:00-07:00,212.6680727005005 V
2017-12-05T00:00:00-07:00,212.444890499115 V
2017-12-06T00:00:00-07:00,212.14934953053793 V
2017-12-07T00:00:00-07:00,212.23269526163736 V
2017-12-08T00:00:00-07:00,212.2051575978597 V
2017-12-09T00:00:00-07:00,212.5932421684265 V
2017-12-10T00:00:00-07:00,212.8479504585266 V
2017-12-11T00:00:00-07:00,212.6328148841858 V
2017-12-12T00:00:00-07:00,212.38679838180542 V
2017-12-13T00:00:00-07:00,212.72463369369507 V
2017-12-14T00:00:00-07:00,212.55156071980795 V
2017-12-15T00:00:00-07:00,212.46126445134482 V
2017-12-16T00:00:00-07:00,212.47313690185547 V
2017-12-17T00:00:00-07:00,212.9473697344462 V
2017-12-18T00:00:00-07:00,212.7598123858052 V
2017-12-19T00:00:00-07:00,212.5950527191162 V
2017-12-20T00:00:00-07:00,212.4992529551188 V
2017-12-21T00:00:00-07:00,212.75996732711792 V
2017-12-22T00:00:00-07:00,212.8033504486084 V
2017-12-23T00:00:00-07:00,212.500537554423 V
2017-12-24T00:00:00-07:00,213.10220384597778 V
2017-12-25T00:00:00-07:00,212.9455386797587 V
2017-12-26T00:00:00-07:00,213.02425972620645 V
2017-12-27T00:00:00-07:00,212.90461794535318 V
2017-12-28T00:00:00-07:00,212.92232974370322 V
2017-12-29T00:00:00-07:00,212.725182056427 V
2017-12-30T00:00:00-07:00,212.76758527755737 V
2017-12-31T00:00:00-07:00,212.84285259246826 V
