Timestamp,"['1cf8d742-d3e5c27c 0064-MERRILL ENGINEERING BLDG Power Meter (300154, 064-802) KWH Received']"
2017-07-27T00:00:00-06:00,59.8125 kWh
2017-07-28T00:00:00-06:00,58.75 kWh
2017-07-29T00:00:00-06:00,53.515625 kWh
2017-07-30T00:00:00-06:00,53.625 kWh
2017-07-31T00:00:00-06:00,59.46875 kWh
2017-08-01T00:00:00-06:00,61.03125 kWh
2017-08-02T00:00:00-06:00,61 kWh
2017-08-03T00:00:00-06:00,59.984375 kWh
2017-08-04T00:00:00-06:00,58.046875 kWh
2017-08-05T00:00:00-06:00,53.515625 kWh
2017-08-06T00:00:00-06:00,52.0625 kWh
2017-08-07T00:00:00-06:00,57.671875 kWh
2017-08-08T00:00:00-06:00,56.875 kWh
2017-08-09T00:00:00-06:00,56.71875 kWh
2017-08-10T00:00:00-06:00,57.375 kWh
2017-08-11T00:00:00-06:00,57 kWh
2017-08-12T00:00:00-06:00,53.09375 kWh
2017-08-13T00:00:00-06:00,51.6875 kWh
2017-08-14T00:00:00-06:00,56.9375 kWh
2017-08-15T00:00:00-06:00,56.734375 kWh
2017-08-16T00:00:00-06:00,57.078125 kWh
2017-08-17T00:00:00-06:00,57.390625 kWh
2017-08-18T00:00:00-06:00,59.328125 kWh
2017-08-19T00:00:00-06:00,55.65625 kWh
2017-08-20T00:00:00-06:00,55.0625 kWh
2017-08-21T00:00:00-06:00,58.109375 kWh
2017-08-22T00:00:00-06:00,61.203125 kWh
2017-08-23T00:00:00-06:00,61.53125 kWh
2017-08-24T00:00:00-06:00,62.0625 kWh
2017-08-25T00:00:00-06:00,63.53125 kWh
2017-08-26T00:00:00-06:00,54.796875 kWh
2017-08-27T00:00:00-06:00,54.203125 kWh
2017-08-28T00:00:00-06:00,62.84375 kWh
2017-08-29T00:00:00-06:00,62.703125 kWh
2017-08-30T00:00:00-06:00,63.1875 kWh
2017-08-31T00:00:00-06:00,60.71875 kWh
2017-09-01T00:00:00-06:00,60.78125 kWh
2017-09-02T00:00:00-06:00,54.65625 kWh
2017-09-03T00:00:00-06:00,54.5625 kWh
2017-09-04T00:00:00-06:00,54.984375 kWh
2017-09-05T00:00:00-06:00,63.796875 kWh
2017-09-06T00:00:00-06:00,63.859375 kWh
2017-09-07T00:00:00-06:00,62.1875 kWh
2017-09-08T00:00:00-06:00,61.09375 kWh
2017-09-09T00:00:00-06:00,53.765625 kWh
2017-09-10T00:00:00-06:00,53.625 kWh
2017-09-11T00:00:00-06:00,61.046875 kWh
2017-09-12T00:00:00-06:00,64.1875 kWh
2017-09-13T00:00:00-06:00,65.09375 kWh
2017-09-14T00:00:00-06:00,63.328125 kWh
2017-09-15T00:00:00-06:00,60.09375 kWh
2017-09-16T00:00:00-06:00,53.46875 kWh
2017-09-17T00:00:00-06:00,54.546875 kWh
2017-09-18T00:00:00-06:00,62.296875 kWh
2017-09-19T00:00:00-06:00,63.3125 kWh
2017-09-20T00:00:00-06:00,64 kWh
2017-09-21T00:00:00-06:00,64.609375 kWh
2017-09-22T00:00:00-06:00,62.8125 kWh
2017-09-23T00:00:00-06:00,56.390625 kWh
2017-09-24T00:00:00-06:00,56.0625 kWh
2017-09-25T00:00:00-06:00,62.375 kWh
2017-09-26T00:00:00-06:00,63.640625 kWh
2017-09-27T00:00:00-06:00,65.09375 kWh
2017-09-28T00:00:00-06:00,64.25 kWh
2017-09-29T00:00:00-06:00,62.625 kWh
2017-09-30T00:00:00-06:00,55.078125 kWh
2017-10-01T00:00:00-06:00,53.953125 kWh
2017-10-02T00:00:00-06:00,62.40625 kWh
2017-10-03T00:00:00-06:00,63.390625 kWh
2017-10-04T00:00:00-06:00,62.390625 kWh
2017-10-05T00:00:00-06:00,63.546875 kWh
2017-10-06T00:00:00-06:00,62.53125 kWh
2017-10-07T00:00:00-06:00,56.546875 kWh
2017-10-08T00:00:00-06:00,56 kWh
2017-10-09T00:00:00-06:00,60.4375 kWh
2017-10-10T00:00:00-06:00,61.03125 kWh
2017-10-11T00:00:00-06:00,60.4375 kWh
2017-10-12T00:00:00-06:00,61.5 kWh
2017-10-13T00:00:00-06:00,59.625 kWh
2017-10-14T00:00:00-06:00,55.265625 kWh
2017-10-15T00:00:00-06:00,55.109375 kWh
2017-10-16T00:00:00-06:00,63.15625 kWh
2017-10-17T00:00:00-06:00,63.546875 kWh
2017-10-18T00:00:00-06:00,63.421875 kWh
2017-10-19T00:00:00-06:00,63.015625 kWh
2017-10-20T00:00:00-06:00,61.96875 kWh
2017-10-21T00:00:00-06:00,54.375 kWh
2017-10-22T00:00:00-06:00,54.96875 kWh
2017-10-23T00:00:00-06:00,62.40625 kWh
2017-10-24T00:00:00-06:00,65.21875 kWh
2017-10-25T00:00:00-06:00,63.65625 kWh
2017-10-26T00:00:00-06:00,62.296875 kWh
2017-10-27T00:00:00-06:00,61 kWh
2017-10-28T00:00:00-06:00,55.09375 kWh
2017-10-29T00:00:00-06:00,54.90625 kWh
2017-10-30T00:00:00-06:00,62.640625 kWh
2017-10-31T00:00:00-06:00,58.984375 kWh
2017-11-01T00:00:00-06:00,63.90625 kWh
2017-11-02T00:00:00-06:00,64.40625 kWh
2017-11-03T00:00:00-06:00,65.03125 kWh
2017-11-04T00:00:00-06:00,56.546875 kWh
