Timestamp,['1cdbb639-405a7d4d 0087-THATCHER BLDG Power Meter (301205) Volts A-B']
2017-12-15T00:00:00-07:00,478.3804636001587 V
2017-12-16T00:00:00-07:00,478.69207255045575 V
2017-12-17T00:00:00-07:00,478.71510855356854 V
2017-12-18T00:00:00-07:00,479.00413194593494 V
2017-12-19T00:00:00-07:00,478.771164894104 V
2017-12-20T00:00:00-07:00,478.6158348719279 V
2017-12-21T00:00:00-07:00,478.6710777282715 V
2017-12-22T00:00:00-07:00,478.97507667541504 V
2017-12-23T00:00:00-07:00,478.2328224182129 V
2017-12-24T00:00:00-07:00,479.10124683380127 V
2017-12-25T00:00:00-07:00,478.7283233006795 V
2017-12-26T00:00:00-07:00,478.85000228881836 V
2017-12-27T00:00:00-07:00,478.859356880188 V
2017-12-28T00:00:00-07:00,478.7192602157593 V
2017-12-29T00:00:00-07:00,478.5008373260498 V
2017-12-30T00:00:00-07:00,478.39838314056396 V
2017-12-31T00:00:00-07:00,478.49189535776776 V
