Timestamp,['1cca75fa-f197097b 0062-WARNOCK ENGR BLDG Power Meter 316607 Volts CA']
2017-05-18T00:00:00-06:00,492.03125 V
2017-05-19T00:00:00-06:00,492.8333333333333 V
2017-05-20T00:00:00-06:00,492.5416666666667 V
2017-05-21T00:00:00-06:00,492.1458333333333 V
2017-05-22T00:00:00-06:00,492.53125 V
2017-05-23T00:00:00-06:00,492.09375 V
2017-05-24T00:00:00-06:00,492.1041666666667 V
2017-05-25T00:00:00-06:00,492.2395833333333 V
2017-05-26T00:00:00-06:00,492.03125 V
2017-05-27T00:00:00-06:00,492.2291666666667 V
2017-05-28T00:00:00-06:00,492.25 V
2017-05-29T00:00:00-06:00,492.0729166666667 V
2017-05-30T00:00:00-06:00,492.09375 V
2017-05-31T00:00:00-06:00,491.8854166666667 V
2017-06-01T00:00:00-06:00,492.4583333333333 V
2017-06-02T00:00:00-06:00,491.8645833333333 V
2017-06-03T00:00:00-06:00,492.15625 V
2017-06-04T00:00:00-06:00,491.7708333333333 V
2017-06-05T00:00:00-06:00,491.7708333333333 V
2017-06-06T00:00:00-06:00,491.59375 V
2017-06-07T00:00:00-06:00,491.7291666666667 V
2017-06-08T00:00:00-06:00,491.9895833333333 V
2017-06-09T00:00:00-06:00,491.5416666666667 V
2017-06-10T00:00:00-06:00,491.4842105263158 V
2017-06-11T00:00:00-06:00,491.75 V
2017-06-12T00:00:00-06:00,492.0729166666667 V
2017-06-13T00:00:00-06:00,491.8854166666667 V
2017-06-14T00:00:00-06:00,491.4479166666667 V
2017-06-15T00:00:00-06:00,491.5729166666667 V
2017-06-16T00:00:00-06:00,491.7708333333333 V
2017-06-17T00:00:00-06:00,492.2395833333333 V
2017-06-18T00:00:00-06:00,492.34375 V
2017-06-19T00:00:00-06:00,491.84375 V
2017-06-20T00:00:00-06:00,491.5520833333333 V
2017-06-21T00:00:00-06:00,491.4166666666667 V
2017-06-22T00:00:00-06:00,492.03125 V
2017-06-23T00:00:00-06:00,492.125 V
2017-06-24T00:00:00-06:00,492.1041666666667 V
2017-06-25T00:00:00-06:00,492.34375 V
2017-06-26T00:00:00-06:00,491.46875 V
2017-06-27T00:00:00-06:00,491.8125 V
2017-06-28T00:00:00-06:00,491.7395833333333 V
2017-06-29T00:00:00-06:00,491.8854166666667 V
2017-06-30T00:00:00-06:00,491.90625 V
2017-07-01T00:00:00-06:00,491.90625 V
2017-07-02T00:00:00-06:00,492.0416666666667 V
2017-07-03T00:00:00-06:00,491.6354166666667 V
2017-07-04T00:00:00-06:00,492.1979166666667 V
2017-07-05T00:00:00-06:00,491.7291666666667 V
2017-07-06T00:00:00-06:00,491.7916666666667 V
2017-07-07T00:00:00-06:00,491.6145833333333 V
2017-07-08T00:00:00-06:00,491.6354166666667 V
2017-07-09T00:00:00-06:00,491.65625 V
2017-07-10T00:00:00-06:00,491.5416666666667 V
2017-07-11T00:00:00-06:00,491.6041666666667 V
2017-07-12T00:00:00-06:00,491.4895833333333 V
2017-07-13T00:00:00-06:00,492.125 V
2017-07-14T00:00:00-06:00,491.7395833333333 V
2017-07-15T00:00:00-06:00,491.7916666666667 V
2017-07-16T00:00:00-06:00,491.8020833333333 V
2017-07-17T00:00:00-06:00,491.5416666666667 V
2017-07-18T00:00:00-06:00,491.6041666666667 V
2017-07-19T00:00:00-06:00,491.7291666666667 V
2017-07-20T00:00:00-06:00,491.5520833333333 V
2017-07-21T00:00:00-06:00,491.40625 V
2017-07-22T00:00:00-06:00,491.65625 V
2017-07-23T00:00:00-06:00,491.9375 V
2017-07-24T00:00:00-06:00,492.1979166666667 V
2017-07-25T00:00:00-06:00,491.78125 V
2017-07-26T00:00:00-06:00,491.4270833333333 V
2017-07-27T00:00:00-06:00,491.9895833333333 V
2017-07-28T00:00:00-06:00,491.53125 V
2017-07-29T00:00:00-06:00,491.7604166666667 V
2017-07-30T00:00:00-06:00,491.8229166666667 V
2017-07-31T00:00:00-06:00,491.7916666666667 V
2017-08-01T00:00:00-06:00,491.84375 V
2017-08-02T00:00:00-06:00,491.4270833333333 V
2017-08-03T00:00:00-06:00,491.3541666666667 V
2017-08-04T00:00:00-06:00,491.68888888888887 V
2017-08-05T00:00:00-06:00,491.9375 V
2017-08-06T00:00:00-06:00,491.875 V
2017-08-07T00:00:00-06:00,491.4583333333333 V
2017-08-08T00:00:00-06:00,491.7916666666667 V
2017-08-09T00:00:00-06:00,491.5104166666667 V
2017-08-10T00:00:00-06:00,491.55434782608694 V
2017-08-11T00:00:00-06:00,492.0208333333333 V
2017-08-12T00:00:00-06:00,491.87368421052633 V
2017-08-13T00:00:00-06:00,492.3645833333333 V
2017-08-14T00:00:00-06:00,491.9791666666667 V
2017-08-15T00:00:00-06:00,492.1979166666667 V
2017-08-16T00:00:00-06:00,491.8333333333333 V
2017-08-17T00:00:00-06:00,491.7604166666667 V
2017-08-18T00:00:00-06:00,491.8854166666667 V
2017-08-19T00:00:00-06:00,492.09375 V
2017-08-20T00:00:00-06:00,492.2916666666667 V
2017-08-21T00:00:00-06:00,492.1666666666667 V
2017-08-22T00:00:00-06:00,491.7916666666667 V
2017-08-23T00:00:00-06:00,492.09375 V
2017-08-24T00:00:00-06:00,491.8229166666667 V
2017-08-25T00:00:00-06:00,491.7291666666667 V
2017-08-26T00:00:00-06:00,491.34375 V
2017-08-27T00:00:00-06:00,491.53125 V
2017-08-28T00:00:00-06:00,491.8777777777778 V
2017-08-29T00:00:00-06:00,491.7912087912088 V
2017-08-30T00:00:00-06:00,491.6458333333333 V
2017-08-31T00:00:00-06:00,491.8333333333333 V
2017-09-01T00:00:00-06:00,491.5520833333333 V
2017-09-02T00:00:00-06:00,491.6041666666667 V
2017-09-03T00:00:00-06:00,491.8854166666667 V
2017-09-04T00:00:00-06:00,491.4583333333333 V
2017-09-05T00:00:00-06:00,491.3541666666667 V
2017-09-06T00:00:00-06:00,491.57894736842104 V
2017-09-07T00:00:00-06:00,491.4479166666667 V
2017-09-08T00:00:00-06:00,491.72527472527474 V
2017-09-09T00:00:00-06:00,491.7916666666667 V
2017-09-10T00:00:00-06:00,491.9791666666667 V
2017-09-11T00:00:00-06:00,491.1875 V
2017-09-12T00:00:00-06:00,491.9270833333333 V
2017-09-13T00:00:00-06:00,491.1458333333333 V
2017-09-14T00:00:00-06:00,491.6979166666667 V
2017-09-15T00:00:00-06:00,491.7708333333333 V
2017-09-16T00:00:00-06:00,492.7395833333333 V
2017-09-17T00:00:00-06:00,491.625 V
2017-09-18T00:00:00-06:00,491.6875 V
2017-09-19T00:00:00-06:00,490.65625 V
2017-09-20T00:00:00-06:00,491.1666666666667 V
2017-09-21T00:00:00-06:00,491.8645833333333 V
2017-09-22T00:00:00-06:00,492.15625 V
2017-09-23T00:00:00-06:00,492.6145833333333 V
2017-09-24T00:00:00-06:00,492.0729166666667 V
2017-09-25T00:00:00-06:00,492.5729166666667 V
2017-09-26T00:00:00-06:00,492.0416666666667 V
2017-09-27T00:00:00-06:00,492.1875 V
2017-09-28T00:00:00-06:00,491.6770833333333 V
2017-09-29T00:00:00-06:00,491.7604166666667 V
2017-09-30T00:00:00-06:00,491.9791666666667 V
2017-10-01T00:00:00-06:00,491.7395833333333 V
2017-10-02T00:00:00-06:00,492.4479166666667 V
2017-10-03T00:00:00-06:00,492.5729166666667 V
2017-10-04T00:00:00-06:00,491.7708333333333 V
2017-10-05T00:00:00-06:00,492.4375 V
2017-10-06T00:00:00-06:00,492.34375 V
2017-10-07T00:00:00-06:00,492 V
2017-10-08T00:00:00-06:00,492.7395833333333 V
2017-10-09T00:00:00-06:00,492.4270833333333 V
2017-10-10T00:00:00-06:00,492.6666666666667 V
2017-10-11T00:00:00-06:00,491.6770833333333 V
2017-10-12T00:00:00-06:00,492.65625 V
2017-10-13T00:00:00-06:00,492.6041666666667 V
2017-10-14T00:00:00-06:00,492.7604166666667 V
2017-10-15T00:00:00-06:00,492.40625 V
2017-10-16T00:00:00-06:00,492.5 V
2017-10-17T00:00:00-06:00,491.9583333333333 V
2017-10-18T00:00:00-06:00,491.7916666666667 V
2017-10-19T00:00:00-06:00,492.0208333333333 V
2017-10-20T00:00:00-06:00,492.0416666666667 V
2017-10-21T00:00:00-06:00,492.3645833333333 V
2017-10-22T00:00:00-06:00,492.3854166666667 V
2017-10-23T00:00:00-06:00,492.1458333333333 V
2017-10-24T00:00:00-06:00,491.9270833333333 V
2017-10-25T00:00:00-06:00,491.96875 V
2017-10-26T00:00:00-06:00,492.3645833333333 V
2017-10-27T00:00:00-06:00,492.6145833333333 V
2017-10-28T00:00:00-06:00,492.0104166666667 V
2017-10-29T00:00:00-06:00,492.4166666666667 V
2017-10-30T00:00:00-06:00,492.625 V
2017-10-31T00:00:00-06:00,492.59375 V
2017-11-01T00:00:00-06:00,492.21875 V
2017-11-02T00:00:00-06:00,492.0520833333333 V
2017-11-03T00:00:00-06:00,491.9895833333333 V
2017-11-04T00:00:00-06:00,492.4895833333333 V
2017-11-05T00:00:00-06:00,491.68 V
2017-11-06T00:00:00-07:00,491.5729166666667 V
2017-11-07T00:00:00-07:00,491.6666666666667 V
2017-11-08T00:00:00-07:00,491.6666666666667 V
2017-11-09T00:00:00-07:00,491.9791666666667 V
2017-11-10T00:00:00-07:00,491.8958333333333 V
2017-11-11T00:00:00-07:00,491.25 V
2017-11-12T00:00:00-07:00,491.75 V
2017-11-13T00:00:00-07:00,491.7708333333333 V
2017-11-14T00:00:00-07:00,492.7578947368421 V
2017-11-15T00:00:00-07:00,491.71875 V
2017-11-16T00:00:00-07:00,491.2708333333333 V
2017-11-17T00:00:00-07:00,491.9791666666667 V
2017-11-18T00:00:00-07:00,492.2604166666667 V
2017-11-19T00:00:00-07:00,492.4375 V
2017-11-20T00:00:00-07:00,491.75 V
2017-11-21T00:00:00-07:00,491.5833333333333 V
2017-11-22T00:00:00-07:00,490.875 V
2017-11-23T00:00:00-07:00,492.0729166666667 V
2017-11-24T00:00:00-07:00,491.5104166666667 V
2017-11-25T00:00:00-07:00,491.5520833333333 V
2017-11-26T00:00:00-07:00,491.8333333333333 V
2017-11-27T00:00:00-07:00,491.625 V
2017-11-28T00:00:00-07:00,492.0208333333333 V
2017-11-29T00:00:00-07:00,492.34375 V
2017-11-30T00:00:00-07:00,492.4895833333333 V
2017-12-01T00:00:00-07:00,491.6354166666667 V
2017-12-02T00:00:00-07:00,491.8333333333333 V
2017-12-03T00:00:00-07:00,491.6979166666667 V
2017-12-04T00:00:00-07:00,492.1666666666667 V
2017-12-05T00:00:00-07:00,491.6666666666667 V
2017-12-06T00:00:00-07:00,491.3854166666667 V
2017-12-07T00:00:00-07:00,491.3541666666667 V
2017-12-08T00:00:00-07:00,491.3020833333333 V
2017-12-09T00:00:00-07:00,492.09375 V
2017-12-10T00:00:00-07:00,492.0625 V
2017-12-11T00:00:00-07:00,492.1666666666667 V
2017-12-12T00:00:00-07:00,491.5729166666667 V
2017-12-13T00:00:00-07:00,492.65625 V
2017-12-14T00:00:00-07:00,492.15625 V
2017-12-15T00:00:00-07:00,491.875 V
2017-12-16T00:00:00-07:00,492.15625 V
2017-12-17T00:00:00-07:00,492.0625 V
2017-12-18T00:00:00-07:00,492.25274725274727 V
2017-12-19T00:00:00-07:00,492.625 V
2017-12-20T00:00:00-07:00,492.53125 V
2017-12-21T00:00:00-07:00,492.7708333333333 V
2017-12-22T00:00:00-07:00,493.1145833333333 V
2017-12-23T00:00:00-07:00,492.25 V
2017-12-24T00:00:00-07:00,493.2083333333333 V
2017-12-25T00:00:00-07:00,492.8645833333333 V
2017-12-26T00:00:00-07:00,492.9895833333333 V
2017-12-27T00:00:00-07:00,492.8958333333333 V
2017-12-28T00:00:00-07:00,492.8020833333333 V
2017-12-29T00:00:00-07:00,492.4895833333333 V
2017-12-30T00:00:00-07:00,492.2604166666667 V
2017-12-31T00:00:00-07:00,492.5625 V
