Timestamp,['1ce63e55-d53118c4 0028-MARRIOTT CENTER FOR DANCE Power Meter Volts CN']
2017-06-20T00:00:00-06:00,122.19052036603291 V
2017-06-21T00:00:00-06:00,122.19769088427226 V
2017-06-22T00:00:00-06:00,122.31357431411743 V
2017-06-23T00:00:00-06:00,122.34664988517761 V
2017-06-24T00:00:00-06:00,122.43510659535725 V
2017-06-25T00:00:00-06:00,122.4677426815033 V
2017-06-26T00:00:00-06:00,122.22750465075175 V
2017-06-27T00:00:00-06:00,122.33246231079102 V
2017-06-28T00:00:00-06:00,122.26077580451965 V
2017-06-29T00:00:00-06:00,122.32151977221172 V
2017-06-30T00:00:00-06:00,122.33336146672566 V
2017-07-01T00:00:00-06:00,122.38204765319824 V
2017-07-02T00:00:00-06:00,122.5088677406311 V
2017-07-03T00:00:00-06:00,122.26899178822835 V
2017-07-04T00:00:00-06:00,122.50067536036174 V
2017-07-05T00:00:00-06:00,122.30506817499797 V
2017-07-06T00:00:00-06:00,122.3378500143687 V
2017-07-07T00:00:00-06:00,122.25345627466838 V
2017-07-08T00:00:00-06:00,122.3474760055542 V
2017-07-09T00:00:00-06:00,122.39489698410034 V
2017-07-10T00:00:00-06:00,122.2264114220937 V
2017-07-11T00:00:00-06:00,122.2551782131195 V
2017-07-12T00:00:00-06:00,122.22626201311748 V
2017-07-13T00:00:00-06:00,122.26887734731038 V
2017-07-14T00:00:00-06:00,122.27364706993103 V
2017-07-15T00:00:00-06:00,122.39596899350484 V
2017-07-16T00:00:00-06:00,122.39958628018697 V
2017-07-17T00:00:00-06:00,122.29756116867065 V
2017-07-18T00:00:00-06:00,122.36108382542928 V
2017-07-19T00:00:00-06:00,122.33775178591411 V
2017-07-20T00:00:00-06:00,122.36254413922627 V
2017-07-21T00:00:00-06:00,122.33673365910848 V
2017-07-22T00:00:00-06:00,122.39690589904785 V
2017-07-23T00:00:00-06:00,122.5829411347707 V
2017-07-24T00:00:00-06:00,122.51860729853313 V
2017-07-25T00:00:00-06:00,122.44263005256653 V
2017-07-26T00:00:00-06:00,122.28717350959778 V
2017-07-27T00:00:00-06:00,122.3593184153239 V
2017-07-28T00:00:00-06:00,122.25916854540507 V
2017-07-29T00:00:00-06:00,122.36506048838298 V
2017-07-30T00:00:00-06:00,122.46325500806172 V
2017-07-31T00:00:00-06:00,122.42571838696797 V
2017-08-01T00:00:00-06:00,122.43299436569214 V
2017-08-02T00:00:00-06:00,122.32926972707112 V
2017-08-03T00:00:00-06:00,122.36517055829366 V
2017-08-04T00:00:00-06:00,122.38703850640191 V
2017-08-05T00:00:00-06:00,122.44812520345052 V
2017-08-06T00:00:00-06:00,122.39360944430034 V
2017-08-07T00:00:00-06:00,122.32336640357971 V
2017-08-08T00:00:00-06:00,122.34374936421712 V
2017-08-09T00:00:00-06:00,122.25284123420715 V
2017-08-10T00:00:00-06:00,122.29102842269405 V
2017-08-11T00:00:00-06:00,122.40243705113728 V
2017-08-12T00:00:00-06:00,122.399738073349 V
2017-08-13T00:00:00-06:00,122.54716444015503 V
2017-08-14T00:00:00-06:00,122.45096778869629 V
2017-08-15T00:00:00-06:00,122.44420639673869 V
2017-08-16T00:00:00-06:00,122.29302755991618 V
2017-08-17T00:00:00-06:00,122.34891208012898 V
2017-08-18T00:00:00-06:00,122.30610791842143 V
2017-08-19T00:00:00-06:00,122.41816488901775 V
2017-08-20T00:00:00-06:00,122.44462688763936 V
2017-08-21T00:00:00-06:00,122.34210975964864 V
2017-08-22T00:00:00-06:00,122.24468064308167 V
2017-08-23T00:00:00-06:00,122.28374942143758 V
2017-08-24T00:00:00-06:00,122.22566795349121 V
2017-08-25T00:00:00-06:00,122.25440589586894 V
2017-08-26T00:00:00-06:00,122.23920750617981 V
2017-08-27T00:00:00-06:00,122.28863175710042 V
2017-08-28T00:00:00-06:00,122.21523241563277 V
2017-08-29T00:00:00-06:00,122.19907756428142 V
2017-08-30T00:00:00-06:00,122.19019691149394 V
2017-08-31T00:00:00-06:00,122.24908479054768 V
2017-09-01T00:00:00-06:00,122.25581860542297 V
2017-09-02T00:00:00-06:00,122.41810711224873 V
2017-09-03T00:00:00-06:00,122.53864034016927 V
2017-09-04T00:00:00-06:00,122.38030449549358 V
2017-09-05T00:00:00-06:00,122.12617929776509 V
2017-09-06T00:00:00-06:00,122.14056038856506 V
2017-09-07T00:00:00-06:00,122.18745994567871 V
2017-09-08T00:00:00-06:00,122.27173846700917 V
2017-09-09T00:00:00-06:00,122.27573744455974 V
2017-09-10T00:00:00-06:00,122.44129371643066 V
2017-09-11T00:00:00-06:00,122.09643371899922 V
2017-09-12T00:00:00-06:00,122.24926646550496 V
2017-09-13T00:00:00-06:00,122.07631659507751 V
2017-09-14T00:00:00-06:00,122.23713866869609 V
2017-09-15T00:00:00-06:00,122.28690981864929 V
2017-09-16T00:00:00-06:00,122.5248331228892 V
2017-09-17T00:00:00-06:00,122.26152038574219 V
2017-09-18T00:00:00-06:00,122.33309547106425 V
2017-09-19T00:00:00-06:00,122.18089373906453 V
2017-09-20T00:00:00-06:00,122.29468735059102 V
2017-09-21T00:00:00-06:00,122.41244300206502 V
2017-09-22T00:00:00-06:00,122.32076215744019 V
2017-09-23T00:00:00-06:00,122.44447588920593 V
2017-09-24T00:00:00-06:00,122.32058040301006 V
2017-09-25T00:00:00-06:00,122.42859959602356 V
2017-09-26T00:00:00-06:00,122.29824535051982 V
2017-09-27T00:00:00-06:00,122.40778843561809 V
2017-09-28T00:00:00-06:00,122.32332889238994 V
2017-09-29T00:00:00-06:00,122.25824054082234 V
2017-09-30T00:00:00-06:00,122.41061147054036 V
2017-10-01T00:00:00-06:00,122.34746487935384 V
2017-10-02T00:00:00-06:00,122.39413396517436 V
2017-10-03T00:00:00-06:00,122.40420873959859 V
