Timestamp,['20767dd1-40de88af 0011-BROWNING BLDG Power Meter 300033 Current C']
2017-10-21T00:00:00-06:00,285.29175662994385 A
2017-10-22T00:00:00-06:00,393.3996248245239 A
2017-10-23T00:00:00-06:00,405.5906842549642 A
2017-10-24T00:00:00-06:00,347.153995513916 A
2017-10-25T00:00:00-06:00,394.91042852401733 A
2017-10-26T00:00:00-06:00,257.9120577176412 A
2017-10-27T00:00:00-06:00,225.31249825159708 A
2017-10-28T00:00:00-06:00,215.8029581170333 A
2017-10-29T00:00:00-06:00,226.97264989217123 A
2017-10-30T00:00:00-06:00,222.90296332041422 A
2017-10-31T00:00:00-06:00,220.83415444691977 A
2017-11-01T00:00:00-06:00,231.49957450230917 A
2017-11-02T00:00:00-06:00,242.1863613128662 A
2017-11-03T00:00:00-06:00,232.34237384796143 A
2017-11-04T00:00:00-06:00,213.11501296361288 A
2017-11-05T00:00:00-06:00,220.8008757019043 A
2017-11-06T00:00:00-07:00,238.7252147992452 A
2017-11-07T00:00:00-07:00,235.1944759686788 A
2017-11-08T00:00:00-07:00,241.99428145090738 A
2017-11-09T00:00:00-07:00,233.9582462310791 A
2017-11-10T00:00:00-07:00,226.5490721066793 A
2017-11-11T00:00:00-07:00,216.8842193285624 A
2017-11-12T00:00:00-07:00,217.96253697077432 A
2017-11-13T00:00:00-07:00,230.72413778305054 A
2017-11-14T00:00:00-07:00,228.36914698282877 A
2017-11-15T00:00:00-07:00,230.70856396357217 A
2017-11-16T00:00:00-07:00,228.2980195681254 A
2017-11-17T00:00:00-07:00,235.68945693969727 A
2017-11-18T00:00:00-07:00,233.16195440292358 A
2017-11-19T00:00:00-07:00,227.92692724863687 A
2017-11-20T00:00:00-07:00,232.65421930948892 A
2017-11-21T00:00:00-07:00,228.93479855855307 A
2017-11-22T00:00:00-07:00,226.4308034578959 A
2017-11-23T00:00:00-07:00,212.25177669525146 A
2017-11-24T00:00:00-07:00,207.3299601872762 A
2017-11-25T00:00:00-07:00,209.84602038065592 A
2017-11-26T00:00:00-07:00,212.51856136322021 A
2017-11-27T00:00:00-07:00,240.09954118728638 A
2017-11-28T00:00:00-07:00,241.31541792551675 A
2017-11-29T00:00:00-07:00,238.81230926513672 A
2017-11-30T00:00:00-07:00,236.57213592529297 A
2017-12-01T00:00:00-07:00,231.77375570933023 A
2017-12-02T00:00:00-07:00,220.353537718455 A
2017-12-03T00:00:00-07:00,218.7888733545939 A
2017-12-04T00:00:00-07:00,248.9145048459371 A
2017-12-05T00:00:00-07:00,253.53016821543375 A
2017-12-06T00:00:00-07:00,252.9084358215332 A
2017-12-07T00:00:00-07:00,249.11989831924438 A
2017-12-08T00:00:00-07:00,257.45639785130817 A
2017-12-09T00:00:00-07:00,237.9758152961731 A
2017-12-10T00:00:00-07:00,234.47372595469156 A
2017-12-11T00:00:00-07:00,246.79348993301392 A
2017-12-12T00:00:00-07:00,248.53132184346518 A
2017-12-13T00:00:00-07:00,261.76585880915326 A
2017-12-14T00:00:00-07:00,264.40719445546466 A
2017-12-15T00:00:00-07:00,262.085219224294 A
2017-12-16T00:00:00-07:00,253.87838236490884 A
2017-12-17T00:00:00-07:00,255.61181926727295 A
2017-12-18T00:00:00-07:00,263.08683629189767 A
2017-12-19T00:00:00-07:00,256.4144919713338 A
2017-12-20T00:00:00-07:00,251.38931624094644 A
2017-12-21T00:00:00-07:00,253.44482898712158 A
2017-12-22T00:00:00-07:00,248.05718517303467 A
2017-12-23T00:00:00-07:00,241.10196860631308 A
2017-12-24T00:00:00-07:00,247.2502187093099 A
2017-12-25T00:00:00-07:00,243.49468088150024 A
2017-12-26T00:00:00-07:00,239.81970755259195 A
2017-12-27T00:00:00-07:00,240.16301091512045 A
2017-12-28T00:00:00-07:00,239.69815937678018 A
2017-12-29T00:00:00-07:00,232.66147343317667 A
2017-12-30T00:00:00-07:00,228.64884487787882 A
2017-12-31T00:00:00-07:00,233.29296652475992 A
