Timestamp,['1eb2a057-f5b827a5 0074-BUSINESS CLASSROOM BLDG Power Meter (480V) Current A']
2017-07-11T00:00:00-06:00,91.48785106341045 A
2017-07-12T00:00:00-06:00,89.80059146881104 A
2017-07-13T00:00:00-06:00,89.28025738398235 A
2017-07-14T00:00:00-06:00,88.10740216573079 A
2017-07-15T00:00:00-06:00,87.05923477808635 A
2017-07-16T00:00:00-06:00,87.3719654083252 A
2017-07-17T00:00:00-06:00,89.58549483617146 A
2017-07-18T00:00:00-06:00,90.05096522967021 A
2017-07-19T00:00:00-06:00,90.61769429842631 A
2017-07-20T00:00:00-06:00,89.36894265810649 A
2017-07-21T00:00:00-06:00,91.60439729690552 A
2017-07-22T00:00:00-06:00,90.34665671984355 A
2017-07-23T00:00:00-06:00,89.8628073533376 A
2017-07-24T00:00:00-06:00,90.56625970204671 A
2017-07-25T00:00:00-06:00,91.94884459177653 A
2017-07-26T00:00:00-06:00,88.83218963940938 A
2017-07-27T00:00:00-06:00,89.12520591417949 A
2017-07-28T00:00:00-06:00,86.21877177556355 A
2017-07-29T00:00:00-06:00,83.67433230082194 A
2017-07-30T00:00:00-06:00,84.66685350735982 A
2017-07-31T00:00:00-06:00,89.64195831616719 A
2017-08-01T00:00:00-06:00,88.76134777069092 A
2017-08-02T00:00:00-06:00,89.49393502871196 A
2017-08-03T00:00:00-06:00,87.55418729782104 A
2017-08-04T00:00:00-06:00,83.29833095676297 A
2017-08-05T00:00:00-06:00,84.5278525352478 A
2017-08-06T00:00:00-06:00,84.8188841342926 A
2017-08-07T00:00:00-06:00,86.19616119066875 A
2017-08-08T00:00:00-06:00,85.44086980819702 A
2017-08-09T00:00:00-06:00,85.71020698547363 A
2017-08-10T00:00:00-06:00,85.18607500766186 A
2017-08-11T00:00:00-06:00,84.56400531969572 A
2017-08-12T00:00:00-06:00,87.43876385688782 A
2017-08-13T00:00:00-06:00,87.09329056739807 A
2017-08-14T00:00:00-06:00,85.79799723625183 A
2017-08-15T00:00:00-06:00,85.23223114013672 A
2017-08-16T00:00:00-06:00,83.63154577957957 A
2017-08-17T00:00:00-06:00,84.54257949193318 A
2017-08-18T00:00:00-06:00,85.43476247787476 A
2017-08-19T00:00:00-06:00,84.23026935259502 A
2017-08-20T00:00:00-06:00,84.16849501927693 A
2017-08-21T00:00:00-06:00,95.3967231909434 A
2017-08-22T00:00:00-06:00,98.24883524576823 A
2017-08-23T00:00:00-06:00,97.50546932220459 A
2017-08-24T00:00:00-06:00,99.80199639002483 A
2017-08-25T00:00:00-06:00,89.72381281852722 A
2017-08-26T00:00:00-06:00,85.81923993428548 A
2017-08-27T00:00:00-06:00,86.699938138326 A
2017-08-28T00:00:00-06:00,96.11236063639323 A
2017-08-29T00:00:00-06:00,99.84840064920405 A
2017-08-30T00:00:00-06:00,100.09192252159119 A
2017-08-31T00:00:00-06:00,98.87308422724406 A
2017-09-01T00:00:00-06:00,90.40766008694966 A
2017-09-02T00:00:00-06:00,86.38317044576009 A
2017-09-03T00:00:00-06:00,86.4483956587942 A
2017-09-04T00:00:00-06:00,87.91205843289693 A
2017-09-05T00:00:00-06:00,102.55296158790588 A
2017-09-06T00:00:00-06:00,100.73452059427898 A
2017-09-07T00:00:00-06:00,98.03154214223225 A
2017-09-08T00:00:00-06:00,91.06738168816817 A
2017-09-09T00:00:00-06:00,88.55625836054485 A
2017-09-10T00:00:00-06:00,89.24414157867432 A
2017-09-11T00:00:00-06:00,98.57322748502095 A
2017-09-12T00:00:00-06:00,98.84492532412212 A
2017-09-13T00:00:00-06:00,99.78261415163676 A
2017-09-14T00:00:00-06:00,95.80828332901001 A
2017-09-15T00:00:00-06:00,88.92929792404175 A
2017-09-16T00:00:00-06:00,91.84432021776836 A
2017-09-17T00:00:00-06:00,90.3467463652293 A
2017-09-18T00:00:00-06:00,93.64790558815002 A
2017-09-19T00:00:00-06:00,95.42217826843262 A
2017-09-20T00:00:00-06:00,94.46953169504802 A
2017-09-21T00:00:00-06:00,99.40484134356181 A
2017-09-22T00:00:00-06:00,90.74160051345825 A
2017-09-23T00:00:00-06:00,89.52071022987366 A
2017-09-24T00:00:00-06:00,92.46915475527446 A
2017-09-25T00:00:00-06:00,96.3433879216512 A
2017-09-26T00:00:00-06:00,97.08831826845805 A
2017-09-27T00:00:00-06:00,96.33906110127766 A
2017-09-28T00:00:00-06:00,97.54219659169515 A
2017-09-29T00:00:00-06:00,90.28388333320618 A
2017-09-30T00:00:00-06:00,84.76482558250427 A
2017-10-01T00:00:00-06:00,85.0198605855306 A
2017-10-02T00:00:00-06:00,98.01764329274495 A
2017-10-03T00:00:00-06:00,100.85776217778523 A
2017-10-04T00:00:00-06:00,100.43949556350708 A
2017-10-05T00:00:00-06:00,101.25768367449443 A
2017-10-06T00:00:00-06:00,96.25268236796062 A
2017-10-07T00:00:00-06:00,96.95799771944682 A
2017-10-08T00:00:00-06:00,99.91538286209106 A
2017-10-09T00:00:00-06:00,87.69932254155476 A
2017-10-10T00:00:00-06:00,89.74424461523692 A
2017-10-11T00:00:00-06:00,59.61941776672999 A
2017-10-12T00:00:00-06:00,33.02451672156652 A
2017-10-13T00:00:00-06:00,60.05610245466232 A
2017-10-14T00:00:00-06:00,86.36928113301595 A
