Timestamp,['1ce63e47-dff80f20 0028-MARRIOTT CENTER FOR DANCE Power Meter Volts BN']
2017-10-01T00:00:00-06:00,122.43222252527873 V
2017-10-02T00:00:00-06:00,122.39653126398723 V
2017-10-03T00:00:00-06:00,122.43656293551128 V
2017-10-04T00:00:00-06:00,122.29447491963704 V
2017-10-05T00:00:00-06:00,122.43326918284099 V
2017-10-06T00:00:00-06:00,122.41528129577637 V
2017-10-07T00:00:00-06:00,122.52447048823039 V
2017-10-08T00:00:00-06:00,122.66807405153911 V
2017-10-09T00:00:00-06:00,122.49751718839009 V
2017-10-10T00:00:00-06:00,122.56868569056194 V
2017-10-11T00:00:00-06:00,122.45861943562825 V
2017-10-12T00:00:00-06:00,122.6844831307729 V
2017-10-13T00:00:00-06:00,122.59481954574585 V
2017-10-14T00:00:00-06:00,122.56101703643799 V
2017-10-15T00:00:00-06:00,122.57314721743266 V
2017-10-16T00:00:00-06:00,122.46215430895488 V
2017-10-17T00:00:00-06:00,122.34705408414204 V
2017-10-18T00:00:00-06:00,122.27259119351704 V
2017-10-19T00:00:00-06:00,122.33549809455872 V
2017-10-20T00:00:00-06:00,122.32473190625508 V
2017-10-21T00:00:00-06:00,122.3335223197937 V
2017-10-22T00:00:00-06:00,122.53908451398213 V
2017-10-23T00:00:00-06:00,122.24989382425944 V
2017-10-24T00:00:00-06:00,122.20832443237305 V
2017-10-25T00:00:00-06:00,122.27373592058818 V
2017-10-26T00:00:00-06:00,122.33102711041768 V
2017-10-27T00:00:00-06:00,122.36472368240356 V
2017-10-28T00:00:00-06:00,122.34489599863689 V
2017-10-29T00:00:00-06:00,122.52096279462178 V
2017-10-30T00:00:00-06:00,122.47114483515422 V
2017-10-31T00:00:00-06:00,122.58852903048198 V
2017-11-01T00:00:00-06:00,122.30603400866191 V
2017-11-02T00:00:00-06:00,122.35962796211243 V
2017-11-03T00:00:00-06:00,122.32942549387614 V
2017-11-04T00:00:00-06:00,122.33520046869914 V
2017-11-05T00:00:00-06:00,122.35413528442383 V
2017-11-06T00:00:00-07:00,122.2417295773824 V
2017-11-07T00:00:00-07:00,122.25576281547546 V
2017-11-08T00:00:00-07:00,122.27379147211711 V
2017-11-09T00:00:00-07:00,122.39348602294922 V
2017-11-10T00:00:00-07:00,122.34070912996928 V
2017-11-11T00:00:00-07:00,122.29229227701823 V
2017-11-12T00:00:00-07:00,122.49367769559224 V
2017-11-13T00:00:00-07:00,122.45128043492635 V
2017-11-14T00:00:00-07:00,122.64010262489319 V
2017-11-15T00:00:00-07:00,122.39563171068828 V
2017-11-16T00:00:00-07:00,122.25185958544414 V
2017-11-17T00:00:00-07:00,122.41802295049031 V
2017-11-18T00:00:00-07:00,122.45638942718506 V
2017-11-19T00:00:00-07:00,122.66897988319397 V
2017-11-20T00:00:00-07:00,122.35118627548218 V
2017-11-21T00:00:00-07:00,122.39942463239034 V
2017-11-22T00:00:00-07:00,122.41094136238098 V
2017-11-23T00:00:00-07:00,122.78288825352986 V
2017-11-24T00:00:00-07:00,122.62158107757568 V
2017-11-25T00:00:00-07:00,122.55270433425903 V
2017-11-26T00:00:00-07:00,122.67892320950826 V
2017-11-27T00:00:00-07:00,122.35628644625346 V
2017-11-28T00:00:00-07:00,122.38590407371521 V
2017-11-29T00:00:00-07:00,122.44038836161296 V
2017-11-30T00:00:00-07:00,122.508895556132 V
2017-12-01T00:00:00-07:00,122.29230260848999 V
2017-12-02T00:00:00-07:00,122.39917763074239 V
2017-12-03T00:00:00-07:00,122.52983061472575 V
2017-12-04T00:00:00-07:00,122.47352337837219 V
2017-12-05T00:00:00-07:00,122.40290451049805 V
2017-12-06T00:00:00-07:00,122.23312282562256 V
2017-12-07T00:00:00-07:00,122.27744483947754 V
2017-12-08T00:00:00-07:00,122.34982339541118 V
2017-12-09T00:00:00-07:00,122.68237034479777 V
2017-12-10T00:00:00-07:00,122.66432857513428 V
2017-12-11T00:00:00-07:00,122.71338891983032 V
2017-12-12T00:00:00-07:00,122.40391182899475 V
2017-12-13T00:00:00-07:00,122.71289300918579 V
2017-12-14T00:00:00-07:00,122.52531107266744 V
2017-12-15T00:00:00-07:00,122.53979555765788 V
