Timestamp,['1ce63d34-46ecef96 0028-MARRIOTT CENTER FOR DANCE Power Meter Current A']
2017-07-02T00:00:00-06:00,216.4582144419352 A
2017-07-03T00:00:00-06:00,249.67195177078247 A
2017-07-04T00:00:00-06:00,231.09235175450644 A
2017-07-05T00:00:00-06:00,255.12680514653525 A
2017-07-06T00:00:00-06:00,262.7448121706645 A
2017-07-07T00:00:00-06:00,266.56466150283813 A
2017-07-08T00:00:00-06:00,237.27853997548422 A
2017-07-09T00:00:00-06:00,223.19598197937012 A
2017-07-10T00:00:00-06:00,262.4104127883911 A
2017-07-11T00:00:00-06:00,253.05766264597574 A
2017-07-12T00:00:00-06:00,243.71821975708008 A
2017-07-13T00:00:00-06:00,257.5770462354024 A
2017-07-14T00:00:00-06:00,269.1901903152466 A
2017-07-15T00:00:00-06:00,234.1157431602478 A
2017-07-16T00:00:00-06:00,226.1869338353475 A
2017-07-17T00:00:00-06:00,226.78009223937988 A
2017-07-18T00:00:00-06:00,223.25049591064453 A
2017-07-19T00:00:00-06:00,214.92946799596152 A
2017-07-20T00:00:00-06:00,225.14326238632202 A
2017-07-21T00:00:00-06:00,228.4245751698812 A
2017-07-22T00:00:00-06:00,208.15531571706137 A
2017-07-23T00:00:00-06:00,196.8756284713745 A
2017-07-24T00:00:00-06:00,209.5126544634501 A
2017-07-25T00:00:00-06:00,221.09169801076254 A
2017-07-26T00:00:00-06:00,231.20743815104166 A
2017-07-27T00:00:00-06:00,236.87233543395996 A
2017-07-28T00:00:00-06:00,243.93947569529215 A
2017-07-29T00:00:00-06:00,228.18130779266357 A
2017-07-30T00:00:00-06:00,219.65277814865112 A
2017-07-31T00:00:00-06:00,230.8513215382894 A
2017-08-01T00:00:00-06:00,235.1093781789144 A
2017-08-02T00:00:00-06:00,239.36775048573813 A
2017-08-03T00:00:00-06:00,233.71110741297403 A
2017-08-04T00:00:00-06:00,231.9846454196506 A
2017-08-05T00:00:00-06:00,231.5232022603353 A
2017-08-06T00:00:00-06:00,218.39352099100748 A
2017-08-07T00:00:00-06:00,230.92473125457764 A
2017-08-08T00:00:00-06:00,235.66151571273804 A
2017-08-09T00:00:00-06:00,264.5138080914815 A
2017-08-10T00:00:00-06:00,248.6053945890037 A
2017-08-11T00:00:00-06:00,224.56427717208862 A
2017-08-12T00:00:00-06:00,217.13365681966147 A
2017-08-13T00:00:00-06:00,199.98623768488565 A
2017-08-14T00:00:00-06:00,227.10009892781576 A
2017-08-15T00:00:00-06:00,233.75489775339761 A
2017-08-16T00:00:00-06:00,243.7803022066752 A
2017-08-17T00:00:00-06:00,231.22381718953451 A
2017-08-18T00:00:00-06:00,249.02488454182944 A
2017-08-19T00:00:00-06:00,235.02626593907675 A
2017-08-20T00:00:00-06:00,222.90806945165 A
2017-08-21T00:00:00-06:00,276.00222667058307 A
2017-08-22T00:00:00-06:00,283.71304353078204 A
2017-08-23T00:00:00-06:00,295.001505057017 A
2017-08-24T00:00:00-06:00,298.8011490503947 A
2017-08-25T00:00:00-06:00,286.4989201227824 A
2017-08-26T00:00:00-06:00,241.92861668268839 A
2017-08-27T00:00:00-06:00,226.2286491394043 A
2017-08-28T00:00:00-06:00,297.8607779416171 A
2017-08-29T00:00:00-06:00,301.85858238136376 A
2017-08-30T00:00:00-06:00,297.67338037490845 A
2017-08-31T00:00:00-06:00,290.07152620951337 A
2017-09-01T00:00:00-06:00,289.28631083170575 A
2017-09-02T00:00:00-06:00,241.86391560236612 A
2017-09-03T00:00:00-06:00,219.61824099222818 A
2017-09-04T00:00:00-06:00,242.16596937179565 A
2017-09-05T00:00:00-06:00,313.5639861424764 A
2017-09-06T00:00:00-06:00,319.51661491394043 A
2017-09-07T00:00:00-06:00,304.5121127764384 A
2017-09-08T00:00:00-06:00,293.99910509717336 A
2017-09-09T00:00:00-06:00,278.3764934539795 A
2017-09-10T00:00:00-06:00,232.90959072113037 A
2017-09-11T00:00:00-06:00,301.0054306983948 A
2017-09-12T00:00:00-06:00,312.62829478581745 A
2017-09-13T00:00:00-06:00,307.0365381240845 A
2017-09-14T00:00:00-06:00,301.8620942433675 A
2017-09-15T00:00:00-06:00,279.8439796765645 A
2017-09-16T00:00:00-06:00,262.08803192774457 A
2017-09-17T00:00:00-06:00,245.87175591786703 A
2017-09-18T00:00:00-06:00,271.3575560251872 A
2017-09-19T00:00:00-06:00,286.34304332733154 A
2017-09-20T00:00:00-06:00,291.61121225357056 A
2017-09-21T00:00:00-06:00,298.6481351852417 A
2017-09-22T00:00:00-06:00,302.3088065783183 A
2017-09-23T00:00:00-06:00,285.72006098429364 A
2017-09-24T00:00:00-06:00,273.38583040237427 A
2017-09-25T00:00:00-06:00,291.3978730837504 A
2017-09-26T00:00:00-06:00,303.04604864120483 A
2017-09-27T00:00:00-06:00,281.7415035565694 A
2017-09-28T00:00:00-06:00,275.31395626068115 A
2017-09-29T00:00:00-06:00,269.18878698349 A
2017-09-30T00:00:00-06:00,266.48151842753094 A
2017-10-01T00:00:00-06:00,242.78697697321573 A
2017-10-02T00:00:00-06:00,286.502876440684 A
2017-10-03T00:00:00-06:00,294.77079153060913 A
2017-10-04T00:00:00-06:00,291.2311264673869 A
2017-10-05T00:00:00-06:00,294.02177476882935 A
2017-10-06T00:00:00-06:00,294.98608509699505 A
2017-10-07T00:00:00-06:00,256.996506690979 A
2017-10-08T00:00:00-06:00,204.3944328625997 A
2017-10-09T00:00:00-06:00,235.40797011057535 A
2017-10-10T00:00:00-06:00,251.95234489440918 A
2017-10-11T00:00:00-06:00,235.40483570098877 A
2017-10-12T00:00:00-06:00,243.30319341023764 A
2017-10-13T00:00:00-06:00,244.71268939971924 A
2017-10-14T00:00:00-06:00,231.5146026611328 A
2017-10-15T00:00:00-06:00,200.66333627700806 A
2017-10-16T00:00:00-06:00,266.47038316726685 A
2017-10-17T00:00:00-06:00,276.1893111864726 A
2017-10-18T00:00:00-06:00,290.003703435262 A
2017-10-19T00:00:00-06:00,285.56877040863037 A
2017-10-20T00:00:00-06:00,277.25544595718384 A
2017-10-21T00:00:00-06:00,263.8690333366394 A
2017-10-22T00:00:00-06:00,222.71833864847818 A
2017-10-23T00:00:00-06:00,268.3572433789571 A
2017-10-24T00:00:00-06:00,278.3535950978597 A
2017-10-25T00:00:00-06:00,285.90686257680255 A
2017-10-26T00:00:00-06:00,288.9522617657979 A
2017-10-27T00:00:00-06:00,278.8695551554362 A
2017-10-28T00:00:00-06:00,244.06010818481445 A
2017-10-29T00:00:00-06:00,228.98299566904703 A
2017-10-30T00:00:00-06:00,275.0882199605306 A
2017-10-31T00:00:00-06:00,240.01200087865195 A
2017-11-01T00:00:00-06:00,293.029714902242 A
2017-11-02T00:00:00-06:00,288.2196002006531 A
2017-11-03T00:00:00-06:00,279.9854172070821 A
2017-11-04T00:00:00-06:00,278.6654637654622 A
2017-11-05T00:00:00-06:00,240.40931915283204 A
2017-11-06T00:00:00-07:00,283.8421549797058 A
2017-11-07T00:00:00-07:00,287.34235763549805 A
2017-11-08T00:00:00-07:00,273.80131642023724 A
2017-11-09T00:00:00-07:00,276.86057408650714 A
2017-11-10T00:00:00-07:00,301.1820656458537 A
2017-11-11T00:00:00-07:00,279.8241942723592 A
2017-11-12T00:00:00-07:00,233.75518306096396 A
2017-11-13T00:00:00-07:00,272.3321975072225 A
2017-11-14T00:00:00-07:00,280.5426524480184 A
2017-11-15T00:00:00-07:00,287.93793471654254 A
2017-11-16T00:00:00-07:00,280.4077828725179 A
2017-11-17T00:00:00-07:00,276.24919335047406 A
2017-11-18T00:00:00-07:00,269.4017384847005 A
2017-11-19T00:00:00-07:00,227.28736877441406 A
2017-11-20T00:00:00-07:00,280.3377947807312 A
2017-11-21T00:00:00-07:00,285.58044306437176 A
2017-11-22T00:00:00-07:00,246.43784475326538 A
2017-11-23T00:00:00-07:00,212.4203381538391 A
2017-11-24T00:00:00-07:00,210.8932228088379 A
2017-11-25T00:00:00-07:00,193.27189906438193 A
2017-11-26T00:00:00-07:00,196.8843412399292 A
2017-11-27T00:00:00-07:00,263.7027796109517 A
2017-11-28T00:00:00-07:00,268.6226766904195 A
2017-11-29T00:00:00-07:00,260.56225538253784 A
2017-11-30T00:00:00-07:00,273.14250532786053 A
2017-12-01T00:00:00-07:00,266.4941876729329 A
2017-12-02T00:00:00-07:00,247.4727964401245 A
2017-12-03T00:00:00-07:00,216.06895081202188 A
2017-12-04T00:00:00-07:00,260.0949805577596 A
2017-12-05T00:00:00-07:00,270.7184745470683 A
2017-12-06T00:00:00-07:00,264.5748790105184 A
2017-12-07T00:00:00-07:00,261.2095154126485 A
2017-12-08T00:00:00-07:00,260.2565480868022 A
2017-12-09T00:00:00-07:00,228.17738231023154 A
2017-12-10T00:00:00-07:00,224.16308403015137 A
2017-12-11T00:00:00-07:00,223.75664488474527 A
2017-12-12T00:00:00-07:00,251.41720040639242 A
2017-12-13T00:00:00-07:00,253.93223762512207 A
2017-12-14T00:00:00-07:00,254.58900753657022 A
2017-12-15T00:00:00-07:00,239.08292484283447 A
2017-12-16T00:00:00-07:00,263.02281665802 A
2017-12-17T00:00:00-07:00,195.04268566767374 A
2017-12-18T00:00:00-07:00,217.88829627403845 A
2017-12-19T00:00:00-07:00,207.44290844599405 A
2017-12-20T00:00:00-07:00,212.8325250943502 A
2017-12-21T00:00:00-07:00,212.19536097844443 A
2017-12-22T00:00:00-07:00,193.99996932347617 A
2017-12-23T00:00:00-07:00,193.1242594718933 A
2017-12-24T00:00:00-07:00,188.5528038342794 A
2017-12-25T00:00:00-07:00,190.25091950098673 A
2017-12-26T00:00:00-07:00,193.7150247891744 A
2017-12-27T00:00:00-07:00,194.31200774510702 A
2017-12-28T00:00:00-07:00,198.08186181386313 A
2017-12-29T00:00:00-07:00,206.4692128499349 A
2017-12-30T00:00:00-07:00,207.235226949056 A
2017-12-31T00:00:00-07:00,201.44425900777182 A
