Timestamp,['1cbae8a7-6863c3f8 0038-ART BLDG Power Meter 300086 Current A']
2017-08-26T00:00:00-06:00,65.66914335886638 A
2017-08-27T00:00:00-06:00,65.83188903331757 A
2017-08-28T00:00:00-06:00,81.37507051037204 A
2017-08-29T00:00:00-06:00,82.06064704156691 A
2017-08-30T00:00:00-06:00,83.79625956217448 A
2017-08-31T00:00:00-06:00,81.28703689575195 A
2017-09-01T00:00:00-06:00,84.03991901874542 A
2017-09-02T00:00:00-06:00,72.71237603823344 A
2017-09-03T00:00:00-06:00,77.1908442179362 A
2017-09-04T00:00:00-06:00,83.37354890505473 A
2017-09-05T00:00:00-06:00,90.87731599807739 A
2017-09-06T00:00:00-06:00,93.33703684806824 A
2017-09-07T00:00:00-06:00,89.72295864423116 A
2017-09-08T00:00:00-06:00,86.79177230031867 A
2017-09-09T00:00:00-06:00,107.08412909507751 A
2017-09-10T00:00:00-06:00,96.58913954099019 A
2017-09-11T00:00:00-06:00,93.04617524147034 A
2017-09-12T00:00:00-06:00,85.57785201072693 A
2017-09-13T00:00:00-06:00,97.03705016771953 A
2017-09-14T00:00:00-06:00,91.18043359120686 A
2017-09-15T00:00:00-06:00,89.16785768667857 A
2017-09-16T00:00:00-06:00,72.81150023142497 A
2017-09-17T00:00:00-06:00,83.21546280384064 A
2017-09-18T00:00:00-06:00,92.4623544216156 A
2017-09-19T00:00:00-06:00,95.5533457994461 A
2017-09-20T00:00:00-06:00,90.98857426643372 A
2017-09-21T00:00:00-06:00,88.9128011862437 A
2017-09-22T00:00:00-06:00,80.70449147325881 A
2017-09-23T00:00:00-06:00,74.2884948650996 A
2017-09-24T00:00:00-06:00,74.99775222937267 A
2017-09-25T00:00:00-06:00,91.36523413658142 A
2017-09-26T00:00:00-06:00,83.30364239215851 A
2017-09-27T00:00:00-06:00,84.09642104307811 A
2017-09-28T00:00:00-06:00,104.21926999092102 A
2017-09-29T00:00:00-06:00,91.52249717712402 A
2017-09-30T00:00:00-06:00,78.8435697555542 A
2017-10-01T00:00:00-06:00,83.38232167561848 A
2017-10-02T00:00:00-06:00,89.8382234272204 A
2017-10-03T00:00:00-06:00,88.59398293495178 A
2017-10-04T00:00:00-06:00,91.22964445749919 A
2017-10-05T00:00:00-06:00,88.85657938321431 A
2017-10-06T00:00:00-06:00,76.96280388037364 A
2017-10-07T00:00:00-06:00,69.3074404001236 A
2017-10-08T00:00:00-06:00,69.16162089506786 A
2017-10-09T00:00:00-06:00,80.33836925029755 A
2017-10-10T00:00:00-06:00,75.22941939036052 A
2017-10-11T00:00:00-06:00,69.48178517818451 A
2017-10-12T00:00:00-06:00,66.73940738042195 A
2017-10-13T00:00:00-06:00,82.52114244302113 A
2017-10-14T00:00:00-06:00,61.25684460004171 A
2017-10-15T00:00:00-06:00,70.21843036015828 A
2017-10-16T00:00:00-06:00,80.04061532020569 A
2017-10-17T00:00:00-06:00,83.46454222997029 A
2017-10-18T00:00:00-06:00,86.33034388224284 A
2017-10-19T00:00:00-06:00,67.10273663202922 A
2017-10-20T00:00:00-06:00,70.38364545504253 A
2017-10-21T00:00:00-06:00,55.16247089703878 A
2017-10-22T00:00:00-06:00,63.9189567565918 A
2017-10-23T00:00:00-06:00,69.20104988416035 A
2017-10-24T00:00:00-06:00,76.33966902891795 A
2017-10-25T00:00:00-06:00,75.29941523075104 A
2017-10-26T00:00:00-06:00,79.5020425717036 A
2017-10-27T00:00:00-06:00,76.47556053323949 A
2017-10-28T00:00:00-06:00,76.10340277353923 A
2017-10-29T00:00:00-06:00,69.97919185956319 A
2017-10-30T00:00:00-06:00,84.14990214506786 A
2017-10-31T00:00:00-06:00,75.04865976174672 A
2017-11-01T00:00:00-06:00,82.18373934427898 A
2017-11-02T00:00:00-06:00,88.44327696164449 A
2017-11-03T00:00:00-06:00,106.84795880317688 A
2017-11-04T00:00:00-06:00,73.81943873564403 A
2017-11-05T00:00:00-06:00,70.35977317810058 A
2017-11-06T00:00:00-07:00,90.36584711074829 A
2017-11-07T00:00:00-07:00,94.73758963743846 A
2017-11-08T00:00:00-07:00,91.31715031464894 A
2017-11-09T00:00:00-07:00,87.66758600870769 A
2017-11-10T00:00:00-07:00,83.95596305529277 A
2017-11-11T00:00:00-07:00,70.50050799051921 A
2017-11-12T00:00:00-07:00,76.58679628372192 A
2017-11-13T00:00:00-07:00,94.3253511985143 A
2017-11-14T00:00:00-07:00,105.95130769411723 A
2017-11-15T00:00:00-07:00,84.00253693262736 A
2017-11-16T00:00:00-07:00,82.43073685963948 A
2017-11-17T00:00:00-07:00,82.29954397678375 A
2017-11-18T00:00:00-07:00,84.02875803897255 A
2017-11-19T00:00:00-07:00,68.13591329256694 A
2017-11-20T00:00:00-07:00,92.80088671048482 A
2017-11-21T00:00:00-07:00,85.36604988574982 A
2017-11-22T00:00:00-07:00,80.46458164850871 A
2017-11-23T00:00:00-07:00,67.25129707654317 A
2017-11-24T00:00:00-07:00,68.1022268931071 A
2017-11-25T00:00:00-07:00,68.1174746354421 A
2017-11-26T00:00:00-07:00,84.16786539554596 A
2017-11-27T00:00:00-07:00,84.61597180366516 A
2017-11-28T00:00:00-07:00,95.78209598859151 A
2017-11-29T00:00:00-07:00,98.44972276687622 A
2017-11-30T00:00:00-07:00,101.47848018010457 A
2017-12-01T00:00:00-07:00,93.94036205609639 A
2017-12-02T00:00:00-07:00,81.46533783276875 A
2017-12-03T00:00:00-07:00,95.64817627271016 A
2017-12-04T00:00:00-07:00,94.48535903294881 A
2017-12-05T00:00:00-07:00,99.06984114646912 A
2017-12-06T00:00:00-07:00,97.14630913734436 A
2017-12-07T00:00:00-07:00,93.94025524457295 A
2017-12-08T00:00:00-07:00,85.22731852531433 A
2017-12-09T00:00:00-07:00,80.67931358019511 A
2017-12-10T00:00:00-07:00,70.28096814950307 A
2017-12-11T00:00:00-07:00,74.31575020154317 A
2017-12-12T00:00:00-07:00,80.16889599959056 A
2017-12-13T00:00:00-07:00,77.96158436934154 A
2017-12-14T00:00:00-07:00,87.62404421965282 A
2017-12-15T00:00:00-07:00,67.17909502983093 A
2017-12-16T00:00:00-07:00,64.2980986436208 A
2017-12-17T00:00:00-07:00,77.75972672303517 A
2017-12-18T00:00:00-07:00,88.56586009199901 A
2017-12-19T00:00:00-07:00,76.57582720120747 A
2017-12-20T00:00:00-07:00,77.18758475780487 A
2017-12-21T00:00:00-07:00,82.44067005316417 A
2017-12-22T00:00:00-07:00,65.99952391783397 A
2017-12-23T00:00:00-07:00,78.76256227493286 A
2017-12-24T00:00:00-07:00,71.77888468901317 A
2017-12-25T00:00:00-07:00,65.76149149735768 A
2017-12-26T00:00:00-07:00,85.03242925802867 A
2017-12-27T00:00:00-07:00,74.63194648424785 A
2017-12-28T00:00:00-07:00,80.60797778765361 A
2017-12-29T00:00:00-07:00,72.7948493162791 A
2017-12-30T00:00:00-07:00,73.90853953361511 A
2017-12-31T00:00:00-07:00,72.65286509195964 A
