Timestamp,['1d09e916-9c816e43 0084-BIOLOGY BLDG Power Meter 316501 KWH Received']
2017-06-09T00:00:00-06:00,6115.5 kWh
2017-06-10T00:00:00-06:00,5846.21875 kWh
2017-06-11T00:00:00-06:00,5913.1875 kWh
2017-06-12T00:00:00-06:00,5969.96875 kWh
2017-06-13T00:00:00-06:00,5932.1875 kWh
2017-06-14T00:00:00-06:00,6031.03125 kWh
2017-06-15T00:00:00-06:00,6122.4375 kWh
2017-06-16T00:00:00-06:00,6156.34375 kWh
2017-06-17T00:00:00-06:00,5778.53125 kWh
2017-06-18T00:00:00-06:00,5840.875 kWh
2017-06-19T00:00:00-06:00,6166.6875 kWh
2017-06-20T00:00:00-06:00,6217.375 kWh
2017-06-21T00:00:00-06:00,6238.0625 kWh
2017-06-22T00:00:00-06:00,6198.3125 kWh
2017-06-23T00:00:00-06:00,6113.625 kWh
2017-06-24T00:00:00-06:00,5880.875 kWh
2017-06-25T00:00:00-06:00,5898.1875 kWh
2017-06-26T00:00:00-06:00,6307.4375 kWh
2017-06-27T00:00:00-06:00,6258.1875 kWh
2017-06-28T00:00:00-06:00,6201 kWh
2017-06-29T00:00:00-06:00,6143.6875 kWh
2017-06-30T00:00:00-06:00,6055.875 kWh
2017-07-01T00:00:00-06:00,5892.4375 kWh
2017-07-02T00:00:00-06:00,5919.5 kWh
2017-07-03T00:00:00-06:00,6177.4375 kWh
2017-07-04T00:00:00-06:00,6085.1875 kWh
2017-07-05T00:00:00-06:00,6332.6875 kWh
2017-07-06T00:00:00-06:00,6329.75 kWh
2017-07-07T00:00:00-06:00,6292.6875 kWh
2017-07-08T00:00:00-06:00,6111.125 kWh
2017-07-09T00:00:00-06:00,6025.1875 kWh
2017-07-10T00:00:00-06:00,6325.5625 kWh
2017-07-11T00:00:00-06:00,6309 kWh
2017-07-12T00:00:00-06:00,6366.9375 kWh
2017-07-13T00:00:00-06:00,6423.75 kWh
2017-07-14T00:00:00-06:00,6386.3125 kWh
2017-07-15T00:00:00-06:00,6200.875 kWh
2017-07-16T00:00:00-06:00,6186.5625 kWh
