Timestamp,['1d0b1c39-7684d911 0084-BIOLOGY BLDG Power Meter 316501 Current C']
2017-08-14T00:00:00-06:00,769.5875453948975 A
2017-08-15T00:00:00-06:00,794.4480272928873 A
2017-08-16T00:00:00-06:00,775.380478568699 A
2017-08-17T00:00:00-06:00,755.6487312316895 A
2017-08-18T00:00:00-06:00,795.5136063893636 A
2017-08-19T00:00:00-06:00,810.902193069458 A
2017-08-20T00:00:00-06:00,815.388599395752 A
2017-08-21T00:00:00-06:00,806.9926954905192 A
2017-08-22T00:00:00-06:00,756.1553185780843 A
2017-08-23T00:00:00-06:00,770.9560108184814 A
2017-08-24T00:00:00-06:00,817.7881870269775 A
2017-08-25T00:00:00-06:00,742.5205497741699 A
2017-08-26T00:00:00-06:00,776.3765508478338 A
2017-08-27T00:00:00-06:00,767.7871799698795 A
2017-08-28T00:00:00-06:00,770.1553305974082 A
2017-08-29T00:00:00-06:00,778.9922963460286 A
2017-08-30T00:00:00-06:00,761.7306213378906 A
2017-08-31T00:00:00-06:00,718.420537109375 A
2017-09-01T00:00:00-06:00,749.5642739572833 A
2017-09-02T00:00:00-06:00,768.063070933024 A
2017-09-03T00:00:00-06:00,761.2399520874023 A
2017-09-04T00:00:00-06:00,748.6501285328585 A
2017-09-05T00:00:00-06:00,783.3518343838779 A
2017-09-06T00:00:00-06:00,808.2517324594351 A
2017-09-07T00:00:00-06:00,790.2346093314035 A
2017-09-08T00:00:00-06:00,782.2650982400645 A
2017-09-09T00:00:00-06:00,773.8926674979074 A
2017-09-10T00:00:00-06:00,758.7196823646283 A
2017-09-11T00:00:00-06:00,785.4082725787985 A
2017-09-12T00:00:00-06:00,782.1190661414195 A
2017-09-13T00:00:00-06:00,773.234375 A
2017-09-14T00:00:00-06:00,734.8997606180482 A
2017-09-15T00:00:00-06:00,751.2030663123497 A
2017-09-16T00:00:00-06:00,738.373624579851 A
2017-09-17T00:00:00-06:00,735.3457837785993 A
2017-09-18T00:00:00-06:00,775.5938076443142 A
2017-09-19T00:00:00-06:00,745.215369399713 A
2017-09-20T00:00:00-06:00,782.4651266244741 A
2017-09-21T00:00:00-06:00,747.8804141773898 A
2017-09-22T00:00:00-06:00,730.2807364114901 A
2017-09-23T00:00:00-06:00,708.5493476019965 A
2017-09-24T00:00:00-06:00,681.6015562719228 A
2017-09-25T00:00:00-06:00,743.3251342773438 A
2017-09-26T00:00:00-06:00,738.4561030946929 A
