Timestamp,['1cdb9d59-2bb7c5f9 0086-MARRIOTT LIBRARY Power Meter 4 KW Total']
2017-09-15T00:00:00-06:00,57.20000076293945 kW
2017-09-16T00:00:00-06:00,44.099998474121094 kW
2017-09-17T00:00:00-06:00,43.599998474121094 kW
2017-09-18T00:00:00-06:00,62.5 kW
2017-09-19T00:00:00-06:00,62 kW
2017-09-20T00:00:00-06:00,64.30000305175781 kW
2017-09-21T00:00:00-06:00,60.20000076293945 kW
2017-09-22T00:00:00-06:00,53.70000076293945 kW
2017-09-23T00:00:00-06:00,45.20000076293945 kW
2017-09-24T00:00:00-06:00,44 kW
2017-09-25T00:00:00-06:00,64.5 kW
2017-09-26T00:00:00-06:00,62.70000076293945 kW
2017-09-27T00:00:00-06:00,66.5999984741211 kW
2017-09-28T00:00:00-06:00,59.400001525878906 kW
2017-09-29T00:00:00-06:00,57.29999923706055 kW
2017-09-30T00:00:00-06:00,45.70000076293945 kW
2017-10-01T00:00:00-06:00,43.29999923706055 kW
2017-10-02T00:00:00-06:00,64.9000015258789 kW
2017-10-03T00:00:00-06:00,65 kW
2017-10-04T00:00:00-06:00,63.400001525878906 kW
2017-10-05T00:00:00-06:00,64.80000305175781 kW
2017-10-06T00:00:00-06:00,52.20000076293945 kW
2017-10-07T00:00:00-06:00,41.599998474121094 kW
2017-10-08T00:00:00-06:00,40.599998474121094 kW
2017-10-09T00:00:00-06:00,47.900001525878906 kW
2017-10-10T00:00:00-06:00,46.79999923706055 kW
2017-10-11T00:00:00-06:00,49 kW
2017-10-12T00:00:00-06:00,51.20000076293945 kW
2017-10-13T00:00:00-06:00,51.599998474121094 kW
2017-10-14T00:00:00-06:00,42.5 kW
2017-10-15T00:00:00-06:00,40.20000076293945 kW
2017-10-16T00:00:00-06:00,64.80000305175781 kW
2017-10-17T00:00:00-06:00,61 kW
2017-10-18T00:00:00-06:00,64.5 kW
2017-10-19T00:00:00-06:00,63.70000076293945 kW
2017-10-20T00:00:00-06:00,55.400001525878906 kW
2017-10-21T00:00:00-06:00,43.5 kW
2017-10-22T00:00:00-06:00,43.79999923706055 kW
2017-10-23T00:00:00-06:00,62.29999923706055 kW
