Timestamp,['1cac280a-0c99d439 0077-CHRISTENSEN CNTR Power Meter (300172) Current B']
2017-05-02T00:00:00-06:00,106.51100075509814 A
2017-05-03T00:00:00-06:00,107.36777793566385 A
2017-05-04T00:00:00-06:00,103.18200574451022 A
2017-05-05T00:00:00-06:00,101.50942166116502 A
2017-05-06T00:00:00-06:00,98.29023597505358 A
2017-05-07T00:00:00-06:00,98.10554234981537 A
2017-05-08T00:00:00-06:00,103.93564112423847 A
2017-05-09T00:00:00-06:00,102.60561792850494 A
2017-05-10T00:00:00-06:00,98.48834065861172 A
2017-05-11T00:00:00-06:00,102.59062512406382 A
2017-05-12T00:00:00-06:00,108.94014377593994 A
2017-05-13T00:00:00-06:00,110.4576131714715 A
2017-05-14T00:00:00-06:00,110.36429283401881 A
2017-05-15T00:00:00-06:00,104.92555586761898 A
2017-05-16T00:00:00-06:00,108.8918539709515 A
2017-05-17T00:00:00-06:00,102.09319162368774 A
2017-05-18T00:00:00-06:00,105.841059546242 A
2017-05-19T00:00:00-06:00,96.8793805996577 A
2017-05-20T00:00:00-06:00,93.50953410996331 A
2017-05-21T00:00:00-06:00,95.36744380262164 A
2017-05-22T00:00:00-06:00,116.4607356128507 A
2017-05-23T00:00:00-06:00,117.78074402279324 A
2017-05-24T00:00:00-06:00,113.04929498036702 A
2017-05-25T00:00:00-06:00,109.4773763179779 A
2017-05-26T00:00:00-06:00,110.58909279240503 A
2017-05-27T00:00:00-06:00,103.70401390923394 A
2017-05-28T00:00:00-06:00,94.31930476824442 A
2017-05-29T00:00:00-06:00,95.68205764293671 A
2017-05-30T00:00:00-06:00,115.5965819766407 A
2017-05-31T00:00:00-06:00,111.74538627730476 A
2017-06-01T00:00:00-06:00,111.78529244450085 A
2017-06-02T00:00:00-06:00,100.45212081803216 A
2017-06-03T00:00:00-06:00,94.93846117125617 A
2017-06-04T00:00:00-06:00,95.31313462522294 A
2017-06-05T00:00:00-06:00,111.47602834701539 A
2017-06-06T00:00:00-06:00,114.7338912598038 A
2017-06-07T00:00:00-06:00,113.32031012641059 A
2017-06-08T00:00:00-06:00,115.21623978339773 A
2017-06-09T00:00:00-06:00,116.56208002807533 A
2017-06-10T00:00:00-06:00,112.49297001361847 A
2017-06-11T00:00:00-06:00,103.48496642122673 A
2017-06-12T00:00:00-06:00,114.65542579491934 A
2017-06-13T00:00:00-06:00,116.76461150116391 A
2017-06-14T00:00:00-06:00,115.3948312441508 A
2017-06-15T00:00:00-06:00,118.93815615443906 A
2017-06-16T00:00:00-06:00,111.1588210158878 A
2017-06-17T00:00:00-06:00,106.4435460779402 A
2017-06-18T00:00:00-06:00,104.19621562163034 A
