Timestamp,['1cbae9c6-fc675091 0038-ART BLDG Power Meter 300086 Volts BN']
2017-08-01T00:00:00-06:00,122.30795391400655 V
2017-08-02T00:00:00-06:00,122.26701188087463 V
2017-08-03T00:00:00-06:00,122.40337324142456 V
2017-08-04T00:00:00-06:00,122.27103700742617 V
2017-08-05T00:00:00-06:00,122.3812317053477 V
2017-08-06T00:00:00-06:00,122.42673055330913 V
2017-08-07T00:00:00-06:00,122.33905752499898 V
2017-08-08T00:00:00-06:00,122.2931083838145 V
2017-08-09T00:00:00-06:00,122.3600827852885 V
2017-08-10T00:00:00-06:00,122.38771747020965 V
2017-08-11T00:00:00-06:00,122.28308939933777 V
2017-08-12T00:00:00-06:00,122.42126735051473 V
2017-08-13T00:00:00-06:00,122.4345715045929 V
2017-08-14T00:00:00-06:00,122.35222268104553 V
2017-08-15T00:00:00-06:00,122.26705034573872 V
2017-08-16T00:00:00-06:00,122.3134678999583 V
2017-08-17T00:00:00-06:00,122.33351111412048 V
2017-08-18T00:00:00-06:00,122.37359507878621 V
2017-08-19T00:00:00-06:00,122.32673676808675 V
2017-08-20T00:00:00-06:00,122.37617301940918 V
2017-08-21T00:00:00-06:00,122.32137084007263 V
2017-08-22T00:00:00-06:00,122.40625023841858 V
2017-08-23T00:00:00-06:00,122.39337960879008 V
2017-08-24T00:00:00-06:00,122.38907972971599 V
2017-08-25T00:00:00-06:00,122.34575128555298 V
2017-08-26T00:00:00-06:00,122.33652702967326 V
2017-08-27T00:00:00-06:00,122.29195602734883 V
2017-08-28T00:00:00-06:00,122.35094816788383 V
2017-08-29T00:00:00-06:00,122.34229926652806 V
2017-08-30T00:00:00-06:00,122.30187431971233 V
2017-08-31T00:00:00-06:00,122.33536585172017 V
2017-09-01T00:00:00-06:00,122.33691787719727 V
2017-09-02T00:00:00-06:00,122.3171402613322 V
2017-09-03T00:00:00-06:00,122.43710883458455 V
2017-09-04T00:00:00-06:00,122.17036048571269 V
2017-09-05T00:00:00-06:00,122.33403118451436 V
2017-09-06T00:00:00-06:00,122.31576045354207 V
2017-09-07T00:00:00-06:00,122.2097996075948 V
2017-09-08T00:00:00-06:00,122.3879909109562 V
2017-09-09T00:00:00-06:00,122.36618153254192 V
2017-09-10T00:00:00-06:00,122.39655447006226 V
2017-09-11T00:00:00-06:00,122.24789214134216 V
2017-09-12T00:00:00-06:00,122.27294611930847 V
2017-09-13T00:00:00-06:00,122.26515165964763 V
2017-09-14T00:00:00-06:00,122.42626182238261 V
2017-09-15T00:00:00-06:00,122.4203851222992 V
2017-09-16T00:00:00-06:00,122.55356025695801 V
2017-09-17T00:00:00-06:00,122.40374342600505 V
2017-09-18T00:00:00-06:00,122.31771898269653 V
2017-09-19T00:00:00-06:00,122.17507497469585 V
2017-09-20T00:00:00-06:00,122.36482357978821 V
2017-09-21T00:00:00-06:00,122.35476724306743 V
2017-09-22T00:00:00-06:00,122.58531759161698 V
2017-09-23T00:00:00-06:00,122.30723762512207 V
2017-09-24T00:00:00-06:00,122.48525603612264 V
2017-09-25T00:00:00-06:00,122.46329649289449 V
2017-09-26T00:00:00-06:00,122.38403844833374 V
2017-09-27T00:00:00-06:00,122.5251518090566 V
2017-09-28T00:00:00-06:00,122.45071975390117 V
2017-09-29T00:00:00-06:00,122.4371497631073 V
2017-09-30T00:00:00-06:00,122.30375973383586 V
2017-10-01T00:00:00-06:00,122.22812469800313 V
2017-10-02T00:00:00-06:00,122.31979735692342 V
2017-10-03T00:00:00-06:00,122.16706506411235 V
2017-10-04T00:00:00-06:00,122.3982675075531 V
2017-10-05T00:00:00-06:00,122.34220131238301 V
2017-10-06T00:00:00-06:00,122.3711592356364 V
2017-10-07T00:00:00-06:00,122.56283338864644 V
2017-10-08T00:00:00-06:00,122.48768941561381 V
2017-10-09T00:00:00-06:00,122.4335234792609 V
2017-10-10T00:00:00-06:00,122.35836935043335 V
2017-10-11T00:00:00-06:00,122.34672983487447 V
