Timestamp,['1cca75e7-a3431d28 0062-WARNOCK ENGR BLDG Power Meter 316607 Volts BC']
2017-08-05T00:00:00-06:00,492.2083333333333 V
2017-08-06T00:00:00-06:00,492.03125 V
2017-08-07T00:00:00-06:00,491.7395833333333 V
2017-08-08T00:00:00-06:00,491.9791666666667 V
2017-08-09T00:00:00-06:00,491.7395833333333 V
2017-08-10T00:00:00-06:00,491.8369565217391 V
2017-08-11T00:00:00-06:00,492.2708333333333 V
2017-08-12T00:00:00-06:00,492.09473684210525 V
2017-08-13T00:00:00-06:00,492.5208333333333 V
2017-08-14T00:00:00-06:00,492.375 V
2017-08-15T00:00:00-06:00,492.4375 V
2017-08-16T00:00:00-06:00,492.0104166666667 V
2017-08-17T00:00:00-06:00,491.96875 V
2017-08-18T00:00:00-06:00,492.1458333333333 V
2017-08-19T00:00:00-06:00,492.21875 V
2017-08-20T00:00:00-06:00,492.5104166666667 V
2017-08-21T00:00:00-06:00,492.5 V
2017-08-22T00:00:00-06:00,492.0833333333333 V
2017-08-23T00:00:00-06:00,492.3020833333333 V
2017-08-24T00:00:00-06:00,492.25 V
2017-08-25T00:00:00-06:00,492.03125 V
2017-08-26T00:00:00-06:00,491.6354166666667 V
2017-08-27T00:00:00-06:00,491.7604166666667 V
2017-08-28T00:00:00-06:00,492.3707865168539 V
2017-08-29T00:00:00-06:00,492.2307692307692 V
2017-08-30T00:00:00-06:00,491.9479166666667 V
2017-08-31T00:00:00-06:00,492.1458333333333 V
2017-09-01T00:00:00-06:00,491.6979166666667 V
2017-09-02T00:00:00-06:00,491.5833333333333 V
2017-09-03T00:00:00-06:00,491.8333333333333 V
2017-09-04T00:00:00-06:00,491.5208333333333 V
2017-09-05T00:00:00-06:00,491.5520833333333 V
2017-09-06T00:00:00-06:00,491.86315789473684 V
2017-09-07T00:00:00-06:00,491.6979166666667 V
2017-09-08T00:00:00-06:00,492.1222222222222 V
2017-09-09T00:00:00-06:00,491.9166666666667 V
2017-09-10T00:00:00-06:00,492.0416666666667 V
2017-09-11T00:00:00-06:00,491.4479166666667 V
2017-09-12T00:00:00-06:00,492.1979166666667 V
2017-09-13T00:00:00-06:00,491.5208333333333 V
2017-09-14T00:00:00-06:00,491.9270833333333 V
2017-09-15T00:00:00-06:00,492.2604166666667 V
2017-09-16T00:00:00-06:00,493.0625 V
2017-09-17T00:00:00-06:00,491.875 V
2017-09-18T00:00:00-06:00,492.0625 V
2017-09-19T00:00:00-06:00,491.2916666666667 V
2017-09-20T00:00:00-06:00,491.53125 V
2017-09-21T00:00:00-06:00,492.2916666666667 V
2017-09-22T00:00:00-06:00,492.7916666666667 V
2017-09-23T00:00:00-06:00,493.0416666666667 V
2017-09-24T00:00:00-06:00,492.53125 V
2017-09-25T00:00:00-06:00,493.0729166666667 V
2017-09-26T00:00:00-06:00,492.6354166666667 V
2017-09-27T00:00:00-06:00,492.5833333333333 V
2017-09-28T00:00:00-06:00,492.0625 V
2017-09-29T00:00:00-06:00,492.1041666666667 V
2017-09-30T00:00:00-06:00,492.3020833333333 V
2017-10-01T00:00:00-06:00,492.1770833333333 V
2017-10-02T00:00:00-06:00,493.0104166666667 V
2017-10-03T00:00:00-06:00,493.0833333333333 V
2017-10-04T00:00:00-06:00,492.3854166666667 V
2017-10-05T00:00:00-06:00,492.90625 V
2017-10-06T00:00:00-06:00,492.8333333333333 V
2017-10-07T00:00:00-06:00,492.5416666666667 V
2017-10-08T00:00:00-06:00,493.375 V
2017-10-09T00:00:00-06:00,493.0520833333333 V
2017-10-10T00:00:00-06:00,493.0104166666667 V
