Timestamp,"['1eb29c6d-e9f662c3 0063-WARNOCK ENGR BLDG (L) Power Meter 300145 W-hours, Received']"
2017-10-28T00:00:00-06:00,1.9479166666666667 Wh
2017-10-29T00:00:00-06:00,1.9918619791666667 Wh
2017-10-30T00:00:00-06:00,1.6686197916666667 Wh
2017-10-31T00:00:00-06:00,2.41796875 Wh
2017-11-01T00:00:00-06:00,2.1552734375 Wh
2017-11-02T00:00:00-06:00,2.4065755208333335 Wh
2017-11-03T00:00:00-06:00,2.0416666666666665 Wh
2017-11-04T00:00:00-06:00,1.7994791666666667 Wh
2017-11-05T00:00:00-06:00,1.68125 Wh
2017-11-06T00:00:00-07:00,1.7477213541666667 Wh
2017-11-07T00:00:00-07:00,1.9931640625 Wh
2017-11-08T00:00:00-07:00,1.8492838541666667 Wh
2017-11-09T00:00:00-07:00,2.17578125 Wh
2017-11-10T00:00:00-07:00,2.509765625 Wh
2017-11-11T00:00:00-07:00,2.4912109375 Wh
2017-11-12T00:00:00-07:00,2.0126953125 Wh
2017-11-13T00:00:00-07:00,2.09765625 Wh
2017-11-14T00:00:00-07:00,2.3756510416666665 Wh
2017-11-15T00:00:00-07:00,1.828125 Wh
2017-11-16T00:00:00-07:00,2.2981770833333335 Wh
2017-11-17T00:00:00-07:00,1.7076822916666667 Wh
2017-11-18T00:00:00-07:00,1.6673177083333333 Wh
2017-11-19T00:00:00-07:00,2.1396484375 Wh
2017-11-20T00:00:00-07:00,1.775390625 Wh
2017-11-21T00:00:00-07:00,1.951171875 Wh
2017-11-22T00:00:00-07:00,1.8141276041666667 Wh
2017-11-23T00:00:00-07:00,1.736328125 Wh
2017-11-24T00:00:00-07:00,1.7923177083333333 Wh
2017-11-25T00:00:00-07:00,1.7861328125 Wh
2017-11-26T00:00:00-07:00,1.8427734375 Wh
2017-11-27T00:00:00-07:00,1.8209635416666667 Wh
2017-11-28T00:00:00-07:00,2.0859375 Wh
2017-11-29T00:00:00-07:00,1.8824869791666667 Wh
2017-11-30T00:00:00-07:00,1.9661458333333333 Wh
2017-12-01T00:00:00-07:00,2.46484375 Wh
2017-12-02T00:00:00-07:00,2.2711588541666665 Wh
2017-12-03T00:00:00-07:00,1.7141927083333333 Wh
2017-12-04T00:00:00-07:00,2.12109375 Wh
2017-12-05T00:00:00-07:00,2.2063802083333335 Wh
2017-12-06T00:00:00-07:00,1.888671875 Wh
2017-12-07T00:00:00-07:00,2.0198567708333335 Wh
2017-12-08T00:00:00-07:00,1.8186848958333333 Wh
2017-12-09T00:00:00-07:00,1.78515625 Wh
2017-12-10T00:00:00-07:00,1.6090494791666667 Wh
2017-12-11T00:00:00-07:00,2.08203125 Wh
2017-12-12T00:00:00-07:00,2.5625 Wh
2017-12-13T00:00:00-07:00,2.5771484375 Wh
2017-12-14T00:00:00-07:00,2.587890625 Wh
2017-12-15T00:00:00-07:00,2.0442708333333335 Wh
2017-12-16T00:00:00-07:00,1.7529296875 Wh
2017-12-17T00:00:00-07:00,1.8629557291666667 Wh
2017-12-18T00:00:00-07:00,2.47244623655914 Wh
2017-12-19T00:00:00-07:00,2.2880859375 Wh
2017-12-20T00:00:00-07:00,2.0794270833333335 Wh
2017-12-21T00:00:00-07:00,2.8053385416666665 Wh
2017-12-22T00:00:00-07:00,2.9827473958333335 Wh
2017-12-23T00:00:00-07:00,2.3193359375 Wh
2017-12-24T00:00:00-07:00,2.0813802083333335 Wh
2017-12-25T00:00:00-07:00,1.9459635416666667 Wh
2017-12-26T00:00:00-07:00,1.9772135416666667 Wh
2017-12-27T00:00:00-07:00,2.1064453125 Wh
2017-12-28T00:00:00-07:00,2.1839192708333335 Wh
2017-12-29T00:00:00-07:00,1.3216145833333333 Wh
2017-12-30T00:00:00-07:00,1.3811848958333333 Wh
2017-12-31T00:00:00-07:00,1.4205729166666667 Wh
