Timestamp,"['1daaa93b-f486931e 0037-ARCHITECTURE BLDG Power Meter (301159) Watts, 3-Ph total']"
2017-10-02T00:00:00-06:00,32.71780014038086 kW
2017-10-03T00:00:00-06:00,26.325851440429688 kW
2017-10-04T00:00:00-06:00,33.02903747558594 kW
2017-10-05T00:00:00-06:00,27.519742965698242 kW
2017-10-06T00:00:00-06:00,28.871784210205078 kW
2017-10-07T00:00:00-06:00,15.094685554504395 kW
2017-10-08T00:00:00-06:00,13.31676197052002 kW
2017-10-09T00:00:00-06:00,17.696277618408203 kW
2017-10-10T00:00:00-06:00,18.37862777709961 kW
2017-10-11T00:00:00-06:00,17.046720504760742 kW
2017-10-12T00:00:00-06:00,15.250656127929688 kW
2017-10-13T00:00:00-06:00,21.32948112487793 kW
2017-10-14T00:00:00-06:00,22.014312744140625 kW
2017-10-15T00:00:00-06:00,14.549142837524414 kW
2017-10-16T00:00:00-06:00,32.63926696777344 kW
2017-10-17T00:00:00-06:00,30.26129150390625 kW
2017-10-18T00:00:00-06:00,37.67731475830078 kW
2017-10-19T00:00:00-06:00,32.38343048095703 kW
2017-10-20T00:00:00-06:00,31.947895050048828 kW
2017-10-21T00:00:00-06:00,18.148860931396484 kW
2017-10-22T00:00:00-06:00,20.138378143310547 kW
2017-10-23T00:00:00-06:00,28.243051528930664 kW
2017-10-24T00:00:00-06:00,28.726003646850586 kW
2017-10-25T00:00:00-06:00,30.81151580810547 kW
2017-10-26T00:00:00-06:00,30.122146606445312 kW
2017-10-27T00:00:00-06:00,29.02349281311035 kW
2017-10-28T00:00:00-06:00,16.62557029724121 kW
2017-10-29T00:00:00-06:00,19.7739200592041 kW
2017-10-30T00:00:00-06:00,31.97057342529297 kW
2017-10-31T00:00:00-06:00,24.08010482788086 kW
2017-11-01T00:00:00-06:00,28.643478393554688 kW
2017-11-02T00:00:00-06:00,28.13465690612793 kW
2017-11-03T00:00:00-06:00,27.38079833984375 kW
2017-11-04T00:00:00-06:00,20.731264114379883 kW
2017-11-05T00:00:00-06:00,18.82270622253418 kW
2017-11-06T00:00:00-07:00,31.416364669799805 kW
2017-11-07T00:00:00-07:00,30.22353744506836 kW
2017-11-08T00:00:00-07:00,30.889738082885742 kW
2017-11-09T00:00:00-07:00,32.44813537597656 kW
2017-11-10T00:00:00-07:00,28.092138290405273 kW
2017-11-11T00:00:00-07:00,20.270811080932617 kW
2017-11-12T00:00:00-07:00,15.40636920928955 kW
2017-11-13T00:00:00-07:00,26.331693649291992 kW
2017-11-14T00:00:00-07:00,28.92729949951172 kW
2017-11-15T00:00:00-07:00,45.98358154296875 kW
2017-11-16T00:00:00-07:00,29.93722152709961 kW
2017-11-17T00:00:00-07:00,30.8519229888916 kW
2017-11-18T00:00:00-07:00,21.565383911132812 kW
2017-11-19T00:00:00-07:00,18.876720428466797 kW
2017-11-20T00:00:00-07:00,34.4769287109375 kW
2017-11-21T00:00:00-07:00,27.868589401245117 kW
2017-11-22T00:00:00-07:00,28.391881942749023 kW
2017-11-23T00:00:00-07:00,20.56916046142578 kW
2017-11-24T00:00:00-07:00,13.086444854736328 kW
2017-11-25T00:00:00-07:00,19.95795249938965 kW
2017-11-26T00:00:00-07:00,22.56311798095703 kW
2017-11-27T00:00:00-07:00,35.06665802001953 kW
2017-11-28T00:00:00-07:00,30.662050247192383 kW
2017-11-29T00:00:00-07:00,42.95801544189453 kW
2017-11-30T00:00:00-07:00,32.043601989746094 kW
2017-12-01T00:00:00-07:00,36.096092224121094 kW
2017-12-02T00:00:00-07:00,28.884416580200195 kW
2017-12-03T00:00:00-07:00,25.764163970947266 kW
2017-12-04T00:00:00-07:00,33.91783905029297 kW
2017-12-05T00:00:00-07:00,33.164581298828125 kW
2017-12-06T00:00:00-07:00,29.776756286621094 kW
2017-12-07T00:00:00-07:00,26.33210563659668 kW
2017-12-08T00:00:00-07:00,31.71394157409668 kW
2017-12-09T00:00:00-07:00,13.532276153564453 kW
2017-12-10T00:00:00-07:00,19.5267276763916 kW
2017-12-11T00:00:00-07:00,20.767366409301758 kW
2017-12-12T00:00:00-07:00,22.643491744995117 kW
2017-12-13T00:00:00-07:00,23.678945541381836 kW
2017-12-14T00:00:00-07:00,20.927082061767578 kW
2017-12-15T00:00:00-07:00,21.189855575561523 kW
2017-12-16T00:00:00-07:00,19.385374069213867 kW
2017-12-17T00:00:00-07:00,15.246054649353027 kW
2017-12-18T00:00:00-07:00,13.794398307800293 kW
2017-12-19T00:00:00-07:00,17.23965072631836 kW
2017-12-20T00:00:00-07:00,16.032562255859375 kW
2017-12-21T00:00:00-07:00,13.104856491088867 kW
2017-12-22T00:00:00-07:00,17.087669372558594 kW
2017-12-23T00:00:00-07:00,20.186107635498047 kW
2017-12-24T00:00:00-07:00,16.065093994140625 kW
2017-12-25T00:00:00-07:00,8.622576713562012 kW
2017-12-26T00:00:00-07:00,8.267702102661133 kW
2017-12-27T00:00:00-07:00,10.208184242248535 kW
2017-12-28T00:00:00-07:00,14.964058876037598 kW
2017-12-29T00:00:00-07:00,9.021578788757324 kW
2017-12-30T00:00:00-07:00,8.975872993469238 kW
2017-12-31T00:00:00-07:00,9.199666976928711 kW
