Timestamp,['1fd1b090-b06c20d1 0082-SKAGGS BIOLOGY BLDG Power Meter Current A']
2017-07-05T00:00:00-06:00,836.9229265848795 A
2017-07-06T00:00:00-06:00,867.7864685058594 A
2017-07-07T00:00:00-06:00,900.3031380971273 A
2017-07-08T00:00:00-06:00,922.7041816711426 A
2017-07-09T00:00:00-06:00,915.2760575612386 A
2017-07-10T00:00:00-06:00,943.9239756266276 A
2017-07-11T00:00:00-06:00,904.3645992279053 A
2017-07-12T00:00:00-06:00,859.7854270935059 A
2017-07-13T00:00:00-06:00,858.0281378428141 A
2017-07-14T00:00:00-06:00,920.6614723205566 A
2017-07-15T00:00:00-06:00,901.5927219390869 A
2017-07-16T00:00:00-06:00,889.4958470662435 A
2017-07-17T00:00:00-06:00,953.6625130971273 A
2017-07-18T00:00:00-06:00,920.5427220662435 A
2017-07-19T00:00:00-06:00,933.7729301452637 A
2017-07-20T00:00:00-06:00,914.0510578155518 A
2017-07-21T00:00:00-06:00,875.4531377156576 A
2017-07-22T00:00:00-06:00,829.5614738464355 A
2017-07-23T00:00:00-06:00,788.4531402587891 A
2017-07-24T00:00:00-06:00,836.3770942687988 A
2017-07-25T00:00:00-06:00,897.8468945821127 A
2017-07-26T00:00:00-06:00,839.7750104268392 A
2017-07-27T00:00:00-06:00,793.6843865712484 A
2017-07-28T00:00:00-06:00,781.5583477020264 A
2017-07-29T00:00:00-06:00,731.7073040008545 A
2017-07-30T00:00:00-06:00,743.7000115712484 A
2017-07-31T00:00:00-06:00,804.1802183787028 A
2017-08-01T00:00:00-06:00,854.3281396230062 A
2017-08-02T00:00:00-06:00,915.2521012624105 A
2017-08-03T00:00:00-06:00,896.7593905131022 A
2017-08-04T00:00:00-06:00,837.0143030187586 A
2017-08-05T00:00:00-06:00,753.0041796366373 A
2017-08-06T00:00:00-06:00,724.7698027292887 A
2017-08-07T00:00:00-06:00,795.4614709218343 A
2017-08-08T00:00:00-06:00,796.5302187601725 A
