Timestamp,['1ef46852-9372bc23 0070-QUINNEY COLLEGE OF LAW Power Meter 316931 Current C']
2017-06-14T00:00:00-06:00,33.417318254709244 A
2017-06-15T00:00:00-06:00,31.21624008814494 A
2017-06-16T00:00:00-06:00,30.743582626183827 A
2017-06-17T00:00:00-06:00,29.488033180435497 A
2017-06-18T00:00:00-06:00,37.56218607227007 A
2017-06-19T00:00:00-06:00,31.04662464062373 A
2017-06-20T00:00:00-06:00,30.548225472370785 A
2017-06-21T00:00:00-06:00,30.76931209365527 A
2017-06-22T00:00:00-06:00,32.938560704390206 A
2017-06-23T00:00:00-06:00,32.12988478938738 A
2017-06-24T00:00:00-06:00,33.46882496277491 A
2017-06-25T00:00:00-06:00,35.17244412004948 A
2017-06-26T00:00:00-06:00,29.5643093585968 A
2017-06-27T00:00:00-06:00,31.18101515372594 A
2017-06-28T00:00:00-06:00,31.679071207841236 A
2017-06-29T00:00:00-06:00,33.82303715745608 A
2017-06-30T00:00:00-06:00,34.16369020938873 A
2017-07-01T00:00:00-06:00,30.98467728992303 A
2017-07-02T00:00:00-06:00,32.31150415043036 A
2017-07-03T00:00:00-06:00,30.652463555336 A
2017-07-04T00:00:00-06:00,31.950303157170612 A
2017-07-05T00:00:00-06:00,29.25346161921819 A
2017-07-06T00:00:00-06:00,29.91057167450587 A
2017-07-07T00:00:00-06:00,29.639571120341618 A
2017-07-08T00:00:00-06:00,28.710311869780224 A
2017-07-09T00:00:00-06:00,29.59754989047845 A
2017-07-10T00:00:00-06:00,26.651131163040798 A
2017-07-11T00:00:00-06:00,25.22815149029096 A
2017-07-12T00:00:00-06:00,23.213278144598007 A
2017-07-13T00:00:00-06:00,23.981067260106403 A
2017-07-14T00:00:00-06:00,21.870656718810398 A
2017-07-15T00:00:00-06:00,22.746036638816197 A
2017-07-16T00:00:00-06:00,24.516096850236256 A
2017-07-17T00:00:00-06:00,25.092763751745224 A
2017-07-18T00:00:00-06:00,22.297186215718586 A
2017-07-19T00:00:00-06:00,22.273205707470577 A
2017-07-20T00:00:00-06:00,22.73413246870041 A
2017-07-21T00:00:00-06:00,28.356228520472843 A
2017-07-22T00:00:00-06:00,25.075265794992447 A
2017-07-23T00:00:00-06:00,26.845724205176037 A
2017-07-24T00:00:00-06:00,27.40435881416003 A
2017-07-25T00:00:00-06:00,26.28755721449852 A
2017-07-26T00:00:00-06:00,28.64991811911265 A
2017-07-27T00:00:00-06:00,28.498784492413204 A
2017-07-28T00:00:00-06:00,25.012288490931194 A
2017-07-29T00:00:00-06:00,29.701788013180096 A
2017-07-30T00:00:00-06:00,31.69834669927756 A
2017-07-31T00:00:00-06:00,28.232722888390224 A
2017-08-01T00:00:00-06:00,28.556281844774883 A
2017-08-02T00:00:00-06:00,28.87603736917178 A
2017-08-03T00:00:00-06:00,30.374003638823826 A
2017-08-04T00:00:00-06:00,28.334907091580906 A
2017-08-05T00:00:00-06:00,30.268655692537624 A
2017-08-06T00:00:00-06:00,27.29389889041583 A
