Timestamp,"['1ee9af2a-f7871664 0053-OLPIN UNION Power Meter (53-5) 300115 Watts, 3-Ph total']"
2017-06-21T00:00:00-06:00,48.3278923034668 kW
2017-06-22T00:00:00-06:00,49.28386306762695 kW
2017-06-23T00:00:00-06:00,43.90146255493164 kW
2017-06-24T00:00:00-06:00,31.915924072265625 kW
2017-06-25T00:00:00-06:00,29.878429412841797 kW
2017-06-26T00:00:00-06:00,48.949806213378906 kW
2017-06-27T00:00:00-06:00,51.614261627197266 kW
2017-06-28T00:00:00-06:00,52.76716613769531 kW
2017-06-29T00:00:00-06:00,44.66209030151367 kW
2017-06-30T00:00:00-06:00,47.031673431396484 kW
2017-07-01T00:00:00-06:00,35.94036102294922 kW
2017-07-02T00:00:00-06:00,36.944679260253906 kW
2017-07-03T00:00:00-06:00,47.32200622558594 kW
2017-07-04T00:00:00-06:00,31.666959762573242 kW
2017-07-05T00:00:00-06:00,45.28133773803711 kW
2017-07-06T00:00:00-06:00,50.355499267578125 kW
2017-07-07T00:00:00-06:00,50.6649169921875 kW
2017-07-08T00:00:00-06:00,40.96984100341797 kW
2017-07-09T00:00:00-06:00,35.61216735839844 kW
2017-07-10T00:00:00-06:00,51.807010650634766 kW
2017-07-11T00:00:00-06:00,51.254119873046875 kW
2017-07-12T00:00:00-06:00,47.48395919799805 kW
2017-07-13T00:00:00-06:00,53.96411895751953 kW
2017-07-14T00:00:00-06:00,51.609657287597656 kW
2017-07-15T00:00:00-06:00,34.37130355834961 kW
2017-07-16T00:00:00-06:00,43.03825378417969 kW
2017-07-17T00:00:00-06:00,50.90585708618164 kW
2017-07-18T00:00:00-06:00,50.22085189819336 kW
2017-07-19T00:00:00-06:00,52.74618148803711 kW
2017-07-20T00:00:00-06:00,49.63847351074219 kW
2017-07-21T00:00:00-06:00,49.80082321166992 kW
2017-07-22T00:00:00-06:00,31.491302490234375 kW
2017-07-23T00:00:00-06:00,33.66057205200195 kW
2017-07-24T00:00:00-06:00,33.834747314453125 kW
2017-07-25T00:00:00-06:00,51.078758239746094 kW
2017-07-26T00:00:00-06:00,52.44675064086914 kW
2017-07-27T00:00:00-06:00,51.57257080078125 kW
2017-07-28T00:00:00-06:00,50.73295211791992 kW
2017-07-29T00:00:00-06:00,39.580596923828125 kW
2017-07-30T00:00:00-06:00,48.89393615722656 kW
2017-07-31T00:00:00-06:00,48.29216766357422 kW
2017-08-01T00:00:00-06:00,49.879207611083984 kW
2017-08-02T00:00:00-06:00,47.45127868652344 kW
2017-08-03T00:00:00-06:00,48.69124221801758 kW
2017-08-04T00:00:00-06:00,48.36250305175781 kW
2017-08-05T00:00:00-06:00,35.185115814208984 kW
2017-08-06T00:00:00-06:00,35.65355682373047 kW
2017-08-07T00:00:00-06:00,54.73443603515625 kW
2017-08-08T00:00:00-06:00,52.07563781738281 kW
2017-08-09T00:00:00-06:00,47.06624221801758 kW
2017-08-10T00:00:00-06:00,50.81714630126953 kW
2017-08-11T00:00:00-06:00,48.700260162353516 kW
2017-08-12T00:00:00-06:00,36.41184997558594 kW
2017-08-13T00:00:00-06:00,35.895999908447266 kW
2017-08-14T00:00:00-06:00,50.84371566772461 kW
2017-08-15T00:00:00-06:00,55.04452896118164 kW
2017-08-16T00:00:00-06:00,50.62965393066406 kW
2017-08-17T00:00:00-06:00,50.36515808105469 kW
2017-08-18T00:00:00-06:00,48.63318634033203 kW
2017-08-19T00:00:00-06:00,36.23725891113281 kW
2017-08-20T00:00:00-06:00,31.68356704711914 kW
2017-08-21T00:00:00-06:00,50.487457275390625 kW
2017-08-22T00:00:00-06:00,49.77851104736328 kW
2017-08-23T00:00:00-06:00,51.55542755126953 kW
2017-08-24T00:00:00-06:00,50.761756896972656 kW
2017-08-25T00:00:00-06:00,50.31467819213867 kW
2017-08-26T00:00:00-06:00,36.91022491455078 kW
2017-08-27T00:00:00-06:00,34.28105163574219 kW
2017-08-28T00:00:00-06:00,54.843780517578125 kW
2017-08-29T00:00:00-06:00,51.835304260253906 kW
2017-08-30T00:00:00-06:00,47.36765670776367 kW
2017-08-31T00:00:00-06:00,50.63890075683594 kW
2017-09-01T00:00:00-06:00,47.79348373413086 kW
2017-09-02T00:00:00-06:00,38.41151428222656 kW
2017-09-03T00:00:00-06:00,40.21953582763672 kW
2017-09-04T00:00:00-06:00,36.24950408935547 kW
2017-09-05T00:00:00-06:00,50.80914306640625 kW
2017-09-06T00:00:00-06:00,0 kW
2017-09-07T00:00:00-06:00,0 kW
2017-09-08T00:00:00-06:00,0 kW
2017-09-09T00:00:00-06:00,0 kW
2017-09-10T00:00:00-06:00,0 kW
2017-09-11T00:00:00-06:00,0 kW
2017-09-12T00:00:00-06:00,0 kW
2017-09-13T00:00:00-06:00,0 kW
2017-09-14T00:00:00-06:00,0 kW
2017-09-15T00:00:00-06:00,0 kW
2017-09-16T00:00:00-06:00,0 kW
2017-09-17T00:00:00-06:00,0 kW
2017-09-18T00:00:00-06:00,0 kW
2017-09-19T00:00:00-06:00,0 kW
2017-09-20T00:00:00-06:00,0 kW
2017-09-21T00:00:00-06:00,0 kW
2017-09-22T00:00:00-06:00,0 kW
2017-09-23T00:00:00-06:00,0 kW
2017-09-24T00:00:00-06:00,0 kW
2017-09-25T00:00:00-06:00,0 kW
2017-09-26T00:00:00-06:00,0 kW
2017-09-27T00:00:00-06:00,0 kW
2017-09-28T00:00:00-06:00,0 kW
2017-09-29T00:00:00-06:00,0 kW
2017-09-30T00:00:00-06:00,0 kW
2017-10-01T00:00:00-06:00,0 kW
2017-10-02T00:00:00-06:00,0 kW
2017-10-03T00:00:00-06:00,0 kW
2017-10-04T00:00:00-06:00,0 kW
2017-10-05T00:00:00-06:00,0 kW
2017-10-06T00:00:00-06:00,0 kW
2017-10-07T00:00:00-06:00,0 kW
2017-10-08T00:00:00-06:00,0 kW
2017-10-09T00:00:00-06:00,0 kW
2017-10-10T00:00:00-06:00,0 kW
2017-10-11T00:00:00-06:00,0 kW
2017-10-12T00:00:00-06:00,0 kW
2017-10-13T00:00:00-06:00,0 kW
2017-10-14T00:00:00-06:00,0 kW
2017-10-15T00:00:00-06:00,0 kW
2017-10-16T00:00:00-06:00,0 kW
2017-10-17T00:00:00-06:00,0 kW
2017-10-18T00:00:00-06:00,0 kW
2017-10-19T00:00:00-06:00,0 kW
2017-10-20T00:00:00-06:00,0 kW
2017-10-21T00:00:00-06:00,0 kW
2017-10-22T00:00:00-06:00,0 kW
2017-10-23T00:00:00-06:00,0 kW
2017-10-24T00:00:00-06:00,0 kW
2017-10-25T00:00:00-06:00,0 kW
2017-10-26T00:00:00-06:00,0 kW
2017-10-27T00:00:00-06:00,0 kW
2017-10-28T00:00:00-06:00,0 kW
2017-10-29T00:00:00-06:00,0 kW
2017-10-30T00:00:00-06:00,0 kW
2017-10-31T00:00:00-06:00,0 kW
2017-11-01T00:00:00-06:00,0 kW
2017-11-02T00:00:00-06:00,0 kW
2017-11-03T00:00:00-06:00,0 kW
2017-11-04T00:00:00-06:00,0 kW
2017-11-05T00:00:00-06:00,0 kW
2017-11-06T00:00:00-07:00,0 kW
2017-11-07T00:00:00-07:00,0 kW
2017-11-08T00:00:00-07:00,0 kW
2017-11-09T00:00:00-07:00,0 kW
2017-11-10T00:00:00-07:00,0 kW
2017-11-11T00:00:00-07:00,0 kW
2017-11-12T00:00:00-07:00,0 kW
2017-11-13T00:00:00-07:00,0 kW
2017-11-14T00:00:00-07:00,0 kW
2017-11-15T00:00:00-07:00,0 kW
2017-11-16T00:00:00-07:00,0 kW
2017-11-17T00:00:00-07:00,0 kW
2017-11-18T00:00:00-07:00,0 kW
2017-11-19T00:00:00-07:00,0 kW
2017-11-20T00:00:00-07:00,0 kW
2017-11-21T00:00:00-07:00,0 kW
2017-11-22T00:00:00-07:00,0 kW
2017-11-23T00:00:00-07:00,0 kW
2017-11-24T00:00:00-07:00,0 kW
2017-11-25T00:00:00-07:00,0 kW
2017-11-26T00:00:00-07:00,0 kW
2017-11-27T00:00:00-07:00,0 kW
2017-11-28T00:00:00-07:00,0 kW
2017-11-29T00:00:00-07:00,0 kW
2017-11-30T00:00:00-07:00,0 kW
2017-12-01T00:00:00-07:00,0 kW
2017-12-02T00:00:00-07:00,0 kW
2017-12-03T00:00:00-07:00,0 kW
2017-12-04T00:00:00-07:00,0 kW
2017-12-05T00:00:00-07:00,0 kW
2017-12-06T00:00:00-07:00,0 kW
2017-12-07T00:00:00-07:00,0 kW
2017-12-08T00:00:00-07:00,0 kW
2017-12-09T00:00:00-07:00,0 kW
2017-12-10T00:00:00-07:00,0 kW
2017-12-11T00:00:00-07:00,0 kW
2017-12-12T00:00:00-07:00,0 kW
2017-12-13T00:00:00-07:00,0 kW
2017-12-14T00:00:00-07:00,0 kW
2017-12-15T00:00:00-07:00,0 kW
2017-12-16T00:00:00-07:00,0 kW
2017-12-17T00:00:00-07:00,0 kW
2017-12-18T00:00:00-07:00,0 kW
2017-12-19T00:00:00-07:00,0 kW
2017-12-20T00:00:00-07:00,0 kW
2017-12-21T00:00:00-07:00,0 kW
2017-12-22T00:00:00-07:00,0 kW
2017-12-23T00:00:00-07:00,0 kW
2017-12-24T00:00:00-07:00,0 kW
2017-12-25T00:00:00-07:00,0 kW
2017-12-26T00:00:00-07:00,0 kW
2017-12-27T00:00:00-07:00,0 kW
2017-12-28T00:00:00-07:00,0 kW
2017-12-29T00:00:00-07:00,0 kW
2017-12-30T00:00:00-07:00,0 kW
2017-12-31T00:00:00-07:00,0 kW
