Timestamp,['1cbae9a6-b909582d 0038-ART BLDG Power Meter 300086 Volts AN']
2017-06-13T00:00:00-06:00,122.59384893841214 V
2017-06-14T00:00:00-06:00,122.71623278194004 V
2017-06-15T00:00:00-06:00,122.60593610869513 V
2017-06-16T00:00:00-06:00,122.60095824452534 V
2017-06-17T00:00:00-06:00,122.60220820638868 V
2017-06-18T00:00:00-06:00,122.6681973722246 V
2017-06-19T00:00:00-06:00,122.59263067245483 V
2017-06-20T00:00:00-06:00,122.57854290538364 V
2017-06-21T00:00:00-06:00,122.58159706905701 V
2017-06-22T00:00:00-06:00,122.54699200524225 V
2017-06-23T00:00:00-06:00,122.63725469907125 V
2017-06-24T00:00:00-06:00,122.69043580161201 V
2017-06-25T00:00:00-06:00,122.61170361536102 V
2017-06-26T00:00:00-06:00,122.51450333739102 V
2017-06-27T00:00:00-06:00,122.60549759864807 V
2017-06-28T00:00:00-06:00,122.50606187184651 V
2017-06-29T00:00:00-06:00,122.6135528087616 V
2017-06-30T00:00:00-06:00,122.82187334696452 V
2017-07-01T00:00:00-06:00,122.66469621658325 V
2017-07-02T00:00:00-06:00,122.71488944689433 V
2017-07-03T00:00:00-06:00,122.60124246279399 V
2017-07-04T00:00:00-06:00,122.63264147440593 V
2017-07-05T00:00:00-06:00,122.613583167394 V
2017-07-06T00:00:00-06:00,122.54475164413452 V
2017-07-07T00:00:00-06:00,122.6710696220398 V
2017-07-08T00:00:00-06:00,122.70376785596211 V
2017-07-09T00:00:00-06:00,122.56317234039307 V
2017-07-10T00:00:00-06:00,122.55356121063232 V
2017-07-11T00:00:00-06:00,122.60740415255229 V
2017-07-12T00:00:00-06:00,122.61705946922302 V
2017-07-13T00:00:00-06:00,122.58183129628499 V
2017-07-14T00:00:00-06:00,122.50422422091167 V
2017-07-15T00:00:00-06:00,122.55595032374065 V
2017-07-16T00:00:00-06:00,122.56378189722697 V
2017-07-17T00:00:00-06:00,122.4999447663625 V
2017-07-18T00:00:00-06:00,122.66311534245808 V
2017-07-19T00:00:00-06:00,122.56616759300232 V
2017-07-20T00:00:00-06:00,122.52989029884338 V
2017-07-21T00:00:00-06:00,122.58296656608582 V
2017-07-22T00:00:00-06:00,122.58627549807231 V
2017-07-23T00:00:00-06:00,122.63481156031291 V
2017-07-24T00:00:00-06:00,122.58013455073039 V
2017-07-25T00:00:00-06:00,122.6030224164327 V
2017-07-26T00:00:00-06:00,122.48803885777791 V
2017-07-27T00:00:00-06:00,122.62469251950581 V
2017-07-28T00:00:00-06:00,122.6169384320577 V
2017-07-29T00:00:00-06:00,122.57507697741191 V
2017-07-30T00:00:00-06:00,122.64135599136353 V
2017-07-31T00:00:00-06:00,122.5692270596822 V
2017-08-01T00:00:00-06:00,122.54846382141113 V
2017-08-02T00:00:00-06:00,122.49311145146687 V
2017-08-03T00:00:00-06:00,122.63938236236572 V
2017-08-04T00:00:00-06:00,122.5173087486854 V
2017-08-05T00:00:00-06:00,122.62113157908122 V
2017-08-06T00:00:00-06:00,122.71385216712952 V
2017-08-07T00:00:00-06:00,122.55467534065247 V
2017-08-08T00:00:00-06:00,122.49474334716797 V
2017-08-09T00:00:00-06:00,122.56471085548401 V
2017-08-10T00:00:00-06:00,122.60451945852726 V
2017-08-11T00:00:00-06:00,122.62223696708679 V
2017-08-12T00:00:00-06:00,122.69100602467854 V
2017-08-13T00:00:00-06:00,122.64650281270345 V
2017-08-14T00:00:00-06:00,122.62146321932475 V
2017-08-15T00:00:00-06:00,122.54024863243103 V
2017-08-16T00:00:00-06:00,122.50217588742574 V
2017-08-17T00:00:00-06:00,122.62972060839336 V
2017-08-18T00:00:00-06:00,122.61336119969685 V
2017-08-19T00:00:00-06:00,122.59052236874898 V
2017-08-20T00:00:00-06:00,122.62483787536621 V
2017-08-21T00:00:00-06:00,122.57000732421875 V
2017-08-22T00:00:00-06:00,122.64512491226196 V
2017-08-23T00:00:00-06:00,122.62928136189778 V
2017-08-24T00:00:00-06:00,122.62774674097697 V
2017-08-25T00:00:00-06:00,122.54268765449524 V
2017-08-26T00:00:00-06:00,122.59934409459431 V
2017-08-27T00:00:00-06:00,122.55959463119507 V
2017-08-28T00:00:00-06:00,122.58488779482634 V
2017-08-29T00:00:00-06:00,122.58897867510396 V
2017-08-30T00:00:00-06:00,122.53516340255737 V
2017-08-31T00:00:00-06:00,122.5806856950124 V
