Timestamp,['1d0db2aa-f39519d3 0025-SOCIAL & BEHAVIORAL SCIENCES Power Meter 300051 Current B']
2017-08-29T00:00:00-06:00,279.9800699254969 A
2017-08-30T00:00:00-06:00,297.61223244667053 A
2017-08-31T00:00:00-06:00,284.07229773203534 A
2017-09-01T00:00:00-06:00,257.8906773392872 A
2017-09-02T00:00:00-06:00,220.5812210886102 A
2017-09-03T00:00:00-06:00,234.32513042072674 A
2017-09-04T00:00:00-06:00,268.4325581391652 A
2017-09-05T00:00:00-06:00,274.9237012863159 A
2017-09-06T00:00:00-06:00,273.0554534109015 A
2017-09-07T00:00:00-06:00,272.4503834247589 A
2017-09-08T00:00:00-06:00,275.9540151807997 A
2017-09-09T00:00:00-06:00,223.38224435889202 A
2017-09-10T00:00:00-06:00,219.85426945840157 A
2017-09-11T00:00:00-06:00,273.3249352706106 A
2017-09-12T00:00:00-06:00,272.95908468146075 A
2017-09-13T00:00:00-06:00,273.7794681305581 A
2017-09-14T00:00:00-06:00,272.5030757011251 A
2017-09-15T00:00:00-06:00,217.32240785297594 A
2017-09-16T00:00:00-06:00,172.82204702276934 A
2017-09-17T00:00:00-06:00,184.42015369733176 A
2017-09-18T00:00:00-06:00,263.61980293675475 A
2017-09-19T00:00:00-06:00,205.01629702919408 A
2017-09-20T00:00:00-06:00,221.80821950812089 A
2017-09-21T00:00:00-06:00,172.38014058863862 A
2017-09-22T00:00:00-06:00,127.87585957845052 A
2017-09-23T00:00:00-06:00,89.2691292864211 A
2017-09-24T00:00:00-06:00,88.65245819091797 A
2017-09-25T00:00:00-06:00,113.59538586265163 A
2017-09-26T00:00:00-06:00,164.77681647852847 A
2017-09-27T00:00:00-06:00,172.51309364720396 A
2017-09-28T00:00:00-06:00,194.5402372626848 A
2017-09-29T00:00:00-06:00,223.07854159673056 A
2017-09-30T00:00:00-06:00,184.0908729719079 A
2017-10-01T00:00:00-06:00,93.75382581321142 A
2017-10-02T00:00:00-06:00,104.63371086120605 A
2017-10-03T00:00:00-06:00,157.15040290355682 A
2017-10-04T00:00:00-06:00,188.98507373207494 A
2017-10-05T00:00:00-06:00,113.24414873123169 A
2017-10-06T00:00:00-06:00,161.42855320980675 A
2017-10-07T00:00:00-06:00,99.43176584465559 A
2017-10-08T00:00:00-06:00,94.96752788709557 A
2017-10-09T00:00:00-06:00,109.48295818128084 A
2017-10-10T00:00:00-06:00,146.41478163066662 A
2017-10-11T00:00:00-06:00,190.3729525221155 A
2017-10-12T00:00:00-06:00,112.01134563245272 A
2017-10-13T00:00:00-06:00,114.35976187388103 A
2017-10-14T00:00:00-06:00,90.49446332454681 A
2017-10-15T00:00:00-06:00,94.6976830096955 A
2017-10-16T00:00:00-06:00,115.99506795406342 A
2017-10-17T00:00:00-06:00,142.8357256625561 A
2017-10-18T00:00:00-06:00,183.50486747254718 A
2017-10-19T00:00:00-06:00,198.6548857839484 A
2017-10-20T00:00:00-06:00,174.82600339253744 A
2017-10-21T00:00:00-06:00,96.76331400871277 A
2017-10-22T00:00:00-06:00,147.48905013234992 A
2017-10-23T00:00:00-06:00,173.15356716579862 A
2017-10-24T00:00:00-06:00,151.44218685752466 A
2017-10-25T00:00:00-06:00,165.34736569053248 A
2017-10-26T00:00:00-06:00,122.92780215614721 A
2017-10-27T00:00:00-06:00,140.2462439139684 A
2017-10-28T00:00:00-06:00,98.8506790002187 A
2017-10-29T00:00:00-06:00,102.95695221424103 A
2017-10-30T00:00:00-06:00,121.32566102680407 A
2017-10-31T00:00:00-06:00,114.56078326576635 A
2017-11-01T00:00:00-06:00,116.36011064052582 A
2017-11-02T00:00:00-06:00,117.19355706373851 A
2017-11-03T00:00:00-06:00,119.4110854069392 A
2017-11-04T00:00:00-06:00,97.16161064306895 A
2017-11-05T00:00:00-06:00,93.38560203552247 A
2017-11-06T00:00:00-07:00,114.7961688041687 A
2017-11-07T00:00:00-07:00,115.40499810377757 A
2017-11-08T00:00:00-07:00,113.63498791058858 A
2017-11-09T00:00:00-07:00,116.38029897212982 A
2017-11-10T00:00:00-07:00,113.71221439043681 A
2017-11-11T00:00:00-07:00,94.38660883903503 A
2017-11-12T00:00:00-07:00,95.13413095474243 A
2017-11-13T00:00:00-07:00,117.17775058746338 A
2017-11-14T00:00:00-07:00,118.25956253210704 A
2017-11-15T00:00:00-07:00,118.0244022210439 A
2017-11-16T00:00:00-07:00,123.28336135546367 A
2017-11-17T00:00:00-07:00,117.89378569753546 A
2017-11-18T00:00:00-07:00,114.023495276769 A
2017-11-19T00:00:00-07:00,123.33214529355367 A
2017-11-20T00:00:00-07:00,129.3806668917338 A
2017-11-21T00:00:00-07:00,133.0605102380117 A
2017-11-22T00:00:00-07:00,135.1104408899943 A
2017-11-23T00:00:00-07:00,133.22896361351013 A
2017-11-24T00:00:00-07:00,134.21907790501913 A
2017-11-25T00:00:00-07:00,128.54018314679465 A
2017-11-26T00:00:00-07:00,129.2468377749125 A
2017-11-27T00:00:00-07:00,144.4519046942393 A
2017-11-28T00:00:00-07:00,138.19038009643555 A
2017-11-29T00:00:00-07:00,138.1931324005127 A
2017-11-30T00:00:00-07:00,137.91566530863443 A
2017-12-01T00:00:00-07:00,139.0050746599833 A
2017-12-02T00:00:00-07:00,132.2428344885508 A
2017-12-03T00:00:00-07:00,137.7094910144806 A
2017-12-04T00:00:00-07:00,140.68387802441916 A
2017-12-05T00:00:00-07:00,140.71487744649252 A
2017-12-06T00:00:00-07:00,131.66385034720102 A
2017-12-07T00:00:00-07:00,111.50688636302948 A
2017-12-08T00:00:00-07:00,111.19132777055104 A
2017-12-09T00:00:00-07:00,118.63966166973114 A
2017-12-10T00:00:00-07:00,119.29907011985779 A
2017-12-11T00:00:00-07:00,103.08043893178304 A
2017-12-12T00:00:00-07:00,92.48101234436035 A
2017-12-13T00:00:00-07:00,91.6384760538737 A
2017-12-14T00:00:00-07:00,91.23685542742412 A
2017-12-15T00:00:00-07:00,91.48151183128357 A
2017-12-16T00:00:00-07:00,89.58325695991516 A
2017-12-17T00:00:00-07:00,89.31508564949036 A
2017-12-18T00:00:00-07:00,91.73233006795247 A
2017-12-19T00:00:00-07:00,89.44334010283153 A
2017-12-20T00:00:00-07:00,89.39282584190369 A
2017-12-21T00:00:00-07:00,92.47243750095367 A
2017-12-22T00:00:00-07:00,91.03716750939687 A
2017-12-23T00:00:00-07:00,89.33625467618306 A
2017-12-24T00:00:00-07:00,89.77742266654968 A
2017-12-25T00:00:00-07:00,88.98024392127991 A
2017-12-26T00:00:00-07:00,90.38174732526143 A
2017-12-27T00:00:00-07:00,90.20657142003377 A
2017-12-28T00:00:00-07:00,89.81016568342845 A
2017-12-29T00:00:00-07:00,89.51743872960408 A
2017-12-30T00:00:00-07:00,89.68995110193889 A
2017-12-31T00:00:00-07:00,90.4307621717453 A
