Timestamp,['1cc9729d-5987cd19 0051-STERLING SILL CNTR Power Meter Volts BC']
2017-09-25T00:00:00-06:00,210.75104157129923 V
2017-09-26T00:00:00-06:00,210.6010414759318 V
2017-09-27T00:00:00-06:00,210.76041634877524 V
2017-09-28T00:00:00-06:00,210.74062490463257 V
2017-09-29T00:00:00-06:00,210.70208311080933 V
2017-09-30T00:00:00-06:00,210.34583282470703 V
2017-10-01T00:00:00-06:00,210.3041664759318 V
2017-10-02T00:00:00-06:00,210.59791692097983 V
2017-10-03T00:00:00-06:00,210.29270855585733 V
2017-10-04T00:00:00-06:00,210.71562512715658 V
2017-10-05T00:00:00-06:00,210.63958342870077 V
2017-10-06T00:00:00-06:00,210.5260411898295 V
2017-10-07T00:00:00-06:00,210.7520834604899 V
2017-10-08T00:00:00-06:00,210.66666634877524 V
2017-10-09T00:00:00-06:00,210.65520811080933 V
2017-10-10T00:00:00-06:00,210.51145807902017 V
2017-10-11T00:00:00-06:00,210.53229157129923 V
2017-10-12T00:00:00-06:00,210.75104157129923 V
2017-10-13T00:00:00-06:00,210.61458285649618 V
2017-10-14T00:00:00-06:00,210.53020795186362 V
2017-10-15T00:00:00-06:00,210.47291660308838 V
2017-10-16T00:00:00-06:00,210.57708279291788 V
2017-10-17T00:00:00-06:00,210.37083355585733 V
2017-10-18T00:00:00-06:00,210.7177087465922 V
2017-10-19T00:00:00-06:00,210.81770833333334 V
2017-10-20T00:00:00-06:00,210.4375001589457 V
2017-10-21T00:00:00-06:00,210.6906247138977 V
2017-10-22T00:00:00-06:00,210.49166631698608 V
2017-10-23T00:00:00-06:00,210.77291695276895 V
2017-10-24T00:00:00-06:00,210.61145798365274 V
2017-10-25T00:00:00-06:00,210.69479163487753 V
2017-10-26T00:00:00-06:00,210.49374977747598 V
2017-10-27T00:00:00-06:00,210.60937404632568 V
2017-10-28T00:00:00-06:00,210.51979223887125 V
2017-10-29T00:00:00-06:00,210.42395814259848 V
2017-10-30T00:00:00-06:00,210.73541720708212 V
2017-10-31T00:00:00-06:00,210.8072911898295 V
2017-11-01T00:00:00-06:00,210.42083263397217 V
2017-11-02T00:00:00-06:00,210.70833285649618 V
2017-11-03T00:00:00-06:00,210.7770832379659 V
2017-11-04T00:00:00-06:00,210.73229201634726 V
2017-11-05T00:00:00-06:00,210.85800018310547 V
2017-11-06T00:00:00-07:00,210.9489582379659 V
2017-11-07T00:00:00-07:00,210.9843757947286 V
2017-11-08T00:00:00-07:00,210.7052083015442 V
2017-11-09T00:00:00-07:00,210.6104156176249 V
2017-11-10T00:00:00-07:00,210.89687474568686 V
2017-11-11T00:00:00-07:00,210.8750001589457 V
2017-11-12T00:00:00-07:00,210.90729109446207 V
2017-11-13T00:00:00-07:00,210.66874980926514 V
2017-11-14T00:00:00-07:00,211.01354122161865 V
2017-11-15T00:00:00-07:00,210.6875 V
2017-11-16T00:00:00-07:00,210.41979138056436 V
2017-11-17T00:00:00-07:00,210.42291720708212 V
2017-11-18T00:00:00-07:00,210.82187461853027 V
2017-11-19T00:00:00-07:00,210.91354195276895 V
2017-11-20T00:00:00-07:00,210.78541612625122 V
2017-11-21T00:00:00-07:00,210.86458269755045 V
2017-11-22T00:00:00-07:00,210.7416672706604 V
2017-11-23T00:00:00-07:00,210.831249554952 V
2017-11-24T00:00:00-07:00,210.85937388737997 V
2017-11-25T00:00:00-07:00,210.73229201634726 V
2017-11-26T00:00:00-07:00,210.89479160308838 V
2017-11-27T00:00:00-07:00,210.80416631698608 V
2017-11-28T00:00:00-07:00,210.87083339691162 V
2017-11-29T00:00:00-07:00,210.69791730244955 V
2017-11-30T00:00:00-07:00,210.9166661898295 V
2017-12-01T00:00:00-07:00,210.57395855585733 V
2017-12-02T00:00:00-07:00,210.65729204813638 V
2017-12-03T00:00:00-07:00,210.8791659673055 V
2017-12-04T00:00:00-07:00,210.61875009536743 V
2017-12-05T00:00:00-07:00,210.74791638056436 V
2017-12-06T00:00:00-07:00,210.72812525431314 V
2017-12-07T00:00:00-07:00,210.74583339691162 V
2017-12-08T00:00:00-07:00,210.52291695276895 V
2017-12-09T00:00:00-07:00,210.63333431879678 V
2017-12-10T00:00:00-07:00,210.72395785649618 V
2017-12-11T00:00:00-07:00,210.8447912534078 V
2017-12-12T00:00:00-07:00,210.46354166666666 V
2017-12-13T00:00:00-07:00,210.87083307902017 V
2017-12-14T00:00:00-07:00,210.82395760218301 V
2017-12-15T00:00:00-07:00,210.9375001589457 V
2017-12-16T00:00:00-07:00,210.765625 V
2017-12-17T00:00:00-07:00,210.57916641235352 V
2017-12-18T00:00:00-07:00,210.42150534352947 V
2017-12-19T00:00:00-07:00,210.76458247502646 V
2017-12-20T00:00:00-07:00,210.7854167620341 V
2017-12-21T00:00:00-07:00,210.8322917620341 V
2017-12-22T00:00:00-07:00,210.9802082379659 V
2017-12-23T00:00:00-07:00,210.6885412534078 V
2017-12-24T00:00:00-07:00,210.9020832379659 V
2017-12-25T00:00:00-07:00,211.15625047683716 V
2017-12-26T00:00:00-07:00,211.19479115804037 V
2017-12-27T00:00:00-07:00,210.4770825703939 V
2017-12-28T00:00:00-07:00,211.1697915395101 V
2017-12-29T00:00:00-07:00,210.8406260808309 V
2017-12-30T00:00:00-07:00,211.04166650772095 V
2017-12-31T00:00:00-07:00,210.75312439600626 V
