Timestamp,['20d43261-80a6cab3 0043-NAVAL SCIENCE BLDG Power Meter 300093 Voltage A-N']
2017-10-16T00:00:00-06:00,123.125 V
2017-10-17T00:00:00-06:00,122.90625 V
2017-10-18T00:00:00-06:00,122.89583333333333 V
2017-10-19T00:00:00-06:00,122.92708333333333 V
2017-10-20T00:00:00-06:00,122.95833333333333 V
2017-10-21T00:00:00-06:00,123.14583333333333 V
2017-10-22T00:00:00-06:00,123.10416666666667 V
2017-10-23T00:00:00-06:00,122.98958333333333 V
2017-10-24T00:00:00-06:00,122.94791666666667 V
2017-10-25T00:00:00-06:00,122.94791666666667 V
2017-10-26T00:00:00-06:00,123.09375 V
2017-10-27T00:00:00-06:00,123.10416666666667 V
2017-10-28T00:00:00-06:00,122.97916666666667 V
2017-10-29T00:00:00-06:00,123.10416666666667 V
2017-10-30T00:00:00-06:00,123.17708333333333 V
2017-10-31T00:00:00-06:00,123.19791666666667 V
2017-11-01T00:00:00-06:00,122.82291666666667 V
2017-11-02T00:00:00-06:00,122.91666666666667 V
2017-11-03T00:00:00-06:00,122.83333333333333 V
2017-11-04T00:00:00-06:00,123.04166666666667 V
2017-11-05T00:00:00-06:00,123.17 V
2017-11-06T00:00:00-07:00,122.88541666666667 V
2017-11-07T00:00:00-07:00,122.9375 V
2017-11-08T00:00:00-07:00,122.89583333333333 V
2017-11-09T00:00:00-07:00,123.0625 V
2017-11-10T00:00:00-07:00,123.05208333333333 V
2017-11-11T00:00:00-07:00,123.07291666666667 V
2017-11-12T00:00:00-07:00,123.125 V
2017-11-13T00:00:00-07:00,123.03125 V
2017-11-14T00:00:00-07:00,123.21875 V
2017-11-15T00:00:00-07:00,123.07291666666667 V
2017-11-16T00:00:00-07:00,122.9375 V
2017-11-17T00:00:00-07:00,123.07291666666667 V
2017-11-18T00:00:00-07:00,123.19791666666667 V
2017-11-19T00:00:00-07:00,123.3125 V
2017-11-20T00:00:00-07:00,123.15625 V
2017-11-21T00:00:00-07:00,123.11458333333333 V
2017-11-22T00:00:00-07:00,122.86458333333333 V
2017-11-23T00:00:00-07:00,123.21875 V
2017-11-24T00:00:00-07:00,123.13541666666667 V
2017-11-25T00:00:00-07:00,123.125 V
2017-11-26T00:00:00-07:00,123.11458333333333 V
2017-11-27T00:00:00-07:00,123 V
2017-11-28T00:00:00-07:00,123.20833333333333 V
2017-11-29T00:00:00-07:00,123.14583333333333 V
