Timestamp,['1d0b1c2d-970ccf02 0084-BIOLOGY BLDG Power Meter 316501 Current B']
2017-07-18T00:00:00-06:00,835.2755247751871 A
2017-07-19T00:00:00-06:00,826.8241729736328 A
2017-07-20T00:00:00-06:00,842.1747392018636 A
2017-07-21T00:00:00-06:00,815.4833526611328 A
2017-07-22T00:00:00-06:00,775.8700167338053 A
2017-07-23T00:00:00-06:00,772.6265347798666 A
2017-07-24T00:00:00-06:00,774.3445320129395 A
2017-07-25T00:00:00-06:00,774.9448744455973 A
2017-07-26T00:00:00-06:00,800.6144078572592 A
2017-07-27T00:00:00-06:00,819.6817359924316 A
2017-07-28T00:00:00-06:00,797.0306930541992 A
2017-07-29T00:00:00-06:00,775.9665253957113 A
2017-07-30T00:00:00-06:00,775.6003068288168 A
2017-07-31T00:00:00-06:00,814.2452163696289 A
2017-08-01T00:00:00-06:00,810.8877792358398 A
2017-08-02T00:00:00-06:00,792.5582402547201 A
2017-08-03T00:00:00-06:00,798.7048435211182 A
2017-08-04T00:00:00-06:00,771.6694261338976 A
2017-08-05T00:00:00-06:00,769.9865188598633 A
2017-08-06T00:00:00-06:00,744.1031506856283 A
2017-08-07T00:00:00-06:00,764.7107652028402 A
2017-08-08T00:00:00-06:00,763.1284443102385 A
2017-08-09T00:00:00-06:00,770.6711750030518 A
2017-08-10T00:00:00-06:00,776.6982262652854 A
2017-08-11T00:00:00-06:00,789.795072555542 A
2017-08-12T00:00:00-06:00,755.047445933024 A
2017-08-13T00:00:00-06:00,718.6760571797689 A
2017-08-14T00:00:00-06:00,692.7767588297526 A
2017-08-15T00:00:00-06:00,715.28031984965 A
2017-08-16T00:00:00-06:00,688.8868985383407 A
2017-08-17T00:00:00-06:00,668.4388233820597 A
2017-08-18T00:00:00-06:00,703.3076705932617 A
2017-08-19T00:00:00-06:00,705.3896153767904 A
2017-08-20T00:00:00-06:00,707.6935195922852 A
2017-08-21T00:00:00-06:00,710.6743647257487 A
2017-08-22T00:00:00-06:00,662.819055557251 A
2017-08-23T00:00:00-06:00,681.3049802780151 A
2017-08-24T00:00:00-06:00,746.1560096740723 A
2017-08-25T00:00:00-06:00,664.2987674077352 A
2017-08-26T00:00:00-06:00,704.5834482366389 A
2017-08-27T00:00:00-06:00,691.8302244623023 A
2017-08-28T00:00:00-06:00,724.8821982731895 A
2017-08-29T00:00:00-06:00,725.9585632324219 A
2017-08-30T00:00:00-06:00,701.1728578764817 A
2017-08-31T00:00:00-06:00,602.5947747802734 A
2017-09-01T00:00:00-06:00,659.609842608052 A
2017-09-02T00:00:00-06:00,692.7633870442709 A
2017-09-03T00:00:00-06:00,685.610791015625 A
2017-09-04T00:00:00-06:00,678.8338144339767 A
2017-09-05T00:00:00-06:00,711.5215551202947 A
2017-09-06T00:00:00-06:00,746.319575383113 A
2017-09-07T00:00:00-06:00,713.2918232509068 A
2017-09-08T00:00:00-06:00,714.1377590013587 A
2017-09-09T00:00:00-06:00,689.40085710798 A
2017-09-10T00:00:00-06:00,689.7400723161369 A
2017-09-11T00:00:00-06:00,720.8271800074084 A
2017-09-12T00:00:00-06:00,734.6030169988082 A
2017-09-13T00:00:00-06:00,725.4392254541791 A
2017-09-14T00:00:00-06:00,686.2957132630429 A
2017-09-15T00:00:00-06:00,725.1687246469351 A
2017-09-16T00:00:00-06:00,695.3840346225472 A
2017-09-17T00:00:00-06:00,691.9148875645229 A
2017-09-18T00:00:00-06:00,737.8409423828125 A
2017-09-19T00:00:00-06:00,731.6340855189732 A
2017-09-20T00:00:00-06:00,773.0147693562058 A
2017-09-21T00:00:00-06:00,729.596581552543 A
2017-09-22T00:00:00-06:00,735.197509765625 A
2017-09-23T00:00:00-06:00,707.2155083550347 A
2017-09-24T00:00:00-06:00,691.7175405074139 A
2017-09-25T00:00:00-06:00,759.3664861715065 A
2017-09-26T00:00:00-06:00,735.6911873653017 A
2017-09-27T00:00:00-06:00,747.9346913304822 A
2017-09-28T00:00:00-06:00,721.1889806676794 A
2017-09-29T00:00:00-06:00,739.2779121398926 A
2017-09-30T00:00:00-06:00,647.5852570710359 A
2017-10-01T00:00:00-06:00,664.6035461425781 A
2017-10-02T00:00:00-06:00,694.8604412468112 A
2017-10-03T00:00:00-06:00,731.8952855352145 A
2017-10-04T00:00:00-06:00,710.895879473005 A
2017-10-05T00:00:00-06:00,722.7900911656822 A
2017-10-06T00:00:00-06:00,719.989889423499 A
2017-10-07T00:00:00-06:00,702.8600983315325 A
2017-10-08T00:00:00-06:00,632.364397684733 A
2017-10-09T00:00:00-06:00,705.2734985351562 A
2017-10-10T00:00:00-06:00,712.688666909428 A
2017-10-11T00:00:00-06:00,704.4733486380628 A
2017-10-12T00:00:00-06:00,678.2679551442465 A
2017-10-13T00:00:00-06:00,671.691370010376 A
2017-10-14T00:00:00-06:00,668.7640546162924 A
2017-10-15T00:00:00-06:00,656.1435928344727 A
2017-10-16T00:00:00-06:00,659.1839021046957 A
2017-10-17T00:00:00-06:00,623.2489649454752 A
2017-10-18T00:00:00-06:00,656.6994199752808 A
2017-10-19T00:00:00-06:00,618.0563112894694 A
2017-10-20T00:00:00-06:00,660.4268567537007 A
2017-10-21T00:00:00-06:00,653.888682047526 A
2017-10-22T00:00:00-06:00,644.8284479777018 A
2017-10-23T00:00:00-06:00,667.9034430185953 A
2017-10-24T00:00:00-06:00,669.8294992547286 A
2017-10-25T00:00:00-06:00,682.9810746510824 A
2017-10-26T00:00:00-06:00,668.7660543150821 A
