Timestamp,['1fd1b098-d20df861 0082-SKAGGS BIOLOGY BLDG Power Meter Current C']
2017-06-10T00:00:00-06:00,659.9677206675211 A
2017-06-11T00:00:00-06:00,688.1375109354655 A
2017-06-12T00:00:00-06:00,674.6625124613444 A
2017-06-13T00:00:00-06:00,685.5593929290771 A
2017-06-14T00:00:00-06:00,746.5645974477133 A
2017-06-15T00:00:00-06:00,787.2291781107584 A
2017-06-16T00:00:00-06:00,798.3541781107584 A
2017-06-17T00:00:00-06:00,719.3104286193848 A
2017-06-18T00:00:00-06:00,663.4239705403646 A
2017-06-19T00:00:00-06:00,796.0135580698649 A
2017-06-20T00:00:00-06:00,825.3823013305664 A
2017-06-21T00:00:00-06:00,846.3968912760416 A
2017-06-22T00:00:00-06:00,803.99480565389 A
2017-06-23T00:00:00-06:00,765.3270943959554 A
2017-06-24T00:00:00-06:00,754.4448064168295 A
2017-06-25T00:00:00-06:00,788.8375123341879 A
2017-06-26T00:00:00-06:00,866.402099609375 A
2017-06-27T00:00:00-06:00,849.7187646230062 A
2017-06-28T00:00:00-06:00,801.8687629699707 A
2017-06-29T00:00:00-06:00,774.1510524749756 A
2017-06-30T00:00:00-06:00,782.0333468119303 A
2017-07-01T00:00:00-06:00,755.0250097910563 A
2017-07-02T00:00:00-06:00,771.5854320526123 A
2017-07-03T00:00:00-06:00,800.6906363169352 A
2017-07-04T00:00:00-06:00,787.881264368693 A
2017-07-05T00:00:00-06:00,848.758347829183 A
2017-07-06T00:00:00-06:00,874.2135518391927 A
2017-07-07T00:00:00-06:00,908.3645992279053 A
2017-07-08T00:00:00-06:00,945.5968888600668 A
2017-07-09T00:00:00-06:00,935.6229241689047 A
2017-07-10T00:00:00-06:00,948.5458437601725 A
2017-07-11T00:00:00-06:00,901.3520997365316 A
2017-07-12T00:00:00-06:00,867.937510808309 A
2017-07-13T00:00:00-06:00,879.5166810353597 A
2017-07-14T00:00:00-06:00,929.8114744822184 A
2017-07-15T00:00:00-06:00,921.49063428243 A
2017-07-16T00:00:00-06:00,908.7343864440918 A
2017-07-17T00:00:00-06:00,961.4541778564453 A
2017-07-18T00:00:00-06:00,930.2218939463297 A
2017-07-19T00:00:00-06:00,934.9781386057535 A
2017-07-20T00:00:00-06:00,925.6093832651774 A
2017-07-21T00:00:00-06:00,898.9958508809408 A
2017-07-22T00:00:00-06:00,862.2416826883951 A
2017-07-23T00:00:00-06:00,823.6687628428141 A
2017-07-24T00:00:00-06:00,866.6500129699707 A
2017-07-25T00:00:00-06:00,923.8916823069254 A
2017-07-26T00:00:00-06:00,861.2614707946777 A
2017-07-27T00:00:00-06:00,812.503137588501 A
2017-07-28T00:00:00-06:00,798.1833464304606 A
2017-07-29T00:00:00-06:00,758.7385527292887 A
2017-07-30T00:00:00-06:00,769.6145973205566 A
2017-07-31T00:00:00-06:00,808.1885534922282 A
2017-08-01T00:00:00-06:00,865.9312629699707 A
2017-08-02T00:00:00-06:00,928.9916788736979 A
2017-08-03T00:00:00-06:00,910.2906360626221 A
2017-08-04T00:00:00-06:00,851.7923194969094 A
2017-08-05T00:00:00-06:00,780.5864721934 A
2017-08-06T00:00:00-06:00,753.2468852996826 A
2017-08-07T00:00:00-06:00,806.7145951588949 A
2017-08-08T00:00:00-06:00,809.770845413208 A
2017-08-09T00:00:00-06:00,810.3979288736979 A
2017-08-10T00:00:00-06:00,810.1553312261054 A
2017-08-11T00:00:00-06:00,806.3000106811523 A
2017-08-12T00:00:00-06:00,777.3260555267334 A
2017-08-13T00:00:00-06:00,783.7000109354655 A
2017-08-14T00:00:00-06:00,811.6552200317383 A
2017-08-15T00:00:00-06:00,791.9541829427084 A
2017-08-16T00:00:00-06:00,829.7781403859457 A
2017-08-17T00:00:00-06:00,881.7791805267334 A
2017-08-18T00:00:00-06:00,902.740640004476 A
2017-08-19T00:00:00-06:00,894.9291807810465 A
2017-08-20T00:00:00-06:00,919.7166786193848 A
2017-08-21T00:00:00-06:00,914.6312624613444 A
2017-08-22T00:00:00-06:00,917.0083446502686 A
2017-08-23T00:00:00-06:00,919.7104320526123 A
2017-08-24T00:00:00-06:00,911.6739730834961 A
2017-08-25T00:00:00-06:00,903.6354287465414 A
2017-08-26T00:00:00-06:00,886.1843903859457 A
2017-08-27T00:00:00-06:00,873.7041791280111 A
2017-08-28T00:00:00-06:00,882.6282726785411 A
2017-08-29T00:00:00-06:00,930.5215185021841 A
2017-08-30T00:00:00-06:00,962.2020975748698 A
2017-08-31T00:00:00-06:00,956.4781347910563 A
2017-09-01T00:00:00-06:00,932.5541845957438 A
2017-09-02T00:00:00-06:00,864.8448022206625 A
2017-09-03T00:00:00-06:00,822.5500138600668 A
2017-09-04T00:00:00-06:00,786.3927199045817 A
2017-09-05T00:00:00-06:00,848.0552202860514 A
2017-09-06T00:00:00-06:00,887.1281363169352 A
2017-09-07T00:00:00-06:00,865.5385551452637 A
2017-09-08T00:00:00-06:00,838.388307611993 A
2017-09-09T00:00:00-06:00,817.7375119527181 A
2017-09-10T00:00:00-06:00,815.5239690144857 A
2017-09-11T00:00:00-06:00,928.8323059082031 A
2017-09-12T00:00:00-06:00,940.9427248636881 A
2017-09-13T00:00:00-06:00,918.2177187601725 A
2017-09-14T00:00:00-06:00,902.641679763794 A
2017-09-15T00:00:00-06:00,698.8875080744425 A
2017-09-16T00:00:00-06:00,565.0166772206625 A
2017-09-17T00:00:00-06:00,604.7302211125692 A
2017-09-18T00:00:00-06:00,787.5416819254557 A
2017-09-19T00:00:00-06:00,661.910426457723 A
2017-09-20T00:00:00-06:00,695.0020974477133 A
2017-09-21T00:00:00-06:00,611.3333466847738 A
2017-09-22T00:00:00-06:00,540.345842997233 A
2017-09-23T00:00:00-06:00,494.2666753133138 A
2017-09-24T00:00:00-06:00,486.9200079666941 A
2017-09-25T00:00:00-06:00,556.8166770935059 A
2017-09-26T00:00:00-06:00,574.6406364440918 A
2017-09-27T00:00:00-06:00,620.5104274749756 A
2017-09-28T00:00:00-06:00,681.7645950317383 A
2017-09-29T00:00:00-06:00,647.846887588501 A
2017-09-30T00:00:00-06:00,585.3864704767863 A
2017-10-01T00:00:00-06:00,529.0635512669882 A
2017-10-02T00:00:00-06:00,535.140632947286 A
2017-10-03T00:00:00-06:00,556.4489682515463 A
2017-10-04T00:00:00-06:00,606.9041779836019 A
2017-10-05T00:00:00-06:00,559.0760517120361 A
2017-10-06T00:00:00-06:00,548.5083452860514 A
2017-10-07T00:00:00-06:00,632.7500139872233 A
2017-10-08T00:00:00-06:00,545.0145928064982 A
2017-10-09T00:00:00-06:00,534.1635519663492 A
2017-10-10T00:00:00-06:00,579.1927178700765 A
2017-10-11T00:00:00-06:00,662.4468841552734 A
2017-10-12T00:00:00-06:00,578.8770974477133 A
2017-10-13T00:00:00-06:00,574.6104278564453 A
2017-10-14T00:00:00-06:00,493.114590326945 A
