Timestamp,['1f7d6d16-90a85fe3 0372-KENNECOTT MECH ENG BLDG Power Meter 300345 Current B']
2017-08-31T00:00:00-06:00,297.0208333333333 A
2017-09-01T00:00:00-06:00,310.1927083333333 A
2017-09-02T00:00:00-06:00,260.171875 A
2017-09-03T00:00:00-06:00,269.5729166666667 A
2017-09-04T00:00:00-06:00,264.0403645833333 A
2017-09-05T00:00:00-06:00,302.91796875 A
2017-09-06T00:00:00-06:00,332.6848958333333 A
2017-09-07T00:00:00-06:00,322.4895833333333 A
2017-09-08T00:00:00-06:00,312.8268229166667 A
2017-09-09T00:00:00-06:00,271.5247395833333 A
2017-09-10T00:00:00-06:00,263.25390625 A
2017-09-11T00:00:00-06:00,292.2604166666667 A
2017-09-12T00:00:00-06:00,246.10546875 A
2017-09-13T00:00:00-06:00,258.51953125 A
2017-09-14T00:00:00-06:00,256.2916666666667 A
2017-09-15T00:00:00-06:00,253.65755208333334 A
2017-09-16T00:00:00-06:00,196.89192708333334 A
2017-09-17T00:00:00-06:00,220.34505208333334 A
2017-09-18T00:00:00-06:00,291.36328125 A
2017-09-19T00:00:00-06:00,215.95052083333334 A
2017-09-20T00:00:00-06:00,250.21875 A
2017-09-21T00:00:00-06:00,207.19010416666666 A
2017-09-22T00:00:00-06:00,220.82421875 A
2017-09-23T00:00:00-06:00,172.47916666666666 A
2017-09-24T00:00:00-06:00,173.19270833333334 A
2017-09-25T00:00:00-06:00,224.29166666666666 A
2017-09-26T00:00:00-06:00,235.43359375 A
2017-09-27T00:00:00-06:00,234.6484375 A
2017-09-28T00:00:00-06:00,237.14713541666666 A
2017-09-29T00:00:00-06:00,244.38541666666666 A
2017-09-30T00:00:00-06:00,173.98177083333334 A
2017-10-01T00:00:00-06:00,171.63151041666666 A
2017-10-02T00:00:00-06:00,211.63020833333334 A
2017-10-03T00:00:00-06:00,209.45182291666666 A
2017-10-04T00:00:00-06:00,212.87239583333334 A
2017-10-05T00:00:00-06:00,208.59244791666666 A
2017-10-06T00:00:00-06:00,202.69661458333334 A
2017-10-07T00:00:00-06:00,190.27864583333334 A
2017-10-08T00:00:00-06:00,168.50130208333334 A
2017-10-09T00:00:00-06:00,198.328125 A
2017-10-10T00:00:00-06:00,197.4140625 A
