Timestamp,['1ef467d3-edf83bb0 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 Current C']
2017-06-13T00:00:00-06:00,71.64289609591167 A
2017-06-14T00:00:00-06:00,74.23196717103322 A
2017-06-15T00:00:00-06:00,71.07511762777965 A
2017-06-16T00:00:00-06:00,65.55680123964946 A
2017-06-17T00:00:00-06:00,62.20637424786886 A
2017-06-18T00:00:00-06:00,57.64159615834554 A
2017-06-19T00:00:00-06:00,68.23960177103679 A
2017-06-20T00:00:00-06:00,72.81630659103394 A
2017-06-21T00:00:00-06:00,78.44889223575592 A
2017-06-22T00:00:00-06:00,70.88175602753957 A
2017-06-23T00:00:00-06:00,80.2003276348114 A
2017-06-24T00:00:00-06:00,56.36111009120941 A
2017-06-25T00:00:00-06:00,52.92913552125295 A
2017-06-26T00:00:00-06:00,72.65399916966756 A
2017-06-27T00:00:00-06:00,69.10151374340057 A
2017-06-28T00:00:00-06:00,73.87394972642262 A
2017-06-29T00:00:00-06:00,67.01062421003978 A
2017-06-30T00:00:00-06:00,73.74470965067546 A
2017-07-01T00:00:00-06:00,51.773955861727394 A
2017-07-02T00:00:00-06:00,54.383828481038414 A
2017-07-03T00:00:00-06:00,62.9778348604838 A
2017-07-04T00:00:00-06:00,51.200102965037026 A
2017-07-05T00:00:00-06:00,71.91520269711812 A
2017-07-06T00:00:00-06:00,67.9578138589859 A
2017-07-07T00:00:00-06:00,67.37906444072723 A
2017-07-08T00:00:00-06:00,54.86748437086741 A
2017-07-09T00:00:00-06:00,51.232821106910706 A
2017-07-10T00:00:00-06:00,74.62117826938629 A
2017-07-11T00:00:00-06:00,72.1728104352951 A
2017-07-12T00:00:00-06:00,68.16607411702473 A
2017-07-13T00:00:00-06:00,69.6002254486084 A
2017-07-14T00:00:00-06:00,67.59517470995586 A
2017-07-15T00:00:00-06:00,54.77241003513336 A
2017-07-16T00:00:00-06:00,53.32563968499502 A
2017-07-17T00:00:00-06:00,72.89544308185577 A
2017-07-18T00:00:00-06:00,82.76859390735626 A
2017-07-19T00:00:00-06:00,78.32353921731313 A
2017-07-20T00:00:00-06:00,71.54854186375935 A
2017-07-21T00:00:00-06:00,61.51778221130371 A
2017-07-22T00:00:00-06:00,54.532819946606956 A
2017-07-23T00:00:00-06:00,52.31025779247284 A
2017-07-24T00:00:00-06:00,54.92045386632284 A
2017-07-25T00:00:00-06:00,67.09464367230733 A
2017-07-26T00:00:00-06:00,65.80328206221263 A
2017-07-27T00:00:00-06:00,71.4121253490448 A
2017-07-28T00:00:00-06:00,68.94650514920552 A
2017-07-29T00:00:00-06:00,54.36934578418732 A
2017-07-30T00:00:00-06:00,53.45432007312775 A
2017-07-31T00:00:00-06:00,63.56236187616984 A
2017-08-01T00:00:00-06:00,62.35174675782522 A
2017-08-02T00:00:00-06:00,64.21133263905843 A
2017-08-03T00:00:00-06:00,62.81191337108612 A
2017-08-04T00:00:00-06:00,74.18616955096905 A
2017-08-05T00:00:00-06:00,55.37952331701914 A
2017-08-06T00:00:00-06:00,52.467915177345276 A
2017-08-07T00:00:00-06:00,77.2939555644989 A
2017-08-08T00:00:00-06:00,72.84356164932251 A
2017-08-09T00:00:00-06:00,66.80543112754822 A
2017-08-10T00:00:00-06:00,65.43739046949021 A
2017-08-11T00:00:00-06:00,69.2391067345937 A
2017-08-12T00:00:00-06:00,52.09575084845225 A
2017-08-13T00:00:00-06:00,52.0611914396286 A
2017-08-14T00:00:00-06:00,70.97928174336751 A
2017-08-15T00:00:00-06:00,67.95911590258281 A
2017-08-16T00:00:00-06:00,72.57551276683807 A
2017-08-17T00:00:00-06:00,72.53132319450378 A
2017-08-18T00:00:00-06:00,68.99359548091888 A
2017-08-19T00:00:00-06:00,52.73972765604655 A
2017-08-20T00:00:00-06:00,54.17224649588267 A
2017-08-21T00:00:00-06:00,76.74307990074158 A
2017-08-22T00:00:00-06:00,76.28620199362437 A
2017-08-23T00:00:00-06:00,77.31435581048329 A
2017-08-24T00:00:00-06:00,84.12958586215973 A
2017-08-25T00:00:00-06:00,81.00368161996205 A
2017-08-26T00:00:00-06:00,55.59423772493998 A
2017-08-27T00:00:00-06:00,54.88880014419556 A
2017-08-28T00:00:00-06:00,82.35921884352162 A
2017-08-29T00:00:00-06:00,80.45509970059959 A
2017-08-30T00:00:00-06:00,85.24703065554301 A
2017-08-31T00:00:00-06:00,78.03366827964783 A
2017-09-01T00:00:00-06:00,77.1975724697113 A
2017-09-02T00:00:00-06:00,53.525076468785606 A
2017-09-03T00:00:00-06:00,53.917057840447676 A
2017-09-04T00:00:00-06:00,54.29989850521088 A
2017-09-05T00:00:00-06:00,83.39075672626495 A
2017-09-06T00:00:00-06:00,80.85034795602162 A
2017-09-07T00:00:00-06:00,79.30222876866658 A
2017-09-08T00:00:00-06:00,76.85906689292506 A
2017-09-09T00:00:00-06:00,55.06763664881388 A
2017-09-10T00:00:00-06:00,58.00699174404144 A
2017-09-11T00:00:00-06:00,72.03135760625203 A
2017-09-12T00:00:00-06:00,75.36359874407451 A
2017-09-13T00:00:00-06:00,72.66462135314941 A
2017-09-14T00:00:00-06:00,90.80942169825236 A
2017-09-15T00:00:00-06:00,77.7032728989919 A
2017-09-16T00:00:00-06:00,65.97875829537709 A
2017-09-17T00:00:00-06:00,58.75235124429067 A
2017-09-18T00:00:00-06:00,76.82525531450908 A
2017-09-19T00:00:00-06:00,85.17836765448253 A
2017-09-20T00:00:00-06:00,80.89689906438191 A
2017-09-21T00:00:00-06:00,87.57052087783813 A
2017-09-22T00:00:00-06:00,82.7964227994283 A
2017-09-23T00:00:00-06:00,67.3364789088567 A
2017-09-24T00:00:00-06:00,62.56477200984955 A
2017-09-25T00:00:00-06:00,82.17265204588573 A
2017-09-26T00:00:00-06:00,79.68812143802643 A
2017-09-27T00:00:00-06:00,82.69429155190785 A
2017-09-28T00:00:00-06:00,93.55757300059001 A
2017-09-29T00:00:00-06:00,93.02332584063213 A
2017-09-30T00:00:00-06:00,56.25249469280243 A
2017-10-01T00:00:00-06:00,67.03250833352406 A
2017-10-02T00:00:00-06:00,83.90471490224202 A
2017-10-03T00:00:00-06:00,81.75272583961487 A
2017-10-04T00:00:00-06:00,75.65576887130737 A
2017-10-05T00:00:00-06:00,78.4780804713567 A
2017-10-06T00:00:00-06:00,71.8153574069341 A
2017-10-07T00:00:00-06:00,62.16561885674795 A
2017-10-08T00:00:00-06:00,55.40959358215332 A
2017-10-09T00:00:00-06:00,70.99393312136333 A
2017-10-10T00:00:00-06:00,81.87785375118256 A
2017-10-11T00:00:00-06:00,69.41741172472636 A
2017-10-12T00:00:00-06:00,88.45036510626475 A
2017-10-13T00:00:00-06:00,81.8489335378011 A
2017-10-14T00:00:00-06:00,49.803537249565125 A
2017-10-15T00:00:00-06:00,55.35864174365997 A
2017-10-16T00:00:00-06:00,82.48391608397166 A
2017-10-17T00:00:00-06:00,80.3251527150472 A
2017-10-18T00:00:00-06:00,79.35298196474712 A
2017-10-19T00:00:00-06:00,91.00104180971782 A
2017-10-20T00:00:00-06:00,76.72671190897624 A
2017-10-21T00:00:00-06:00,55.636522690455116 A
2017-10-22T00:00:00-06:00,56.09863694508871 A
2017-10-23T00:00:00-06:00,73.15542018413544 A
2017-10-24T00:00:00-06:00,55.071933110555015 A
2017-10-25T00:00:00-06:00,62.62498060862223 A
2017-10-26T00:00:00-06:00,57.42554167906443 A
