Timestamp,['202e54ec-5a0b408b Power Meter (HV) (316610) Current B']
2017-05-25T00:00:00-06:00,126.88505747126437 A
2017-05-26T00:00:00-06:00,116.76404494382022 A
2017-05-27T00:00:00-06:00,114.18279569892474 A
2017-05-28T00:00:00-06:00,132.54651162790697 A
2017-05-29T00:00:00-06:00,101.51578947368421 A
2017-05-30T00:00:00-06:00,123.25274725274726 A
2017-05-31T00:00:00-06:00,137.54651162790697 A
2017-06-01T00:00:00-06:00,134.0344827586207 A
2017-06-02T00:00:00-06:00,126.82894736842105 A
2017-06-03T00:00:00-06:00,150.4406779661017 A
2017-06-04T00:00:00-06:00,148.63636363636363 A
2017-06-05T00:00:00-06:00,135.71794871794873 A
2017-06-06T00:00:00-06:00,142.22619047619048 A
2017-06-07T00:00:00-06:00,145.7826086956522 A
2017-06-08T00:00:00-06:00,146.17391304347825 A
2017-06-09T00:00:00-06:00,138.37037037037038 A
2017-06-10T00:00:00-06:00,130.56976744186048 A
2017-06-11T00:00:00-06:00,137.71641791044777 A
2017-06-12T00:00:00-06:00,129.98507462686567 A
2017-06-13T00:00:00-06:00,118.1590909090909 A
2017-06-14T00:00:00-06:00,142.95774647887325 A
2017-06-15T00:00:00-06:00,142.6875 A
2017-06-16T00:00:00-06:00,142.7910447761194 A
2017-06-17T00:00:00-06:00,154.8955223880597 A
2017-06-18T00:00:00-06:00,105.28888888888889 A
2017-06-19T00:00:00-06:00,141.07692307692307 A
2017-06-20T00:00:00-06:00,176.66666666666666 A
2017-06-21T00:00:00-06:00,167.89473684210526 A
2017-06-22T00:00:00-06:00,158.42857142857142 A
2017-06-23T00:00:00-06:00,159.6043956043956 A
2017-06-24T00:00:00-06:00,158.11627906976744 A
2017-06-25T00:00:00-06:00,163.55555555555554 A
2017-06-26T00:00:00-06:00,173.40740740740742 A
2017-06-27T00:00:00-06:00,171.97752808988764 A
2017-06-28T00:00:00-06:00,162.2375 A
2017-06-29T00:00:00-06:00,154.56626506024097 A
2017-06-30T00:00:00-06:00,154.46153846153845 A
2017-07-01T00:00:00-06:00,160 A
2017-07-02T00:00:00-06:00,168.23333333333332 A
2017-07-03T00:00:00-06:00,173.57142857142858 A
2017-07-04T00:00:00-06:00,171.9 A
2017-07-05T00:00:00-06:00,177.17441860465115 A
2017-07-06T00:00:00-06:00,164.875 A
2017-07-07T00:00:00-06:00,182.11764705882354 A
2017-07-08T00:00:00-06:00,173 A
2017-07-09T00:00:00-06:00,180.5 A
2017-07-10T00:00:00-06:00,170 A
2017-07-11T00:00:00-06:00,169.2 A
2017-07-12T00:00:00-06:00,164.33333333333334 A
2017-07-14T00:00:00-06:00,179.26666666666668 A
2017-07-15T00:00:00-06:00,171.4375 A
2017-07-16T00:00:00-06:00,181.22222222222223 A
2017-07-17T00:00:00-06:00,185.16666666666666 A
2017-07-18T00:00:00-06:00,183.25 A
2017-07-19T00:00:00-06:00,185.28571428571428 A
2017-07-20T00:00:00-06:00,187 A
2017-07-21T00:00:00-06:00,181.375 A
2017-07-22T00:00:00-06:00,181.1315789473684 A
2017-07-23T00:00:00-06:00,184.66666666666666 A
2017-07-24T00:00:00-06:00,183.5 A
2017-07-25T00:00:00-06:00,180.5 A
2017-07-26T00:00:00-06:00,183.5 A
2017-07-27T00:00:00-06:00,175.85714285714286 A
2017-07-28T00:00:00-06:00,178.75 A
2017-07-29T00:00:00-06:00,176.33333333333334 A
2017-07-30T00:00:00-06:00,168.8 A
2017-07-31T00:00:00-06:00,180.125 A
2017-08-01T00:00:00-06:00,182.69230769230768 A
