Timestamp,['1cca7443-03868c47 0062-WARNOCK ENGR BLDG Power Meter 316606 Current A']
2017-06-24T00:00:00-06:00,73.50833333333334 A
2017-06-25T00:00:00-06:00,73.34722222222223 A
2017-06-26T00:00:00-06:00,93.05568445475637 A
2017-06-27T00:00:00-06:00,96.55208333333333 A
2017-06-28T00:00:00-06:00,92.77083333333333 A
2017-06-29T00:00:00-06:00,93.51041666666667 A
2017-06-30T00:00:00-06:00,92.14583333333333 A
2017-07-01T00:00:00-06:00,76.76041666666667 A
2017-07-02T00:00:00-06:00,75.22916666666667 A
2017-07-03T00:00:00-06:00,83.97916666666667 A
2017-07-04T00:00:00-06:00,76.72916666666667 A
2017-07-05T00:00:00-06:00,91.70833333333333 A
2017-07-06T00:00:00-06:00,90.5625 A
2017-07-07T00:00:00-06:00,87.85416666666667 A
2017-07-08T00:00:00-06:00,74.43157894736842 A
2017-07-09T00:00:00-06:00,76.09375 A
2017-07-10T00:00:00-06:00,89.97916666666667 A
2017-07-11T00:00:00-06:00,93.05208333333333 A
2017-07-12T00:00:00-06:00,90.80208333333333 A
2017-07-13T00:00:00-06:00,89.42708333333333 A
2017-07-14T00:00:00-06:00,88.3125 A
2017-07-15T00:00:00-06:00,70.51041666666667 A
2017-07-16T00:00:00-06:00,72.32291666666667 A
2017-07-17T00:00:00-06:00,88.25 A
2017-07-18T00:00:00-06:00,90.23958333333333 A
2017-07-19T00:00:00-06:00,88.3578947368421 A
2017-07-20T00:00:00-06:00,90.27083333333333 A
2017-07-21T00:00:00-06:00,90.98958333333333 A
2017-07-22T00:00:00-06:00,71.76041666666667 A
2017-07-23T00:00:00-06:00,71.5 A
2017-07-24T00:00:00-06:00,75.125 A
2017-07-25T00:00:00-06:00,86.02083333333333 A
2017-07-26T00:00:00-06:00,82.89583333333333 A
2017-07-27T00:00:00-06:00,85.875 A
2017-07-28T00:00:00-06:00,83.04166666666667 A
2017-07-29T00:00:00-06:00,73.77083333333333 A
2017-07-30T00:00:00-06:00,77.36458333333333 A
2017-07-31T00:00:00-06:00,90.79166666666667 A
2017-08-01T00:00:00-06:00,92.28125 A
2017-08-02T00:00:00-06:00,91.04166666666667 A
2017-08-03T00:00:00-06:00,86.28125 A
2017-08-04T00:00:00-06:00,81.30337078651685 A
2017-08-05T00:00:00-06:00,70.15625 A
2017-08-06T00:00:00-06:00,70.11458333333333 A
2017-08-07T00:00:00-06:00,82.92708333333333 A
2017-08-08T00:00:00-06:00,81.70833333333333 A
2017-08-09T00:00:00-06:00,87.05434782608695 A
2017-08-10T00:00:00-06:00,84.45652173913044 A
2017-08-11T00:00:00-06:00,86.5625 A
2017-08-12T00:00:00-06:00,74.16666666666667 A
2017-08-13T00:00:00-06:00,69.69791666666667 A
2017-08-14T00:00:00-06:00,94.78125 A
2017-08-15T00:00:00-06:00,88.52083333333333 A
2017-08-16T00:00:00-06:00,87.64583333333333 A
2017-08-17T00:00:00-06:00,99.375 A
2017-08-18T00:00:00-06:00,109 A
2017-08-19T00:00:00-06:00,98.19791666666667 A
2017-08-20T00:00:00-06:00,97.01041666666667 A
2017-08-21T00:00:00-06:00,112.53125 A
2017-08-22T00:00:00-06:00,120.47916666666667 A
2017-08-23T00:00:00-06:00,120.92708333333333 A
2017-08-24T00:00:00-06:00,119.60416666666667 A
2017-08-25T00:00:00-06:00,109.69791666666667 A
2017-08-26T00:00:00-06:00,89.10416666666667 A
2017-08-27T00:00:00-06:00,89.9375 A
2017-08-28T00:00:00-06:00,107.71910112359551 A
2017-08-29T00:00:00-06:00,108.0111111111111 A
2017-08-30T00:00:00-06:00,103.21875 A
2017-08-31T00:00:00-06:00,98.73958333333333 A
2017-09-01T00:00:00-06:00,96.78125 A
2017-09-02T00:00:00-06:00,77.94791666666667 A
2017-09-03T00:00:00-06:00,76.125 A
2017-09-04T00:00:00-06:00,81.3125 A
2017-09-05T00:00:00-06:00,102.125 A
2017-09-06T00:00:00-06:00,103.88421052631578 A
2017-09-07T00:00:00-06:00,103.4421052631579 A
2017-09-08T00:00:00-06:00,99.41304347826087 A
2017-09-09T00:00:00-06:00,82.38541666666667 A
2017-09-10T00:00:00-06:00,82.21875 A
2017-09-11T00:00:00-06:00,108.67708333333333 A
2017-09-12T00:00:00-06:00,105.11458333333333 A
2017-09-13T00:00:00-06:00,101.11458333333333 A
2017-09-14T00:00:00-06:00,102.01041666666667 A
2017-09-15T00:00:00-06:00,105.875 A
2017-09-16T00:00:00-06:00,78.10416666666667 A
2017-09-17T00:00:00-06:00,77.3125 A
2017-09-18T00:00:00-06:00,104.40625 A
2017-09-19T00:00:00-06:00,109.44791666666667 A
2017-09-20T00:00:00-06:00,110.41666666666667 A
2017-09-21T00:00:00-06:00,103.54166666666667 A
2017-09-22T00:00:00-06:00,101.47916666666667 A
2017-09-23T00:00:00-06:00,81.75 A
2017-09-24T00:00:00-06:00,82.71875 A
2017-09-25T00:00:00-06:00,105.59375 A
2017-09-26T00:00:00-06:00,107.1875 A
2017-09-27T00:00:00-06:00,103.96875 A
2017-09-28T00:00:00-06:00,107.33333333333333 A
2017-09-29T00:00:00-06:00,94.52083333333333 A
2017-09-30T00:00:00-06:00,71.69791666666667 A
2017-10-01T00:00:00-06:00,70.375 A
2017-10-02T00:00:00-06:00,103.21875 A
2017-10-03T00:00:00-06:00,98.86458333333333 A
2017-10-04T00:00:00-06:00,96.35416666666667 A
2017-10-05T00:00:00-06:00,97.19791666666667 A
2017-10-06T00:00:00-06:00,93.8125 A
2017-10-07T00:00:00-06:00,76.625 A
2017-10-08T00:00:00-06:00,74.84375 A
2017-10-09T00:00:00-06:00,92.375 A
2017-10-10T00:00:00-06:00,85.78125 A
2017-10-11T00:00:00-06:00,89.46875 A
2017-10-12T00:00:00-06:00,93.85416666666667 A
2017-10-13T00:00:00-06:00,91.95833333333333 A
2017-10-14T00:00:00-06:00,77.77083333333333 A
2017-10-15T00:00:00-06:00,81.02083333333333 A
2017-10-16T00:00:00-06:00,102.48958333333333 A
2017-10-17T00:00:00-06:00,107.54166666666667 A
2017-10-18T00:00:00-06:00,109.4375 A
2017-10-19T00:00:00-06:00,106.17708333333333 A
2017-10-20T00:00:00-06:00,103.48958333333333 A
2017-10-21T00:00:00-06:00,76.45833333333333 A
2017-10-22T00:00:00-06:00,77.09375 A
2017-10-23T00:00:00-06:00,107.94791666666667 A
2017-10-24T00:00:00-06:00,110.20833333333333 A
2017-10-25T00:00:00-06:00,108.35416666666667 A
2017-10-26T00:00:00-06:00,111.10416666666667 A
2017-10-27T00:00:00-06:00,103.20833333333333 A
2017-10-28T00:00:00-06:00,79.30208333333333 A
2017-10-29T00:00:00-06:00,79.55208333333333 A
2017-10-30T00:00:00-06:00,116.09375 A
2017-10-31T00:00:00-06:00,102.44791666666667 A
2017-11-01T00:00:00-06:00,106.33333333333333 A
2017-11-02T00:00:00-06:00,111.47916666666667 A
2017-11-03T00:00:00-06:00,109.39583333333333 A
2017-11-04T00:00:00-06:00,92.53125 A
2017-11-05T00:00:00-06:00,90.04 A
