Timestamp,['1cac6e87-2be5c7ab 0011-BROWNING BLDG Power Meter 311945 Current C']
2017-10-22T00:00:00-06:00,134.44208442899915 A
2017-10-23T00:00:00-06:00,158.32514736387463 A
2017-10-24T00:00:00-06:00,164.85588039822048 A
2017-10-25T00:00:00-06:00,160.96453955438403 A
2017-10-26T00:00:00-06:00,178.27496066093445 A
2017-10-27T00:00:00-06:00,167.84157316949631 A
2017-10-28T00:00:00-06:00,138.62267586390178 A
2017-10-29T00:00:00-06:00,138.48278461032444 A
2017-10-30T00:00:00-06:00,170.5167830573188 A
2017-10-31T00:00:00-06:00,142.61377658843995 A
2017-11-01T00:00:00-06:00,144.08199756940206 A
2017-11-02T00:00:00-06:00,134.9642481750912 A
2017-11-03T00:00:00-06:00,156.36139266226027 A
2017-11-04T00:00:00-06:00,120.57190229297927 A
2017-11-05T00:00:00-06:00,121.63677091471354 A
2017-11-06T00:00:00-07:00,141.867806063758 A
2017-11-07T00:00:00-07:00,158.57849720848932 A
2017-11-08T00:00:00-07:00,155.85972912576463 A
2017-11-09T00:00:00-07:00,157.8799997382694 A
2017-11-10T00:00:00-07:00,148.32703838348388 A
2017-11-11T00:00:00-07:00,134.3948543601566 A
2017-11-12T00:00:00-07:00,136.99464033974542 A
2017-11-13T00:00:00-07:00,157.20178867975872 A
2017-11-14T00:00:00-07:00,148.90406093597412 A
2017-11-15T00:00:00-07:00,165.5828810373942 A
2017-11-16T00:00:00-07:00,157.3266779528724 A
2017-11-17T00:00:00-07:00,153.99875593185425 A
2017-11-18T00:00:00-07:00,140.09147089322408 A
2017-11-19T00:00:00-07:00,138.2599736849467 A
2017-11-20T00:00:00-07:00,161.95276897395956 A
2017-11-21T00:00:00-07:00,186.04332137754014 A
2017-11-22T00:00:00-07:00,164.00226850509642 A
2017-11-23T00:00:00-07:00,152.51072613398233 A
2017-11-24T00:00:00-07:00,138.51078692012362 A
2017-11-25T00:00:00-07:00,156.74965582364462 A
2017-11-26T00:00:00-07:00,152.02369524522985 A
2017-11-27T00:00:00-07:00,178.9909896479455 A
2017-11-28T00:00:00-07:00,183.27129272884792 A
2017-11-29T00:00:00-07:00,171.26523626645405 A
2017-11-30T00:00:00-07:00,164.42086171044244 A
2017-12-01T00:00:00-07:00,154.95016569156144 A
2017-12-02T00:00:00-07:00,122.54010198911031 A
2017-12-03T00:00:00-07:00,137.63195900456452 A
2017-12-04T00:00:00-07:00,161.593353828181 A
2017-12-05T00:00:00-07:00,167.44606359269883 A
2017-12-06T00:00:00-07:00,172.59434441990322 A
2017-12-07T00:00:00-07:00,163.07959444787767 A
2017-12-08T00:00:00-07:00,142.71886580255295 A
2017-12-09T00:00:00-07:00,128.37274060249328 A
2017-12-10T00:00:00-07:00,128.17890694936116 A
2017-12-11T00:00:00-07:00,139.5340766429901 A
2017-12-12T00:00:00-07:00,139.7580497959076 A
2017-12-13T00:00:00-07:00,124.84799871915243 A
2017-12-14T00:00:00-07:00,127.14334304067823 A
2017-12-15T00:00:00-07:00,125.39141057314684 A
2017-12-16T00:00:00-07:00,110.56483936309814 A
2017-12-17T00:00:00-07:00,108.7724323855506 A
2017-12-18T00:00:00-07:00,128.16247881984097 A
2017-12-19T00:00:00-07:00,138.29903264045714 A
2017-12-20T00:00:00-07:00,133.6587723626031 A
2017-12-21T00:00:00-07:00,135.34434566497802 A
2017-12-22T00:00:00-07:00,140.12475672298007 A
2017-12-23T00:00:00-07:00,118.04725759824117 A
2017-12-24T00:00:00-07:00,118.3079873667823 A
2017-12-25T00:00:00-07:00,117.07465390099419 A
2017-12-26T00:00:00-07:00,118.27785504129199 A
2017-12-27T00:00:00-07:00,123.64326835208469 A
2017-12-28T00:00:00-07:00,117.42180603875055 A
2017-12-29T00:00:00-07:00,120.2089769575331 A
2017-12-30T00:00:00-07:00,111.26446321275499 A
2017-12-31T00:00:00-07:00,110.28536665174695 A
