Timestamp,['1fa6235d-e06147c3 0003-GARDNER HALL Power Meter (300015) Current A']
2017-04-23T00:00:00-06:00,186.3064258893331 A
2017-04-24T00:00:00-06:00,206.516331354777 A
2017-04-25T00:00:00-06:00,198.99041001001993 A
2017-04-26T00:00:00-06:00,181.52160835266113 A
2017-04-27T00:00:00-06:00,197.1635012626648 A
2017-04-28T00:00:00-06:00,194.07180579503378 A
2017-04-29T00:00:00-06:00,189.02098639806113 A
2017-04-30T00:00:00-06:00,178.6375586191813 A
2017-05-01T00:00:00-06:00,199.42735242843628 A
2017-05-02T00:00:00-06:00,199.78620608647665 A
2017-05-03T00:00:00-06:00,187.24195194244385 A
2017-05-04T00:00:00-06:00,188.21158695220947 A
2017-05-05T00:00:00-06:00,186.90892505645752 A
2017-05-06T00:00:00-06:00,178.8995254834493 A
2017-05-07T00:00:00-06:00,160.96711794535318 A
2017-05-08T00:00:00-06:00,188.45631710688272 A
2017-05-09T00:00:00-06:00,177.87141625086466 A
2017-05-10T00:00:00-06:00,175.75596618652344 A
2017-05-11T00:00:00-06:00,173.41422414779663 A
2017-05-12T00:00:00-06:00,194.9439811706543 A
2017-05-13T00:00:00-06:00,187.7888960838318 A
2017-05-14T00:00:00-06:00,149.0556904474894 A
2017-05-15T00:00:00-06:00,166.09059317906699 A
2017-05-16T00:00:00-06:00,170.55478811264038 A
2017-05-17T00:00:00-06:00,170.1541290283203 A
2017-05-18T00:00:00-06:00,180.1447984377543 A
2017-05-19T00:00:00-06:00,183.15727424621582 A
2017-05-20T00:00:00-06:00,172.06315167744955 A
2017-05-21T00:00:00-06:00,166.35720205307007 A
2017-05-22T00:00:00-06:00,172.5808695157369 A
2017-05-23T00:00:00-06:00,178.7987642288208 A
2017-05-24T00:00:00-06:00,188.12728579839072 A
2017-05-25T00:00:00-06:00,189.2711059252421 A
2017-05-26T00:00:00-06:00,174.5071760813395 A
2017-05-27T00:00:00-06:00,158.97387504577637 A
2017-05-28T00:00:00-06:00,154.73845052719116 A
2017-05-29T00:00:00-06:00,147.71977694829306 A
2017-05-30T00:00:00-06:00,174.88816022872925 A
2017-05-31T00:00:00-06:00,171.2691232363383 A
2017-06-01T00:00:00-06:00,171.58413426081339 A
2017-06-02T00:00:00-06:00,179.1178321838379 A
2017-06-03T00:00:00-06:00,177.75264310836792 A
