Timestamp,['1cc971fe-145d2faf 0051-STERLING SILL CNTR Power Meter Current B']
2017-09-24T00:00:00-06:00,53.76354165871938 A
2017-09-25T00:00:00-06:00,59.21770830949148 A
2017-09-26T00:00:00-06:00,61.207291642824806 A
2017-09-27T00:00:00-06:00,65.503124833107 A
2017-09-28T00:00:00-06:00,67.78854139645894 A
2017-09-29T00:00:00-06:00,62.686458230018616 A
2017-09-30T00:00:00-06:00,61.641666531562805 A
2017-10-01T00:00:00-06:00,57.25000031789144 A
2017-10-02T00:00:00-06:00,65.88958330949147 A
2017-10-03T00:00:00-06:00,63.454166531562805 A
2017-10-04T00:00:00-06:00,65.52187490463257 A
2017-10-05T00:00:00-06:00,61.83020838101705 A
2017-10-06T00:00:00-06:00,62.079166769981384 A
2017-10-07T00:00:00-06:00,54.83333341280619 A
2017-10-08T00:00:00-06:00,56.03749990463257 A
2017-10-09T00:00:00-06:00,59.059374968210854 A
2017-10-10T00:00:00-06:00,58.286458253860474 A
2017-10-11T00:00:00-06:00,61.17291669050852 A
2017-10-12T00:00:00-06:00,59.20000008742014 A
2017-10-13T00:00:00-06:00,60.119791547457375 A
2017-10-14T00:00:00-06:00,54.012499888738 A
2017-10-15T00:00:00-06:00,52.99270828564962 A
2017-10-16T00:00:00-06:00,59.63229127724966 A
2017-10-17T00:00:00-06:00,65.93541653951009 A
2017-10-18T00:00:00-06:00,67.98854168256123 A
2017-10-19T00:00:00-06:00,61.784375071525574 A
2017-10-20T00:00:00-06:00,65.57916657129924 A
2017-10-21T00:00:00-06:00,48.06770827372869 A
2017-10-22T00:00:00-06:00,52.30416679382324 A
2017-10-23T00:00:00-06:00,63.914583484331764 A
2017-10-24T00:00:00-06:00,61.40937475363413 A
2017-10-25T00:00:00-06:00,62.71145820617676 A
2017-10-26T00:00:00-06:00,61.862499952316284 A
2017-10-27T00:00:00-06:00,64.03125023841858 A
2017-10-28T00:00:00-06:00,57.88229167461395 A
2017-10-29T00:00:00-06:00,58.066666762034096 A
2017-10-30T00:00:00-06:00,65.60312497615814 A
2017-10-31T00:00:00-06:00,53.317708253860474 A
2017-11-01T00:00:00-06:00,49.190624833106995 A
2017-11-02T00:00:00-06:00,49.51562511920929 A
2017-11-03T00:00:00-06:00,47.901041527589165 A
2017-11-04T00:00:00-06:00,32.66562497615814 A
2017-11-05T00:00:00-06:00,30.96199996948242 A
2017-11-06T00:00:00-07:00,48.210416873296104 A
2017-11-07T00:00:00-07:00,53.9708331823349 A
2017-11-08T00:00:00-07:00,49.64270850022634 A
2017-11-09T00:00:00-07:00,48.06041673819224 A
2017-11-10T00:00:00-07:00,50.44895827770233 A
2017-11-11T00:00:00-07:00,31.176041732231777 A
2017-11-12T00:00:00-07:00,33.433333377043404 A
2017-11-13T00:00:00-07:00,48.42708319425583 A
2017-11-14T00:00:00-07:00,52.044791519641876 A
2017-11-15T00:00:00-07:00,52.19791632890701 A
2017-11-16T00:00:00-07:00,57.96979131301244 A
2017-11-17T00:00:00-07:00,50.78958316644033 A
2017-11-18T00:00:00-07:00,30.82916675011317 A
2017-11-19T00:00:00-07:00,29.88229175408681 A
2017-11-20T00:00:00-07:00,50.178124845027924 A
2017-11-21T00:00:00-07:00,50.59166665871938 A
2017-11-22T00:00:00-07:00,45.568750182787575 A
2017-11-23T00:00:00-07:00,43.59270836909612 A
2017-11-24T00:00:00-07:00,42.69270839293798 A
2017-11-25T00:00:00-07:00,33.8572918176651 A
2017-11-26T00:00:00-07:00,35.39270838101705 A
2017-11-27T00:00:00-07:00,51.5447918176651 A
2017-11-28T00:00:00-07:00,43.277083337306976 A
2017-11-29T00:00:00-07:00,44.306250075499214 A
2017-11-30T00:00:00-07:00,44.607291519641876 A
2017-12-01T00:00:00-07:00,44.15104172627131 A
2017-12-02T00:00:00-07:00,32.25208338101705 A
2017-12-03T00:00:00-07:00,34.97708342472712 A
2017-12-04T00:00:00-07:00,55.23437513907751 A
2017-12-05T00:00:00-07:00,52.03437489271164 A
2017-12-06T00:00:00-07:00,47.31562513113022 A
2017-12-07T00:00:00-07:00,45.19687521457672 A
2017-12-08T00:00:00-07:00,43.49062490463257 A
2017-12-09T00:00:00-07:00,29.55520846446355 A
2017-12-10T00:00:00-07:00,29.362499912579853 A
2017-12-11T00:00:00-07:00,48.46666646003723 A
2017-12-12T00:00:00-07:00,49.068750063578285 A
2017-12-13T00:00:00-07:00,48.80625001589457 A
2017-12-14T00:00:00-07:00,49.1229168176651 A
2017-12-15T00:00:00-07:00,45.57604157924652 A
2017-12-16T00:00:00-07:00,29.46874992052714 A
2017-12-17T00:00:00-07:00,26.39791653553645 A
2017-12-18T00:00:00-07:00,45.439785024171236 A
2017-12-19T00:00:00-07:00,45.20208317041397 A
2017-12-20T00:00:00-07:00,49.77916657924652 A
2017-12-21T00:00:00-07:00,42.65104160706202 A
2017-12-22T00:00:00-07:00,39.65625007947286 A
2017-12-23T00:00:00-07:00,30.08854168653488 A
2017-12-24T00:00:00-07:00,36.89687502384186 A
2017-12-25T00:00:00-07:00,39.076041638851166 A
2017-12-26T00:00:00-07:00,31.782291789849598 A
2017-12-27T00:00:00-07:00,38.34375007947286 A
2017-12-28T00:00:00-07:00,39.304166773955025 A
2017-12-29T00:00:00-07:00,33.115625063578285 A
2017-12-30T00:00:00-07:00,29.878125091393787 A
2017-12-31T00:00:00-07:00,24.814583381017048 A
