Timestamp,['1ed6298b-4c920d9d 0012-SUTTON BLDG POWER METER 208V (316602) Current B']
2017-09-10T00:00:00-06:00,126.11458333333333 A
2017-09-11T00:00:00-06:00,144.33333333333334 A
2017-09-12T00:00:00-06:00,146.80208333333334 A
2017-09-13T00:00:00-06:00,147.27083333333334 A
2017-09-14T00:00:00-06:00,149.8125 A
2017-09-15T00:00:00-06:00,142.14583333333334 A
2017-09-16T00:00:00-06:00,121.97916666666667 A
2017-09-17T00:00:00-06:00,120.23958333333333 A
2017-09-18T00:00:00-06:00,138.875 A
2017-09-19T00:00:00-06:00,147.125 A
2017-09-20T00:00:00-06:00,151.625 A
2017-09-21T00:00:00-06:00,135.52083333333334 A
2017-09-22T00:00:00-06:00,140.72916666666666 A
2017-09-23T00:00:00-06:00,126.47916666666667 A
2017-09-24T00:00:00-06:00,123.36458333333333 A
2017-09-25T00:00:00-06:00,139.01041666666666 A
2017-09-26T00:00:00-06:00,149.41666666666666 A
2017-09-27T00:00:00-06:00,149.89583333333334 A
2017-09-28T00:00:00-06:00,139.17708333333334 A
2017-09-29T00:00:00-06:00,133.88541666666666 A
2017-09-30T00:00:00-06:00,103.52083333333333 A
2017-10-01T00:00:00-06:00,102.94791666666667 A
2017-10-02T00:00:00-06:00,115.38947368421053 A
2017-10-03T00:00:00-06:00,125.375 A
2017-10-04T00:00:00-06:00,127.03125 A
2017-10-05T00:00:00-06:00,121.0625 A
2017-10-06T00:00:00-06:00,112.23958333333333 A
2017-10-07T00:00:00-06:00,101.54166666666667 A
2017-10-08T00:00:00-06:00,102.55208333333333 A
2017-10-09T00:00:00-06:00,110.71875 A
2017-10-10T00:00:00-06:00,114.73958333333333 A
2017-10-11T00:00:00-06:00,122.94791666666667 A
2017-10-12T00:00:00-06:00,126.48958333333333 A
2017-10-13T00:00:00-06:00,111.46875 A
2017-10-14T00:00:00-06:00,103.89583333333333 A
2017-10-15T00:00:00-06:00,103.9375 A
2017-10-16T00:00:00-06:00,115.04166666666667 A
2017-10-17T00:00:00-06:00,134.75 A
