Timestamp,"['1fa24757-6c41502c 0002-VOICE & OPERA CNTR Power Meter (301411) Watts, 3-Ph total']"
2017-06-16T00:00:00-06:00,5.586901664733887 kW
2017-06-17T00:00:00-06:00,4.6495537757873535 kW
2017-06-18T00:00:00-06:00,4.582170009613037 kW
2017-06-19T00:00:00-06:00,5.359866142272949 kW
2017-06-20T00:00:00-06:00,8.464804649353027 kW
2017-06-21T00:00:00-06:00,6.0965657234191895 kW
2017-06-22T00:00:00-06:00,5.4690093994140625 kW
2017-06-23T00:00:00-06:00,9.149707794189453 kW
2017-06-24T00:00:00-06:00,5.511180400848389 kW
2017-06-25T00:00:00-06:00,10.067534446716309 kW
2017-06-26T00:00:00-06:00,6.175097942352295 kW
2017-06-27T00:00:00-06:00,5.514383316040039 kW
2017-06-28T00:00:00-06:00,5.565575122833252 kW
2017-06-29T00:00:00-06:00,5.327779769897461 kW
2017-06-30T00:00:00-06:00,5.664541721343994 kW
2017-07-01T00:00:00-06:00,9.435491561889648 kW
2017-07-02T00:00:00-06:00,5.443317413330078 kW
2017-07-03T00:00:00-06:00,5.744038105010986 kW
2017-07-04T00:00:00-06:00,6.108992576599121 kW
2017-07-05T00:00:00-06:00,9.471796989440918 kW
2017-07-06T00:00:00-06:00,5.795064926147461 kW
2017-07-07T00:00:00-06:00,6.4469523429870605 kW
2017-07-08T00:00:00-06:00,5.970641136169434 kW
2017-07-09T00:00:00-06:00,9.993646621704102 kW
2017-07-10T00:00:00-06:00,9.564984321594238 kW
2017-07-11T00:00:00-06:00,9.414436340332031 kW
2017-07-12T00:00:00-06:00,6.441305637359619 kW
2017-07-13T00:00:00-06:00,9.86446762084961 kW
2017-07-14T00:00:00-06:00,5.625083923339844 kW
2017-07-15T00:00:00-06:00,5.606172561645508 kW
2017-07-16T00:00:00-06:00,5.753686904907227 kW
2017-07-17T00:00:00-06:00,6.172553062438965 kW
2017-07-18T00:00:00-06:00,6.182523250579834 kW
2017-07-19T00:00:00-06:00,9.965462684631348 kW
2017-07-20T00:00:00-06:00,9.419027328491211 kW
2017-07-21T00:00:00-06:00,10.716504096984863 kW
2017-07-22T00:00:00-06:00,6.7353515625 kW
2017-07-23T00:00:00-06:00,5.641064643859863 kW
2017-07-24T00:00:00-06:00,9.814069747924805 kW
2017-07-25T00:00:00-06:00,5.464395999908447 kW
2017-07-26T00:00:00-06:00,5.351256370544434 kW
2017-07-27T00:00:00-06:00,5.277962684631348 kW
2017-07-28T00:00:00-06:00,5.510912895202637 kW
2017-07-29T00:00:00-06:00,5.113234996795654 kW
2017-07-30T00:00:00-06:00,5.388156890869141 kW
2017-07-31T00:00:00-06:00,5.558972358703613 kW
2017-08-01T00:00:00-06:00,6.139013767242432 kW
2017-08-02T00:00:00-06:00,6.193605422973633 kW
2017-08-03T00:00:00-06:00,12.95638370513916 kW
2017-08-04T00:00:00-06:00,12.66921329498291 kW
2017-08-05T00:00:00-06:00,9.56236743927002 kW
2017-08-06T00:00:00-06:00,11.720966339111328 kW
2017-08-07T00:00:00-06:00,11.976210594177246 kW
2017-08-08T00:00:00-06:00,11.567798614501953 kW
