Timestamp,['1fd1b0ac-bc81afd9 0082-SKAGGS BIOLOGY BLDG Power Meter kW demand']
2017-08-15T00:00:00-06:00,768 kW
2017-08-16T00:00:00-06:00,744 kW
2017-08-17T00:00:00-06:00,741 kW
2017-08-18T00:00:00-06:00,793 kW
2017-08-19T00:00:00-06:00,735 kW
2017-08-20T00:00:00-06:00,703 kW
2017-08-21T00:00:00-06:00,749 kW
2017-08-22T00:00:00-06:00,786 kW
2017-08-23T00:00:00-06:00,795 kW
2017-08-24T00:00:00-06:00,777 kW
2017-08-25T00:00:00-06:00,765 kW
2017-08-26T00:00:00-06:00,675 kW
2017-08-27T00:00:00-06:00,689 kW
2017-08-28T00:00:00-06:00,772 kW
2017-08-29T00:00:00-06:00,817 kW
2017-08-30T00:00:00-06:00,815 kW
2017-08-31T00:00:00-06:00,829 kW
2017-09-01T00:00:00-06:00,816 kW
2017-09-02T00:00:00-06:00,702 kW
2017-09-03T00:00:00-06:00,666 kW
2017-09-04T00:00:00-06:00,666 kW
2017-09-05T00:00:00-06:00,764 kW
2017-09-06T00:00:00-06:00,842 kW
2017-09-07T00:00:00-06:00,793 kW
2017-09-08T00:00:00-06:00,836 kW
2017-09-09T00:00:00-06:00,685 kW
2017-09-10T00:00:00-06:00,687 kW
2017-09-11T00:00:00-06:00,846 kW
2017-09-12T00:00:00-06:00,811 kW
2017-09-13T00:00:00-06:00,809 kW
2017-09-14T00:00:00-06:00,804 kW
2017-09-15T00:00:00-06:00,596 kW
2017-09-16T00:00:00-06:00,455 kW
2017-09-17T00:00:00-06:00,620 kW
2017-09-18T00:00:00-06:00,782 kW
2017-09-19T00:00:00-06:00,594 kW
2017-09-20T00:00:00-06:00,783 kW
2017-09-21T00:00:00-06:00,564 kW
2017-09-22T00:00:00-06:00,543 kW
2017-09-23T00:00:00-06:00,418 kW
2017-09-24T00:00:00-06:00,393 kW
2017-09-25T00:00:00-06:00,560 kW
2017-09-26T00:00:00-06:00,551 kW
2017-09-27T00:00:00-06:00,678 kW
2017-09-28T00:00:00-06:00,647 kW
2017-09-29T00:00:00-06:00,650 kW
2017-09-30T00:00:00-06:00,508 kW
2017-10-01T00:00:00-06:00,427 kW
2017-10-02T00:00:00-06:00,525 kW
2017-10-03T00:00:00-06:00,549 kW
2017-10-04T00:00:00-06:00,543 kW
2017-10-05T00:00:00-06:00,552 kW
2017-10-06T00:00:00-06:00,535 kW
2017-10-07T00:00:00-06:00,599 kW
2017-10-08T00:00:00-06:00,493 kW
2017-10-09T00:00:00-06:00,497 kW
2017-10-10T00:00:00-06:00,531 kW
2017-10-11T00:00:00-06:00,684 kW
2017-10-12T00:00:00-06:00,541 kW
2017-10-13T00:00:00-06:00,554 kW
2017-10-14T00:00:00-06:00,398 kW
2017-10-15T00:00:00-06:00,461 kW
2017-10-16T00:00:00-06:00,571 kW
2017-10-17T00:00:00-06:00,688 kW
2017-10-18T00:00:00-06:00,767 kW
2017-10-19T00:00:00-06:00,790 kW
2017-10-20T00:00:00-06:00,709 kW
2017-10-21T00:00:00-06:00,449 kW
2017-10-22T00:00:00-06:00,530 kW
2017-10-23T00:00:00-06:00,553 kW
2017-10-24T00:00:00-06:00,583 kW
2017-10-25T00:00:00-06:00,615 kW
2017-10-26T00:00:00-06:00,561 kW
2017-10-27T00:00:00-06:00,583 kW
2017-10-28T00:00:00-06:00,496 kW
2017-10-29T00:00:00-06:00,620 kW
2017-10-30T00:00:00-06:00,572 kW
2017-10-31T00:00:00-06:00,542 kW
2017-11-01T00:00:00-06:00,607 kW
2017-11-02T00:00:00-06:00,700 kW
2017-11-03T00:00:00-06:00,621 kW
2017-11-04T00:00:00-06:00,458 kW
2017-11-05T00:00:00-06:00,450 kW
2017-11-06T00:00:00-07:00,497 kW
2017-11-07T00:00:00-07:00,505 kW
2017-11-08T00:00:00-07:00,526 kW
2017-11-09T00:00:00-07:00,584 kW
2017-11-10T00:00:00-07:00,501 kW
2017-11-11T00:00:00-07:00,468 kW
2017-11-12T00:00:00-07:00,511 kW
2017-11-13T00:00:00-07:00,581 kW
2017-11-14T00:00:00-07:00,562 kW
2017-11-15T00:00:00-07:00,519 kW
2017-11-16T00:00:00-07:00,538 kW
2017-11-17T00:00:00-07:00,504 kW
2017-11-18T00:00:00-07:00,433 kW
2017-11-19T00:00:00-07:00,430 kW
2017-11-20T00:00:00-07:00,518 kW
2017-11-21T00:00:00-07:00,570 kW
2017-11-22T00:00:00-07:00,718 kW
2017-11-23T00:00:00-07:00,605 kW
2017-11-24T00:00:00-07:00,555 kW
2017-11-25T00:00:00-07:00,473 kW
2017-11-26T00:00:00-07:00,543 kW
2017-11-27T00:00:00-07:00,645 kW
2017-11-28T00:00:00-07:00,531 kW
2017-11-29T00:00:00-07:00,550 kW
2017-11-30T00:00:00-07:00,496 kW
2017-12-01T00:00:00-07:00,486 kW
2017-12-02T00:00:00-07:00,462 kW
2017-12-03T00:00:00-07:00,469 kW
2017-12-04T00:00:00-07:00,514 kW
2017-12-05T00:00:00-07:00,497 kW
2017-12-06T00:00:00-07:00,502 kW
2017-12-07T00:00:00-07:00,494 kW
2017-12-08T00:00:00-07:00,491 kW
2017-12-09T00:00:00-07:00,438 kW
2017-12-10T00:00:00-07:00,440 kW
2017-12-11T00:00:00-07:00,508 kW
2017-12-12T00:00:00-07:00,524 kW
2017-12-13T00:00:00-07:00,500 kW
2017-12-14T00:00:00-07:00,497 kW
2017-12-15T00:00:00-07:00,536 kW
2017-12-16T00:00:00-07:00,412 kW
2017-12-17T00:00:00-07:00,408 kW
2017-12-18T00:00:00-07:00,502 kW
2017-12-19T00:00:00-07:00,499 kW
2017-12-20T00:00:00-07:00,548 kW
