Timestamp,['1ef467d0-803ebcfc 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 Current B']
2017-06-20T00:00:00-06:00,69.28258820374806 A
2017-06-21T00:00:00-06:00,83.28045852979024 A
2017-06-22T00:00:00-06:00,65.3215715487798 A
2017-06-23T00:00:00-06:00,72.96523972352345 A
2017-06-24T00:00:00-06:00,53.58531475067139 A
2017-06-25T00:00:00-06:00,56.09728185335795 A
2017-06-26T00:00:00-06:00,71.08702147006989 A
2017-06-27T00:00:00-06:00,65.27331205209096 A
2017-06-28T00:00:00-06:00,69.57373817761739 A
2017-06-29T00:00:00-06:00,65.34747576713562 A
2017-06-30T00:00:00-06:00,63.80879064400991 A
2017-07-01T00:00:00-06:00,48.79997964700063 A
2017-07-02T00:00:00-06:00,54.13677934805552 A
2017-07-03T00:00:00-06:00,63.14701581001282 A
2017-07-04T00:00:00-06:00,51.406912644704185 A
2017-07-05T00:00:00-06:00,65.88622574011485 A
2017-07-06T00:00:00-06:00,67.55029658476512 A
2017-07-07T00:00:00-06:00,63.83771630128225 A
2017-07-08T00:00:00-06:00,57.05585626761118 A
2017-07-09T00:00:00-06:00,59.52857120831808 A
2017-07-10T00:00:00-06:00,73.28670108318329 A
2017-07-11T00:00:00-06:00,68.43658975760142 A
2017-07-12T00:00:00-06:00,73.85610663890839 A
2017-07-13T00:00:00-06:00,68.76545683542888 A
2017-07-14T00:00:00-06:00,66.52818810939789 A
2017-07-15T00:00:00-06:00,54.22621397177378 A
2017-07-16T00:00:00-06:00,56.07286278406779 A
2017-07-17T00:00:00-06:00,73.33981466293335 A
2017-07-18T00:00:00-06:00,70.27256298065186 A
2017-07-19T00:00:00-06:00,74.03049925963084 A
2017-07-20T00:00:00-06:00,69.77787204583485 A
2017-07-21T00:00:00-06:00,60.2886088291804 A
2017-07-22T00:00:00-06:00,51.319005052248635 A
2017-07-23T00:00:00-06:00,51.780632654825844 A
2017-07-24T00:00:00-06:00,54.848761439323425 A
2017-07-25T00:00:00-06:00,64.14919968446095 A
2017-07-26T00:00:00-06:00,70.01709485054016 A
2017-07-27T00:00:00-06:00,73.39744035402934 A
2017-07-28T00:00:00-06:00,61.82823328177134 A
2017-07-29T00:00:00-06:00,45.767410477002464 A
2017-07-30T00:00:00-06:00,51.89135630925497 A
2017-07-31T00:00:00-06:00,65.10022644201915 A
2017-08-01T00:00:00-06:00,65.07640898227692 A
2017-08-02T00:00:00-06:00,66.28166838486989 A
2017-08-03T00:00:00-06:00,61.073455015818276 A
2017-08-04T00:00:00-06:00,76.52539469121577 A
2017-08-05T00:00:00-06:00,52.87658643722534 A
2017-08-06T00:00:00-06:00,56.55554600556692 A
2017-08-07T00:00:00-06:00,67.81379663944244 A
2017-08-08T00:00:00-06:00,65.03240311145782 A
2017-08-09T00:00:00-06:00,63.37169830004374 A
2017-08-10T00:00:00-06:00,57.42000689405076 A
2017-08-11T00:00:00-06:00,72.64505950609843 A
2017-08-12T00:00:00-06:00,50.790815114974976 A
2017-08-13T00:00:00-06:00,54.508538126945496 A
2017-08-14T00:00:00-06:00,72.42195276419322 A
2017-08-15T00:00:00-06:00,63.18880716959635 A
2017-08-16T00:00:00-06:00,67.70516188939412 A
2017-08-17T00:00:00-06:00,67.99926201502483 A
2017-08-18T00:00:00-06:00,64.45604352156322 A
2017-08-19T00:00:00-06:00,46.93106265862783 A
