Timestamp,['1cdb9c50-68bcc28f 0086-MARRIOTT LIBRARY Power Meter 2 KWH Received']
2017-08-17T00:00:00-06:00,6588 kWh
2017-08-18T00:00:00-06:00,7098 kWh
2017-08-19T00:00:00-06:00,6588 kWh
2017-08-20T00:00:00-06:00,5242 kWh
2017-08-21T00:00:00-06:00,7492 kWh
2017-08-22T00:00:00-06:00,7842 kWh
2017-08-23T00:00:00-06:00,7904 kWh
2017-08-24T00:00:00-06:00,7708 kWh
2017-08-25T00:00:00-06:00,7038 kWh
2017-08-26T00:00:00-06:00,5842 kWh
2017-08-27T00:00:00-06:00,5980 kWh
2017-08-28T00:00:00-06:00,7992 kWh
2017-08-29T00:00:00-06:00,7620 kWh
2017-08-30T00:00:00-06:00,7830 kWh
2017-08-31T00:00:00-06:00,8162 kWh
2017-09-01T00:00:00-06:00,7220 kWh
2017-09-02T00:00:00-06:00,5980 kWh
2017-09-03T00:00:00-06:00,5474 kWh
2017-09-04T00:00:00-06:00,4344 kWh
2017-09-05T00:00:00-06:00,7554 kWh
2017-09-06T00:00:00-06:00,7764 kWh
2017-09-07T00:00:00-06:00,7900 kWh
2017-09-08T00:00:00-06:00,7216 kWh
2017-09-09T00:00:00-06:00,6096 kWh
2017-09-10T00:00:00-06:00,6076 kWh
2017-09-11T00:00:00-06:00,7912 kWh
2017-09-12T00:00:00-06:00,7946 kWh
2017-09-13T00:00:00-06:00,7758 kWh
2017-09-14T00:00:00-06:00,7756 kWh
2017-09-15T00:00:00-06:00,7128 kWh
2017-09-16T00:00:00-06:00,6134 kWh
2017-09-17T00:00:00-06:00,6146 kWh
2017-09-18T00:00:00-06:00,7892 kWh
2017-09-19T00:00:00-06:00,7786 kWh
2017-09-20T00:00:00-06:00,7678 kWh
2017-09-21T00:00:00-06:00,7760 kWh
2017-09-22T00:00:00-06:00,7124 kWh
2017-09-23T00:00:00-06:00,6248 kWh
2017-09-24T00:00:00-06:00,6278 kWh
2017-09-25T00:00:00-06:00,7858 kWh
2017-09-26T00:00:00-06:00,7916 kWh
2017-09-27T00:00:00-06:00,7914 kWh
2017-09-28T00:00:00-06:00,7884 kWh
2017-09-29T00:00:00-06:00,7266 kWh
