Timestamp,['1cbae83c-b206e0a0 0038-ART BLDG Power Meter 300086 KWH Received']
2017-06-04T00:00:00-06:00,473.78125 kWh
2017-06-05T00:00:00-06:00,543.734375 kWh
2017-06-06T00:00:00-06:00,705.421875 kWh
2017-06-07T00:00:00-06:00,665.0625 kWh
2017-06-08T00:00:00-06:00,648.765625 kWh
2017-06-09T00:00:00-06:00,643.5 kWh
2017-06-10T00:00:00-06:00,538.015625 kWh
2017-06-11T00:00:00-06:00,414.140625 kWh
2017-06-12T00:00:00-06:00,584.8125 kWh
2017-06-13T00:00:00-06:00,584.546875 kWh
2017-06-14T00:00:00-06:00,532.515625 kWh
2017-06-15T00:00:00-06:00,556.078125 kWh
2017-06-16T00:00:00-06:00,525.140625 kWh
2017-06-17T00:00:00-06:00,552.4375 kWh
2017-06-18T00:00:00-06:00,584.5 kWh
2017-06-19T00:00:00-06:00,548.25 kWh
2017-06-20T00:00:00-06:00,631.203125 kWh
2017-06-21T00:00:00-06:00,571.265625 kWh
2017-06-22T00:00:00-06:00,564.8125 kWh
2017-06-23T00:00:00-06:00,874.78125 kWh
2017-06-24T00:00:00-06:00,459.84375 kWh
2017-06-25T00:00:00-06:00,475.484375 kWh
2017-06-26T00:00:00-06:00,546.640625 kWh
2017-06-27T00:00:00-06:00,602.734375 kWh
2017-06-28T00:00:00-06:00,782.515625 kWh
2017-06-29T00:00:00-06:00,803.828125 kWh
2017-06-30T00:00:00-06:00,524.109375 kWh
2017-07-01T00:00:00-06:00,390.984375 kWh
2017-07-02T00:00:00-06:00,421.546875 kWh
2017-07-03T00:00:00-06:00,508.5 kWh
2017-07-04T00:00:00-06:00,504.109375 kWh
2017-07-05T00:00:00-06:00,599.703125 kWh
2017-07-06T00:00:00-06:00,581.984375 kWh
2017-07-07T00:00:00-06:00,693.515625 kWh
2017-07-08T00:00:00-06:00,495.765625 kWh
2017-07-09T00:00:00-06:00,596.75 kWh
2017-07-10T00:00:00-06:00,648.015625 kWh
2017-07-11T00:00:00-06:00,696.09375 kWh
2017-07-12T00:00:00-06:00,580.453125 kWh
2017-07-13T00:00:00-06:00,739.40625 kWh
2017-07-14T00:00:00-06:00,722.0625 kWh
2017-07-15T00:00:00-06:00,477.75 kWh
2017-07-16T00:00:00-06:00,478.859375 kWh
2017-07-17T00:00:00-06:00,602.25 kWh
2017-07-18T00:00:00-06:00,573.03125 kWh
2017-07-19T00:00:00-06:00,607.578125 kWh
2017-07-20T00:00:00-06:00,561.359375 kWh
2017-07-21T00:00:00-06:00,523 kWh
2017-07-22T00:00:00-06:00,452.03125 kWh
2017-07-23T00:00:00-06:00,530.1875 kWh
2017-07-24T00:00:00-06:00,535.15625 kWh
2017-07-25T00:00:00-06:00,525.625 kWh
2017-07-26T00:00:00-06:00,718.421875 kWh
2017-07-27T00:00:00-06:00,609.796875 kWh
2017-07-28T00:00:00-06:00,701.03125 kWh
2017-07-29T00:00:00-06:00,628.671875 kWh
2017-07-30T00:00:00-06:00,641.078125 kWh
2017-07-31T00:00:00-06:00,576.53125 kWh
2017-08-01T00:00:00-06:00,559.265625 kWh
2017-08-02T00:00:00-06:00,498.25 kWh
2017-08-03T00:00:00-06:00,498.984375 kWh
2017-08-04T00:00:00-06:00,591.453125 kWh
2017-08-05T00:00:00-06:00,437.875 kWh
2017-08-06T00:00:00-06:00,491.625 kWh
2017-08-07T00:00:00-06:00,494.703125 kWh
2017-08-08T00:00:00-06:00,508.796875 kWh
2017-08-09T00:00:00-06:00,512.90625 kWh
2017-08-10T00:00:00-06:00,526.203125 kWh
2017-08-11T00:00:00-06:00,561.9375 kWh
2017-08-12T00:00:00-06:00,476.59375 kWh
2017-08-13T00:00:00-06:00,442.640625 kWh
