Timestamp,"['1e6891be-df586fea 0004-KINGSBURY HALL Power Meter 1 (301210) W-hours, Received']"
2017-06-23T00:00:00-06:00,7555.78125 kWh
2017-06-24T00:00:00-06:00,7393 kWh
2017-06-25T00:00:00-06:00,7253.05859375 kWh
2017-06-26T00:00:00-06:00,7514.3203125 kWh
2017-06-27T00:00:00-06:00,7515.546875 kWh
2017-06-28T00:00:00-06:00,7485.6015625 kWh
2017-06-29T00:00:00-06:00,7569.2421875 kWh
2017-06-30T00:00:00-06:00,7795.1015625 kWh
2017-07-01T00:00:00-06:00,7147.7109375 kWh
2017-07-02T00:00:00-06:00,7866.25 kWh
2017-07-03T00:00:00-06:00,8173.5390625 kWh
2017-07-04T00:00:00-06:00,7992.6484375 kWh
2017-07-05T00:00:00-06:00,8087.96875 kWh
2017-07-06T00:00:00-06:00,8279.3125 kWh
2017-07-07T00:00:00-06:00,8386.75 kWh
2017-07-08T00:00:00-06:00,8360.734375 kWh
2017-07-09T00:00:00-06:00,8175 kWh
2017-07-10T00:00:00-06:00,8296.578125 kWh
2017-07-11T00:00:00-06:00,8014.9375 kWh
2017-07-12T00:00:00-06:00,7924.953125 kWh
2017-07-13T00:00:00-06:00,7635.078125 kWh
2017-07-14T00:00:00-06:00,7601.15625 kWh
2017-07-15T00:00:00-06:00,7783.15625 kWh
2017-07-16T00:00:00-06:00,7487.5625 kWh
2017-07-17T00:00:00-06:00,7831.4375 kWh
2017-07-18T00:00:00-06:00,7821.765625 kWh
2017-07-19T00:00:00-06:00,7753.59375 kWh
2017-07-20T00:00:00-06:00,7837.078125 kWh
2017-07-21T00:00:00-06:00,7500.5625 kWh
2017-07-22T00:00:00-06:00,7770.0625 kWh
2017-07-23T00:00:00-06:00,7408.78125 kWh
2017-07-24T00:00:00-06:00,7539 kWh
2017-07-25T00:00:00-06:00,7825.78125 kWh
2017-07-26T00:00:00-06:00,8018.625 kWh
2017-07-27T00:00:00-06:00,7681 kWh
2017-07-28T00:00:00-06:00,7656.59375 kWh
2017-07-29T00:00:00-06:00,7478.90625 kWh
2017-07-30T00:00:00-06:00,7313.40625 kWh
2017-07-31T00:00:00-06:00,7672.125 kWh
2017-08-01T00:00:00-06:00,7676 kWh
2017-08-02T00:00:00-06:00,7679.90625 kWh
2017-08-03T00:00:00-06:00,7684.0625 kWh
2017-08-04T00:00:00-06:00,7667.375 kWh
2017-08-05T00:00:00-06:00,7699.53125 kWh
2017-08-06T00:00:00-06:00,7001.96875 kWh
2017-08-07T00:00:00-06:00,7604.84375 kWh
2017-08-08T00:00:00-06:00,7504.90625 kWh
2017-08-09T00:00:00-06:00,7457.21875 kWh
2017-08-10T00:00:00-06:00,7447.3125 kWh
2017-08-11T00:00:00-06:00,7446.125 kWh
2017-08-12T00:00:00-06:00,7344.59375 kWh
2017-08-13T00:00:00-06:00,7288.28125 kWh
2017-08-14T00:00:00-06:00,7517.8125 kWh
2017-08-15T00:00:00-06:00,7218.8125 kWh
2017-08-16T00:00:00-06:00,7128 kWh
2017-08-17T00:00:00-06:00,7444.8125 kWh
2017-08-18T00:00:00-06:00,7498.0625 kWh
2017-08-19T00:00:00-06:00,7545.15625 kWh
2017-08-20T00:00:00-06:00,7267.90625 kWh
2017-08-21T00:00:00-06:00,7701.8125 kWh
2017-08-22T00:00:00-06:00,7533.84375 kWh
2017-08-23T00:00:00-06:00,7571.40625 kWh
2017-08-24T00:00:00-06:00,7706.9375 kWh
2017-08-25T00:00:00-06:00,7604.4375 kWh
2017-08-26T00:00:00-06:00,7684.625 kWh
2017-08-27T00:00:00-06:00,7291.125 kWh
2017-08-28T00:00:00-06:00,8017.5 kWh
2017-08-29T00:00:00-06:00,7727.5625 kWh
2017-08-30T00:00:00-06:00,7948.6875 kWh
2017-08-31T00:00:00-06:00,7856.625 kWh
2017-09-01T00:00:00-06:00,7675.9375 kWh
2017-09-02T00:00:00-06:00,7588 kWh
2017-09-03T00:00:00-06:00,7198.125 kWh
2017-09-04T00:00:00-06:00,7693.5 kWh
2017-09-05T00:00:00-06:00,7831.5 kWh
2017-09-06T00:00:00-06:00,7764.8125 kWh
2017-09-07T00:00:00-06:00,7797.5625 kWh
2017-09-08T00:00:00-06:00,7850.75 kWh
2017-09-09T00:00:00-06:00,7859.875 kWh
2017-09-10T00:00:00-06:00,7063.4375 kWh
2017-09-11T00:00:00-06:00,7845.3125 kWh
2017-09-12T00:00:00-06:00,7891.1875 kWh
2017-09-13T00:00:00-06:00,7936.9375 kWh
2017-09-14T00:00:00-06:00,7283.625 kWh
2017-09-15T00:00:00-06:00,7238.125 kWh
2017-09-16T00:00:00-06:00,6762.375 kWh
2017-09-17T00:00:00-06:00,6297.1875 kWh
2017-09-18T00:00:00-06:00,6942.875 kWh
2017-09-19T00:00:00-06:00,6957.5625 kWh
2017-09-20T00:00:00-06:00,6785.3125 kWh
2017-09-21T00:00:00-06:00,5350.0625 kWh
2017-09-22T00:00:00-06:00,4035.4375 kWh
2017-09-23T00:00:00-06:00,3962.8125 kWh
2017-09-24T00:00:00-06:00,3609.625 kWh
2017-09-25T00:00:00-06:00,4055.625 kWh
2017-09-26T00:00:00-06:00,4145.75 kWh
2017-09-27T00:00:00-06:00,4953.125 kWh
2017-09-28T00:00:00-06:00,5424.1875 kWh
