Timestamp,['1cd3e136-796cbb0f 0049-LANGUAGE & COMMUNICATION BLDG Power Meter Volts AN']
2017-12-04T00:00:00-07:00,279.94063027699787 V
2017-12-05T00:00:00-07:00,280.0302149454753 V
2017-12-06T00:00:00-07:00,279.9895884195964 V
2017-12-07T00:00:00-07:00,280.00625642140704 V
2017-12-08T00:00:00-07:00,279.8166732788086 V
2017-12-09T00:00:00-07:00,279.968755086263 V
2017-12-10T00:00:00-07:00,280.15833791097003 V
2017-12-11T00:00:00-07:00,280.2364664077759 V
2017-12-12T00:00:00-07:00,279.8072967529297 V
2017-12-13T00:00:00-07:00,280.30521329243976 V
2017-12-14T00:00:00-07:00,280.31042257944745 V
2017-12-15T00:00:00-07:00,280.2770884831746 V
2017-12-16T00:00:00-07:00,280.070839881897 V
2017-12-17T00:00:00-07:00,279.8927141825358 V
2017-12-18T00:00:00-07:00,279.79334038628474 V
2017-12-19T00:00:00-07:00,280.0614652633667 V
2017-12-20T00:00:00-07:00,280.06042289733887 V
2017-12-21T00:00:00-07:00,280.16875680287677 V
2017-12-22T00:00:00-07:00,280.34792105356854 V
2017-12-23T00:00:00-07:00,279.84167226155597 V
2017-12-24T00:00:00-07:00,280.282296816508 V
2017-12-25T00:00:00-07:00,280.53333950042725 V
2017-12-26T00:00:00-07:00,280.66354910532635 V
2017-12-27T00:00:00-07:00,279.59063116709393 V
2017-12-28T00:00:00-07:00,280.48229662577313 V
2017-12-29T00:00:00-07:00,280.0052127838135 V
2017-12-30T00:00:00-07:00,280.36875597635907 V
2017-12-31T00:00:00-07:00,280.1083399454753 V
