Timestamp,['1eb29c53-e154835c 0063-WARNOCK ENGR BLDG (L) Power Meter 300145 Current A']
2017-08-02T00:00:00-06:00,194.78362687428793 A
2017-08-03T00:00:00-06:00,194.04334672292075 A
2017-08-04T00:00:00-06:00,201.6200413965917 A
2017-08-05T00:00:00-06:00,192.38310956954956 A
2017-08-06T00:00:00-06:00,192.97662734985352 A
2017-08-07T00:00:00-06:00,200.8244636853536 A
2017-08-08T00:00:00-06:00,199.6006596883138 A
2017-08-09T00:00:00-06:00,203.82852363586426 A
2017-08-10T00:00:00-06:00,205.3862390721098 A
2017-08-11T00:00:00-06:00,205.2369745572408 A
2017-08-12T00:00:00-06:00,198.83140579859415 A
2017-08-13T00:00:00-06:00,193.6514484087626 A
2017-08-14T00:00:00-06:00,199.2239260673523 A
2017-08-15T00:00:00-06:00,198.0862054824829 A
2017-08-16T00:00:00-06:00,202.87753899892172 A
2017-08-17T00:00:00-06:00,197.36363792419434 A
2017-08-18T00:00:00-06:00,192.12118895848593 A
2017-08-19T00:00:00-06:00,175.80822245279947 A
2017-08-20T00:00:00-06:00,177.66747077306113 A
2017-08-21T00:00:00-06:00,202.4225551287333 A
2017-08-22T00:00:00-06:00,207.5360395113627 A
2017-08-23T00:00:00-06:00,210.97967147827148 A
2017-08-24T00:00:00-06:00,210.01894664764404 A
2017-08-25T00:00:00-06:00,206.38333956400552 A
2017-08-26T00:00:00-06:00,189.5741720199585 A
2017-08-27T00:00:00-06:00,184.99302355448404 A
2017-08-28T00:00:00-06:00,200.8651748325514 A
2017-08-29T00:00:00-06:00,205.2404301140898 A
2017-08-30T00:00:00-06:00,211.52265659968057 A
2017-08-31T00:00:00-06:00,213.16424210866293 A
2017-09-01T00:00:00-06:00,204.33326959609985 A
2017-09-02T00:00:00-06:00,188.372439066569 A
2017-09-03T00:00:00-06:00,188.36016496022543 A
2017-09-04T00:00:00-06:00,186.62730487187704 A
2017-09-05T00:00:00-06:00,204.57703653971353 A
2017-09-06T00:00:00-06:00,208.85303258895874 A
2017-09-07T00:00:00-06:00,204.4386084874471 A
2017-09-08T00:00:00-06:00,210.54442475971422 A
2017-09-09T00:00:00-06:00,200.025590578715 A
2017-09-10T00:00:00-06:00,202.14641523361206 A
2017-09-11T00:00:00-06:00,211.151078859965 A
2017-09-12T00:00:00-06:00,209.17839288711548 A
2017-09-13T00:00:00-06:00,202.98345565795898 A
2017-09-14T00:00:00-06:00,206.922487894694 A
2017-09-15T00:00:00-06:00,204.9108018875122 A
2017-09-16T00:00:00-06:00,193.6623469988505 A
2017-09-17T00:00:00-06:00,195.17779970169067 A
2017-09-18T00:00:00-06:00,201.71314493815103 A
2017-09-19T00:00:00-06:00,203.68965784708658 A
2017-09-20T00:00:00-06:00,200.0520888964335 A
2017-09-21T00:00:00-06:00,211.31691233317056 A
2017-09-22T00:00:00-06:00,225.36208216349283 A
2017-09-23T00:00:00-06:00,230.87208048502603 A
2017-09-24T00:00:00-06:00,234.66779724756876 A
2017-09-25T00:00:00-06:00,228.40298000971475 A
2017-09-26T00:00:00-06:00,224.46952072779337 A
2017-09-27T00:00:00-06:00,211.5811365445455 A
2017-09-28T00:00:00-06:00,207.30040868123373 A
2017-09-29T00:00:00-06:00,200.52173026402792 A
2017-09-30T00:00:00-06:00,188.77575143178305 A
2017-10-01T00:00:00-06:00,196.65579207738242 A
2017-10-02T00:00:00-06:00,213.92723687489828 A
2017-10-03T00:00:00-06:00,226.2797853151957 A
2017-10-04T00:00:00-06:00,206.82413164774576 A
2017-10-05T00:00:00-06:00,221.74960279464722 A
2017-10-06T00:00:00-06:00,216.55305655797324 A
2017-10-07T00:00:00-06:00,199.8161106109619 A
2017-10-08T00:00:00-06:00,197.04790798823038 A
2017-10-09T00:00:00-06:00,224.41240231196085 A
2017-10-10T00:00:00-06:00,214.90195274353027 A
2017-10-11T00:00:00-06:00,193.8171903292338 A
2017-10-12T00:00:00-06:00,190.72994073232016 A
2017-10-13T00:00:00-06:00,187.03422037760416 A
2017-10-14T00:00:00-06:00,189.30610223067436 A
2017-10-15T00:00:00-06:00,189.41055059432983 A
2017-10-16T00:00:00-06:00,210.80546140670776 A
2017-10-17T00:00:00-06:00,205.55321391423544 A
2017-10-18T00:00:00-06:00,208.17933575312296 A
2017-10-19T00:00:00-06:00,202.32676887512207 A
2017-10-20T00:00:00-06:00,198.68183453877768 A
2017-10-21T00:00:00-06:00,202.95898310343424 A
2017-10-22T00:00:00-06:00,194.6441853841146 A
2017-10-23T00:00:00-06:00,198.55183537801108 A
2017-10-24T00:00:00-06:00,198.78746271133423 A
2017-10-25T00:00:00-06:00,200.7051412264506 A
2017-10-26T00:00:00-06:00,200.64974085489908 A
2017-10-27T00:00:00-06:00,210.8349585533142 A
2017-10-28T00:00:00-06:00,193.02898661295572 A
2017-10-29T00:00:00-06:00,182.97447299957275 A
2017-10-30T00:00:00-06:00,201.65662050247192 A
2017-10-31T00:00:00-06:00,207.22683111826578 A
2017-11-01T00:00:00-06:00,202.23942534128824 A
2017-11-02T00:00:00-06:00,200.7074556350708 A
2017-11-03T00:00:00-06:00,198.32626247406006 A
2017-11-04T00:00:00-06:00,189.68834479649863 A
2017-11-05T00:00:00-06:00,192.24255859375 A
2017-11-06T00:00:00-07:00,213.64159123102823 A
2017-11-07T00:00:00-07:00,226.89214738210043 A
2017-11-08T00:00:00-07:00,230.41603167851767 A
2017-11-09T00:00:00-07:00,216.10580492019653 A
2017-11-10T00:00:00-07:00,214.45268646876016 A
2017-11-11T00:00:00-07:00,205.83709001541138 A
2017-11-12T00:00:00-07:00,199.32690143585205 A
2017-11-13T00:00:00-07:00,215.30591535568237 A
2017-11-14T00:00:00-07:00,209.8842716217041 A
2017-11-15T00:00:00-07:00,208.27961746851602 A
2017-11-16T00:00:00-07:00,199.88393878936768 A
2017-11-17T00:00:00-07:00,219.21643447875977 A
2017-11-18T00:00:00-07:00,212.5853886604309 A
2017-11-19T00:00:00-07:00,205.9912052154541 A
2017-11-20T00:00:00-07:00,223.24934800465903 A
