Timestamp,['1eb2a063-7d8aa9ee 0074-BUSINESS CLASSROOM BLDG Power Meter (480V) Current C']
2017-12-16T00:00:00-07:00,90.57846943537395 A
2017-12-17T00:00:00-07:00,90.0237210591634 A
2017-12-18T00:00:00-07:00,91.56791416291267 A
2017-12-19T00:00:00-07:00,94.6224745909373 A
2017-12-20T00:00:00-07:00,90.85797723134358 A
2017-12-21T00:00:00-07:00,89.49600847562154 A
2017-12-22T00:00:00-07:00,87.53077689806621 A
2017-12-23T00:00:00-07:00,83.55792927742004 A
2017-12-24T00:00:00-07:00,84.8017229239146 A
2017-12-25T00:00:00-07:00,83.51140371958415 A
2017-12-26T00:00:00-07:00,84.23067442576091 A
2017-12-27T00:00:00-07:00,86.06306028366089 A
2017-12-28T00:00:00-07:00,87.26663382848103 A
2017-12-29T00:00:00-07:00,82.29146846135457 A
2017-12-30T00:00:00-07:00,80.77721110979716 A
2017-12-31T00:00:00-07:00,83.09298515319824 A
