Timestamp,['1cd68446-a3dcfaf3 Power Meter (HV) (316610) Real Power Total']
2017-09-12T00:00:00-06:00,122 kW
2017-09-13T00:00:00-06:00,131 kW
2017-09-14T00:00:00-06:00,119 kW
2017-09-15T00:00:00-06:00,96 kW
2017-09-16T00:00:00-06:00,117 kW
2017-09-17T00:00:00-06:00,113 kW
2017-09-18T00:00:00-06:00,119 kW
2017-09-19T00:00:00-06:00,106 kW
2017-09-20T00:00:00-06:00,109 kW
2017-09-21T00:00:00-06:00,81 kW
2017-09-22T00:00:00-06:00,85 kW
2017-09-23T00:00:00-06:00,83 kW
2017-09-24T00:00:00-06:00,84 kW
2017-09-25T00:00:00-06:00,95 kW
2017-09-26T00:00:00-06:00,108 kW
2017-09-27T00:00:00-06:00,110 kW
2017-09-28T00:00:00-06:00,98 kW
2017-09-29T00:00:00-06:00,114 kW
2017-09-30T00:00:00-06:00,107 kW
2017-10-01T00:00:00-06:00,87 kW
2017-10-02T00:00:00-06:00,66 kW
2017-10-03T00:00:00-06:00,94 kW
2017-10-04T00:00:00-06:00,87 kW
2017-10-05T00:00:00-06:00,87 kW
2017-10-06T00:00:00-06:00,91 kW
2017-10-07T00:00:00-06:00,82 kW
2017-10-08T00:00:00-06:00,93 kW
2017-10-09T00:00:00-06:00,88 kW
2017-10-10T00:00:00-06:00,111 kW
2017-10-11T00:00:00-06:00,115 kW
2017-10-12T00:00:00-06:00,112 kW
2017-10-13T00:00:00-06:00,112 kW
2017-10-14T00:00:00-06:00,110 kW
2017-10-15T00:00:00-06:00,108 kW
2017-10-16T00:00:00-06:00,107 kW
2017-10-17T00:00:00-06:00,114 kW
2017-10-18T00:00:00-06:00,114 kW
2017-10-19T00:00:00-06:00,116 kW
2017-10-20T00:00:00-06:00,122 kW
2017-10-21T00:00:00-06:00,94 kW
2017-10-22T00:00:00-06:00,105 kW
2017-10-23T00:00:00-06:00,115 kW
2017-10-24T00:00:00-06:00,97 kW
2017-10-25T00:00:00-06:00,114 kW
2017-10-26T00:00:00-06:00,110 kW
2017-10-27T00:00:00-06:00,115 kW
2017-10-28T00:00:00-06:00,105 kW
2017-10-29T00:00:00-06:00,110 kW
2017-10-30T00:00:00-06:00,93 kW
2017-10-31T00:00:00-06:00,81 kW
2017-11-01T00:00:00-06:00,111 kW
2017-11-02T00:00:00-06:00,108 kW
2017-11-03T00:00:00-06:00,112 kW
2017-11-04T00:00:00-06:00,109 kW
2017-11-05T00:00:00-06:00,132 kW
2017-11-06T00:00:00-07:00,76 kW
2017-11-07T00:00:00-07:00,73 kW
2017-11-08T00:00:00-07:00,77 kW
2017-11-09T00:00:00-07:00,104 kW
2017-11-10T00:00:00-07:00,105 kW
2017-11-11T00:00:00-07:00,117 kW
2017-11-12T00:00:00-07:00,112 kW
2017-11-13T00:00:00-07:00,111 kW
2017-11-14T00:00:00-07:00,74 kW
2017-11-15T00:00:00-07:00,126 kW
2017-11-16T00:00:00-07:00,115 kW
2017-11-17T00:00:00-07:00,116 kW
2017-11-18T00:00:00-07:00,115 kW
2017-11-19T00:00:00-07:00,117 kW
2017-11-20T00:00:00-07:00,109 kW
2017-11-21T00:00:00-07:00,120 kW
2017-11-22T00:00:00-07:00,114 kW
2017-11-23T00:00:00-07:00,108 kW
2017-11-24T00:00:00-07:00,113 kW
2017-11-25T00:00:00-07:00,78 kW
2017-11-26T00:00:00-07:00,115 kW
