Timestamp,['1cf2343d-2e7779d6 0086-MARRIOTT LIBRARY Power Meter 3 KWH Received']
2017-09-04T00:00:00-06:00,1025 kWh
2017-09-05T00:00:00-06:00,1296 kWh
2017-09-06T00:00:00-06:00,1316 kWh
2017-09-07T00:00:00-06:00,1295 kWh
2017-09-08T00:00:00-06:00,1223 kWh
2017-09-09T00:00:00-06:00,1120 kWh
2017-09-10T00:00:00-06:00,1107 kWh
2017-09-11T00:00:00-06:00,1316 kWh
2017-09-12T00:00:00-06:00,1300 kWh
2017-09-13T00:00:00-06:00,1376 kWh
2017-09-14T00:00:00-06:00,1315 kWh
2017-09-15T00:00:00-06:00,1261 kWh
2017-09-16T00:00:00-06:00,1124 kWh
2017-09-17T00:00:00-06:00,1103 kWh
2017-09-18T00:00:00-06:00,1329 kWh
2017-09-19T00:00:00-06:00,1314 kWh
2017-09-20T00:00:00-06:00,1333 kWh
2017-09-21T00:00:00-06:00,1277 kWh
2017-09-22T00:00:00-06:00,1238 kWh
2017-09-23T00:00:00-06:00,1087 kWh
2017-09-24T00:00:00-06:00,1060 kWh
2017-09-25T00:00:00-06:00,1258 kWh
2017-09-26T00:00:00-06:00,1333 kWh
2017-09-27T00:00:00-06:00,1355 kWh
2017-09-28T00:00:00-06:00,1316 kWh
2017-09-29T00:00:00-06:00,1263 kWh
2017-09-30T00:00:00-06:00,1092 kWh
2017-10-01T00:00:00-06:00,1084 kWh
2017-10-02T00:00:00-06:00,1292 kWh
2017-10-03T00:00:00-06:00,1265 kWh
2017-10-04T00:00:00-06:00,1240 kWh
2017-10-05T00:00:00-06:00,1231 kWh
2017-10-06T00:00:00-06:00,1193 kWh
2017-10-07T00:00:00-06:00,1072 kWh
2017-10-08T00:00:00-06:00,1021 kWh
2017-10-09T00:00:00-06:00,1155 kWh
2017-10-10T00:00:00-06:00,1181 kWh
2017-10-11T00:00:00-06:00,1137 kWh
2017-10-12T00:00:00-06:00,1151 kWh
2017-10-13T00:00:00-06:00,1129 kWh
2017-10-14T00:00:00-06:00,1086 kWh
2017-10-15T00:00:00-06:00,1068 kWh
2017-10-16T00:00:00-06:00,1326 kWh
2017-10-17T00:00:00-06:00,1381 kWh
2017-10-18T00:00:00-06:00,1335 kWh
2017-10-19T00:00:00-06:00,1366 kWh
2017-10-20T00:00:00-06:00,1317 kWh
2017-10-21T00:00:00-06:00,1076 kWh
2017-10-22T00:00:00-06:00,1076 kWh
2017-10-23T00:00:00-06:00,1340 kWh
2017-10-24T00:00:00-06:00,1365 kWh
2017-10-25T00:00:00-06:00,1331 kWh
2017-10-26T00:00:00-06:00,1272 kWh
2017-10-27T00:00:00-06:00,1225 kWh
2017-10-28T00:00:00-06:00,1103 kWh
2017-10-29T00:00:00-06:00,1075 kWh
2017-10-30T00:00:00-06:00,1305 kWh
2017-10-31T00:00:00-06:00,1164 kWh
