Timestamp,['1fe6f7d8-1dd123e6 Power Meter 085220 (300186) Current C']
2017-08-27T00:00:00-06:00,148.3800018310547 A
2017-08-28T00:00:00-06:00,111.9090902155096 A
2017-08-29T00:00:00-06:00,131.5250015258789 A
2017-08-30T00:00:00-06:00,104.71428462437221 A
2017-08-31T00:00:00-06:00,117.11666615804036 A
2017-09-01T00:00:00-06:00,126.21666675143771 A
2017-09-02T00:00:00-06:00,91.57500076293945 A
2017-09-03T00:00:00-06:00,110.74499969482422 A
2017-09-04T00:00:00-06:00,114.80769289456882 A
2017-09-05T00:00:00-06:00,120.91428520565941 A
2017-09-06T00:00:00-06:00,111.79999923706055 A
2017-09-07T00:00:00-06:00,127.36923041710487 A
2017-09-08T00:00:00-06:00,156.77692237267127 A
2017-09-09T00:00:00-06:00,150.85555691189236 A
2017-09-10T00:00:00-06:00,153.45714242117745 A
2017-09-11T00:00:00-06:00,157.51666768391928 A
2017-09-12T00:00:00-06:00,147.0800003051758 A
2017-09-13T00:00:00-06:00,161.72941230325137 A
2017-09-14T00:00:00-06:00,152.6699996948242 A
2017-09-15T00:00:00-06:00,152.43333435058594 A
2017-09-16T00:00:00-06:00,147.73999938964843 A
2017-09-17T00:00:00-06:00,149.04545454545453 A
2017-09-18T00:00:00-06:00,159.73749923706055 A
2017-09-19T00:00:00-06:00,141.1500015258789 A
2017-09-20T00:00:00-06:00,147.2000013078962 A
2017-09-21T00:00:00-06:00,147.8000030517578 A
2017-09-22T00:00:00-06:00,161.2699996948242 A
2017-09-23T00:00:00-06:00,160.125 A
2017-09-24T00:00:00-06:00,152.39166514078775 A
2017-09-25T00:00:00-06:00,161.71817848899147 A
2017-09-26T00:00:00-06:00,161.1199981689453 A
2017-09-27T00:00:00-06:00,171.60000610351562 A
2017-09-28T00:00:00-06:00,150.84000244140626 A
2017-09-29T00:00:00-06:00,159.85555521647134 A
2017-09-30T00:00:00-06:00,143.1999969482422 A
2017-10-01T00:00:00-06:00,102.73333485921223 A
2017-10-02T00:00:00-06:00,91.95555623372395 A
2017-10-03T00:00:00-06:00,99.03333367241754 A
2017-10-04T00:00:00-06:00,91.55714416503906 A
2017-10-05T00:00:00-06:00,93.7125015258789 A
2017-10-06T00:00:00-06:00,95.85882343965419 A
2017-10-07T00:00:00-06:00,80.61428615025112 A
2017-10-08T00:00:00-06:00,81.40000025431316 A
2017-10-09T00:00:00-06:00,95.59999974568684 A
2017-10-10T00:00:00-06:00,87.85405380661423 A
2017-10-11T00:00:00-06:00,93.31363608620383 A
2017-10-12T00:00:00-06:00,85.08499946594239 A
2017-10-13T00:00:00-06:00,90.72210516678659 A
2017-10-14T00:00:00-06:00,83.68645811080933 A
2017-10-15T00:00:00-06:00,82.02708339691162 A
2017-10-16T00:00:00-06:00,94.39791671435039 A
2017-10-17T00:00:00-06:00,97.87500015894572 A
2017-10-18T00:00:00-06:00,96.52291679382324 A
2017-10-19T00:00:00-06:00,93.18645866711934 A
2017-10-20T00:00:00-06:00,88.43723410748422 A
2017-10-21T00:00:00-06:00,80.57916657129924 A
2017-10-22T00:00:00-06:00,87.07916673024495 A
2017-10-23T00:00:00-06:00,92.1979165871938 A
2017-10-24T00:00:00-06:00,94.31041685740153 A
2017-10-25T00:00:00-06:00,89.87187512715657 A
2017-10-26T00:00:00-06:00,94.77789459228515 A
2017-10-27T00:00:00-06:00,93.83333325386047 A
2017-10-28T00:00:00-06:00,88.1873684531764 A
2017-10-29T00:00:00-06:00,86.96210543983861 A
2017-10-30T00:00:00-06:00,92.13749980926514 A
2017-10-31T00:00:00-06:00,90.8 A
2017-11-01T00:00:00-06:00,95.37368380897924 A
2017-11-02T00:00:00-06:00,95.96774185344736 A
2017-11-03T00:00:00-06:00,89.96451617825416 A
2017-11-04T00:00:00-06:00,82.74301057220787 A
2017-11-05T00:00:00-06:00,83.31499977111817 A
2017-11-06T00:00:00-07:00,96.41145825386047 A
2017-11-07T00:00:00-07:00,93.75416668256123 A
2017-11-08T00:00:00-07:00,90.92340436894843 A
2017-11-09T00:00:00-07:00,90.62187457084656 A
2017-11-10T00:00:00-07:00,92.82105255126953 A
2017-11-11T00:00:00-07:00,84.86562506357829 A
2017-11-12T00:00:00-07:00,80.85473697060033 A
2017-11-13T00:00:00-07:00,89.1957892970035 A
2017-11-14T00:00:00-07:00,93.77395828564961 A
2017-11-15T00:00:00-07:00,93.62395803133647 A
2017-11-16T00:00:00-07:00,89.08020814259847 A
2017-11-17T00:00:00-07:00,92.14895796775818 A
2017-11-18T00:00:00-07:00,81.95000020662944 A
2017-11-19T00:00:00-07:00,83.36249995231628 A
2017-11-20T00:00:00-07:00,92.86874985694885 A
2017-11-21T00:00:00-07:00,92.60937492052715 A
2017-11-22T00:00:00-07:00,90.52916669845581 A
2017-11-23T00:00:00-07:00,81.149999777476 A
2017-11-24T00:00:00-07:00,82.30210523103413 A
2017-11-25T00:00:00-07:00,84.0041663646698 A
2017-11-26T00:00:00-07:00,82.39895804723103 A
2017-11-27T00:00:00-07:00,90.82083344459534 A
2017-11-28T00:00:00-07:00,91.1395833492279 A
2017-11-29T00:00:00-07:00,91.97473682604338 A
2017-11-30T00:00:00-07:00,93.03157910798726 A
2017-12-01T00:00:00-07:00,91.32812547683716 A
2017-12-02T00:00:00-07:00,81.3052081267039 A
2017-12-03T00:00:00-07:00,80.36210495798211 A
2017-12-04T00:00:00-07:00,90.92210548802426 A
2017-12-05T00:00:00-07:00,93.38333352406819 A
2017-12-06T00:00:00-07:00,91.68125009536743 A
2017-12-07T00:00:00-07:00,92.8093752861023 A
2017-12-08T00:00:00-07:00,92.79687484105428 A
2017-12-09T00:00:00-07:00,82.48437515894572 A
2017-12-10T00:00:00-07:00,82.99374985694885 A
2017-12-11T00:00:00-07:00,92.11770876248677 A
2017-12-12T00:00:00-07:00,92.08854166666667 A
2017-12-13T00:00:00-07:00,91.3333330154419 A
2017-12-14T00:00:00-07:00,92.10833287239075 A
2017-12-15T00:00:00-07:00,89.36354160308838 A
2017-12-16T00:00:00-07:00,80.94479131698608 A
2017-12-17T00:00:00-07:00,81.13645855585735 A
2017-12-18T00:00:00-07:00,93.03626343444154 A
2017-12-19T00:00:00-07:00,93.73437507947285 A
2017-12-20T00:00:00-07:00,86.7031253973643 A
2017-12-21T00:00:00-07:00,89.81041661898296 A
2017-12-22T00:00:00-07:00,87.86770836512248 A
2017-12-23T00:00:00-07:00,79.9114584128062 A
2017-12-24T00:00:00-07:00,80.30520876248677 A
2017-12-25T00:00:00-07:00,78.24062474568684 A
2017-12-26T00:00:00-07:00,81.64062484105428 A
2017-12-27T00:00:00-07:00,87.0145833492279 A
2017-12-28T00:00:00-07:00,89.61041641235352 A
2017-12-29T00:00:00-07:00,82.28124968210857 A
2017-12-30T00:00:00-07:00,78.79999979337056 A
2017-12-31T00:00:00-07:00,79.62291638056438 A
