Timestamp,['1ee9af99-071a9129 0053-OLPIN UNION Power Meter (53-1) Current B']
2017-07-28T00:00:00-06:00,108.88151566187541 A
2017-07-29T00:00:00-06:00,106.05322694778442 A
2017-07-30T00:00:00-06:00,102.08968138694763 A
2017-07-31T00:00:00-06:00,110.61051221688588 A
2017-08-01T00:00:00-06:00,111.6000075340271 A
2017-08-02T00:00:00-06:00,111.13681848843892 A
2017-08-03T00:00:00-06:00,111.92159171899159 A
2017-08-04T00:00:00-06:00,109.44913273067264 A
2017-08-05T00:00:00-06:00,103.06000542640686 A
2017-08-06T00:00:00-06:00,100.68420867125194 A
2017-08-07T00:00:00-06:00,101.23553856213887 A
2017-08-08T00:00:00-06:00,101.81260573863983 A
2017-08-09T00:00:00-06:00,101.24841705958049 A
2017-08-10T00:00:00-06:00,105.49067245645726 A
2017-08-11T00:00:00-06:00,103.6266843477885 A
2017-08-12T00:00:00-06:00,99.65257930755615 A
2017-08-13T00:00:00-06:00,97.83136693636577 A
2017-08-14T00:00:00-06:00,103.21007001399994 A
2017-08-15T00:00:00-06:00,101.8441174030304 A
2017-08-16T00:00:00-06:00,100.38047881921132 A
2017-08-17T00:00:00-06:00,105.41542375087738 A
2017-08-18T00:00:00-06:00,106.05256915092468 A
2017-08-19T00:00:00-06:00,100.88964227835338 A
2017-08-20T00:00:00-06:00,98.79269623756409 A
2017-08-21T00:00:00-06:00,105.77185034751892 A
2017-08-22T00:00:00-06:00,106.41299359003703 A
2017-08-23T00:00:00-06:00,107.31727198759715 A
2017-08-24T00:00:00-06:00,103.36998430887859 A
2017-08-25T00:00:00-06:00,109.86931435267131 A
2017-08-26T00:00:00-06:00,103.96995600064595 A
2017-08-27T00:00:00-06:00,101.07774329185486 A
2017-08-28T00:00:00-06:00,112.62713506947394 A
2017-08-29T00:00:00-06:00,114.40034866333008 A
2017-08-30T00:00:00-06:00,90.75756896972656 A
2017-08-31T00:00:00-06:00,96.22432633241017 A
2017-09-01T00:00:00-06:00,72.32169385751088 A
2017-09-02T00:00:00-06:00,54.46670389175415 A
2017-09-03T00:00:00-06:00,56.27588486671448 A
2017-09-04T00:00:00-06:00,58.98953088124593 A
2017-09-05T00:00:00-06:00,80.59148705005646 A
2017-09-06T00:00:00-06:00,80.33890171845754 A
2017-09-07T00:00:00-06:00,72.80874013900757 A
2017-09-08T00:00:00-06:00,71.40624350689828 A
2017-09-09T00:00:00-06:00,59.17270112037659 A
2017-09-10T00:00:00-06:00,52.281750996907554 A
2017-09-11T00:00:00-06:00,77.63668739795685 A
2017-09-12T00:00:00-06:00,81.61696557203929 A
2017-09-13T00:00:00-06:00,99.10799193382263 A
2017-09-14T00:00:00-06:00,66.53081202507019 A
2017-09-15T00:00:00-06:00,59.445352832476296 A
2017-09-16T00:00:00-06:00,51.64810554186503 A
2017-09-17T00:00:00-06:00,48.58862010637919 A
2017-09-18T00:00:00-06:00,57.65220614274343 A
2017-09-19T00:00:00-06:00,54.58590202331543 A
2017-09-20T00:00:00-06:00,57.931365966796875 A
2017-09-21T00:00:00-06:00,57.96393163998922 A
2017-09-22T00:00:00-06:00,55.36448856194814 A
2017-09-23T00:00:00-06:00,50.68277823925018 A
2017-09-24T00:00:00-06:00,49.014600237210594 A
2017-09-25T00:00:00-06:00,56.36741964022318 A
2017-09-26T00:00:00-06:00,58.70445680618286 A
2017-09-27T00:00:00-06:00,58.18811492125193 A
2017-09-28T00:00:00-06:00,56.990268429120384 A
2017-09-29T00:00:00-06:00,57.807762106259666 A
2017-09-30T00:00:00-06:00,51.21368559201559 A
2017-10-01T00:00:00-06:00,48.89426791667938 A
2017-10-02T00:00:00-06:00,57.60542150338491 A
2017-10-03T00:00:00-06:00,59.79862519105276 A
2017-10-04T00:00:00-06:00,61.633365750312805 A
2017-10-05T00:00:00-06:00,60.43255285422007 A
2017-10-06T00:00:00-06:00,58.4784121910731 A
2017-10-07T00:00:00-06:00,56.60494259993235 A
2017-10-08T00:00:00-06:00,49.12106088797251 A
2017-10-09T00:00:00-06:00,54.29335633913676 A
2017-10-10T00:00:00-06:00,54.88861572742462 A
2017-10-11T00:00:00-06:00,54.734038511912026 A
2017-10-12T00:00:00-06:00,54.28958527247111 A
