Timestamp,"['1cf8d79a-b6d88143 0064-MERRILL ENGINEERING BLDG Power Meter (300154, 064-802) Current B']"
2017-06-24T00:00:00-06:00,5.97900390625 A
2017-06-25T00:00:00-06:00,5.931803385416667 A
2017-06-26T00:00:00-06:00,6.74140625 A
2017-06-27T00:00:00-06:00,6.384847005208333 A
2017-06-28T00:00:00-06:00,6.263509114583333 A
2017-06-29T00:00:00-06:00,6.257568359375 A
2017-06-30T00:00:00-06:00,6.255533854166667 A
2017-07-01T00:00:00-06:00,5.847208658854167 A
2017-07-02T00:00:00-06:00,5.87158203125 A
2017-07-03T00:00:00-06:00,6.189005533854167 A
2017-07-04T00:00:00-06:00,5.820027669270833 A
2017-07-05T00:00:00-06:00,6.600911458333333 A
2017-07-06T00:00:00-06:00,6.689168294270833 A
2017-07-07T00:00:00-06:00,6.424479166666667 A
2017-07-08T00:00:00-06:00,5.821573893229167 A
2017-07-09T00:00:00-06:00,5.859700520833333 A
2017-07-10T00:00:00-06:00,6.6866455078125 A
2017-07-11T00:00:00-06:00,6.460042317708333 A
2017-07-12T00:00:00-06:00,6.7821044921875 A
2017-07-13T00:00:00-06:00,6.9139404296875 A
2017-07-14T00:00:00-06:00,6.777018229166667 A
2017-07-15T00:00:00-06:00,6.14697265625 A
2017-07-16T00:00:00-06:00,5.99853515625 A
2017-07-17T00:00:00-06:00,6.770222981770833 A
2017-07-18T00:00:00-06:00,6.444742838541667 A
2017-07-19T00:00:00-06:00,6.57958984375 A
2017-07-20T00:00:00-06:00,6.590657552083333 A
2017-07-21T00:00:00-06:00,6.388997395833333 A
2017-07-22T00:00:00-06:00,6.019694010416667 A
2017-07-23T00:00:00-06:00,5.903767903645833 A
2017-07-24T00:00:00-06:00,6.2139892578125 A
2017-07-25T00:00:00-06:00,6.393147786458333 A
2017-07-26T00:00:00-06:00,6.29248046875 A
2017-07-27T00:00:00-06:00,6.141438802083333 A
2017-07-28T00:00:00-06:00,6.2008056640625 A
2017-07-29T00:00:00-06:00,5.768513997395833 A
2017-07-30T00:00:00-06:00,5.795084635416667 A
2017-07-31T00:00:00-06:00,6.347819010416667 A
2017-08-01T00:00:00-06:00,6.439412434895833 A
2017-08-02T00:00:00-06:00,6.5792236328125 A
2017-08-03T00:00:00-06:00,6.408284505208333 A
2017-08-04T00:00:00-06:00,6.2379774305555555 A
2017-08-05T00:00:00-06:00,5.977701822916667 A
2017-08-06T00:00:00-06:00,5.801472981770833 A
2017-08-07T00:00:00-06:00,6.198079427083333 A
2017-08-08T00:00:00-06:00,5.973429361979167 A
2017-08-09T00:00:00-06:00,5.9442138671875 A
2017-08-10T00:00:00-06:00,5.919072690217392 A
2017-08-11T00:00:00-06:00,6.036580403645833 A
2017-08-12T00:00:00-06:00,5.719034830729167 A
2017-08-13T00:00:00-06:00,5.593421052631579 A
2017-08-14T00:00:00-06:00,5.998697916666667 A
2017-08-15T00:00:00-06:00,5.876912434895833 A
2017-08-16T00:00:00-06:00,5.962198893229167 A
2017-08-17T00:00:00-06:00,5.957438151041667 A
2017-08-18T00:00:00-06:00,5.970377604166667 A
2017-08-19T00:00:00-06:00,5.591227213541667 A
2017-08-20T00:00:00-06:00,5.4718017578125 A
2017-08-21T00:00:00-06:00,5.956624348958333 A
2017-08-22T00:00:00-06:00,6.371378580729167 A
2017-08-23T00:00:00-06:00,6.445882161458333 A
2017-08-24T00:00:00-06:00,6.4544677734375 A
2017-08-25T00:00:00-06:00,6.779215494791667 A
2017-08-26T00:00:00-06:00,5.798502604166667 A
2017-08-27T00:00:00-06:00,5.796142578125 A
2017-08-28T00:00:00-06:00,6.502690972222222 A
2017-08-29T00:00:00-06:00,6.779730902777778 A
