Timestamp,['1fd1b095-c234b320 0082-SKAGGS BIOLOGY BLDG Power Meter Current B']
2017-08-19T00:00:00-06:00,908.3052190144857 A
2017-08-20T00:00:00-06:00,933.6781349182129 A
2017-08-21T00:00:00-06:00,923.7979303995768 A
2017-08-22T00:00:00-06:00,919.5000114440918 A
2017-08-23T00:00:00-06:00,921.1083469390869 A
2017-08-24T00:00:00-06:00,914.8854293823242 A
2017-08-25T00:00:00-06:00,903.8406403859457 A
2017-08-26T00:00:00-06:00,883.6083463033041 A
2017-08-27T00:00:00-06:00,874.0270951588949 A
2017-08-28T00:00:00-06:00,882.2793599004331 A
2017-08-29T00:00:00-06:00,932.427970640121 A
2017-08-30T00:00:00-06:00,966.9625174204508 A
2017-08-31T00:00:00-06:00,961.1364739735922 A
2017-09-01T00:00:00-06:00,936.0385576883951 A
2017-09-02T00:00:00-06:00,866.2979303995768 A
2017-09-03T00:00:00-06:00,828.1854305267334 A
2017-09-04T00:00:00-06:00,791.3833446502686 A
2017-09-05T00:00:00-06:00,851.3781356811523 A
2017-09-06T00:00:00-06:00,890.9322999318441 A
2017-09-07T00:00:00-06:00,870.7927201588949 A
2017-09-08T00:00:00-06:00,845.2189581620066 A
2017-09-09T00:00:00-06:00,814.0843849182129 A
2017-09-10T00:00:00-06:00,816.7791798909506 A
2017-09-11T00:00:00-06:00,934.0135567982992 A
2017-09-12T00:00:00-06:00,949.037515004476 A
2017-09-13T00:00:00-06:00,921.8302256266276 A
2017-09-14T00:00:00-06:00,901.6145985921224 A
2017-09-15T00:00:00-06:00,696.8531347910563 A
2017-09-16T00:00:00-06:00,569.9406369527181 A
2017-09-17T00:00:00-06:00,610.7666765848795 A
2017-09-18T00:00:00-06:00,787.7770957946777 A
2017-09-19T00:00:00-06:00,665.6448033650717 A
2017-09-20T00:00:00-06:00,697.7645959854126 A
2017-09-21T00:00:00-06:00,612.6500113805135 A
2017-09-22T00:00:00-06:00,544.0229269663492 A
2017-09-23T00:00:00-06:00,500.5208406448364 A
2017-09-24T00:00:00-06:00,492.31895462839225 A
2017-09-25T00:00:00-06:00,559.8156334559122 A
2017-09-26T00:00:00-06:00,579.1979293823242 A
2017-09-27T00:00:00-06:00,626.2885545094808 A
2017-09-28T00:00:00-06:00,688.6895999908447 A
2017-09-29T00:00:00-06:00,655.4156386057535 A
2017-09-30T00:00:00-06:00,589.4864702224731 A
2017-10-01T00:00:00-06:00,538.1989692052206 A
2017-10-02T00:00:00-06:00,544.0375099182129 A
2017-10-03T00:00:00-06:00,566.1333424250284 A
2017-10-04T00:00:00-06:00,611.1968857447306 A
2017-10-05T00:00:00-06:00,570.1823031107584 A
2017-10-06T00:00:00-06:00,557.7187614440918 A
2017-10-07T00:00:00-06:00,640.0562616984049 A
2017-10-08T00:00:00-06:00,547.2927214304606 A
2017-10-09T00:00:00-06:00,540.8073024749756 A
2017-10-10T00:00:00-06:00,594.3291778564453 A
2017-10-11T00:00:00-06:00,677.203135808309 A
2017-10-12T00:00:00-06:00,588.5833438237509 A
2017-10-13T00:00:00-06:00,580.9489720662435 A
2017-10-14T00:00:00-06:00,495.0354242324829 A
2017-10-15T00:00:00-06:00,523.1302220026652 A
2017-10-16T00:00:00-06:00,584.9260546366373 A
2017-10-17T00:00:00-06:00,628.0604276657104 A
2017-10-18T00:00:00-06:00,662.1177212397257 A
2017-10-19T00:00:00-06:00,732.9760551452637 A
2017-10-20T00:00:00-06:00,724.7479270299276 A
2017-10-21T00:00:00-06:00,526.8635527292887 A
2017-10-22T00:00:00-06:00,565.303137143453 A
2017-10-23T00:00:00-06:00,596.1968866984049 A
2017-10-24T00:00:00-06:00,593.4698044459025 A
2017-10-25T00:00:00-06:00,622.9760557810465 A
2017-10-26T00:00:00-06:00,614.9020977020264 A
2017-10-27T00:00:00-06:00,599.486467997233 A
2017-10-28T00:00:00-06:00,566.2500120798746 A
2017-10-29T00:00:00-06:00,622.2791802088419 A
2017-10-30T00:00:00-06:00,609.6500129699707 A
2017-10-31T00:00:00-06:00,578.7343848546346 A
2017-11-01T00:00:00-06:00,644.6375102996826 A
2017-11-02T00:00:00-06:00,688.3468888600668 A
2017-11-03T00:00:00-06:00,694.9083442687988 A
2017-11-04T00:00:00-06:00,562.7166792551676 A
2017-11-05T00:00:00-06:00,512.9970080566407 A
2017-11-06T00:00:00-07:00,533.9875116348267 A
2017-11-07T00:00:00-07:00,555.4937623341879 A
2017-11-08T00:00:00-07:00,538.4156351089478 A
2017-11-09T00:00:00-07:00,585.3416748046875 A
2017-11-10T00:00:00-07:00,544.4156325658163 A
2017-11-11T00:00:00-07:00,538.3083457946777 A
2017-11-12T00:00:00-07:00,555.0760504404703 A
2017-11-13T00:00:00-07:00,586.9698053995768 A
2017-11-14T00:00:00-07:00,574.5698019663492 A
2017-11-15T00:00:00-07:00,562.0645939509074 A
2017-11-16T00:00:00-07:00,572.8968836466471 A
2017-11-17T00:00:00-07:00,547.2729253768921 A
2017-11-18T00:00:00-07:00,516.0989665985107 A
2017-11-19T00:00:00-07:00,521.593757947286 A
2017-11-20T00:00:00-07:00,549.4354257583618 A
2017-11-21T00:00:00-07:00,600.472929318746 A
2017-11-22T00:00:00-07:00,655.2656370798746 A
2017-11-23T00:00:00-07:00,618.9104255040487 A
2017-11-24T00:00:00-07:00,623.9354283014933 A
2017-11-25T00:00:00-07:00,544.7604252497355 A
2017-11-26T00:00:00-07:00,597.2760515213013 A
2017-11-27T00:00:00-07:00,655.9541775385538 A
2017-11-28T00:00:00-07:00,561.4698012669882 A
2017-11-29T00:00:00-07:00,557.854175567627 A
2017-11-30T00:00:00-07:00,537.0385529200236 A
2017-12-01T00:00:00-07:00,533.6260503133138 A
2017-12-02T00:00:00-07:00,505.3562587102254 A
2017-12-03T00:00:00-07:00,525.1843859354655 A
2017-12-04T00:00:00-07:00,479.1135476430257 A
2017-12-05T00:00:00-07:00,514.3968807856241 A
2017-12-06T00:00:00-07:00,558.4375095367432 A
2017-12-07T00:00:00-07:00,546.9583415985107 A
2017-12-08T00:00:00-07:00,558.0677188237509 A
2017-12-09T00:00:00-07:00,541.8531363805135 A
2017-12-10T00:00:00-07:00,536.0208422342936 A
2017-12-11T00:00:00-07:00,565.6812610626221 A
2017-12-12T00:00:00-07:00,566.5635525385538 A
2017-12-13T00:00:00-07:00,565.7104263305664 A
2017-12-14T00:00:00-07:00,559.7479263941447 A
2017-12-15T00:00:00-07:00,563.64688428243 A
2017-12-16T00:00:00-07:00,521.3135503133138 A
2017-12-17T00:00:00-07:00,513.8531341552734 A
2017-12-18T00:00:00-07:00,546.6742022114415 A
2017-12-19T00:00:00-07:00,526.5968844095866 A
2017-12-20T00:00:00-07:00,549.7833433151245 A
2017-12-21T00:00:00-07:00,467.07604694366455 A
2017-12-22T00:00:00-07:00,484.52813212076825 A
2017-12-23T00:00:00-07:00,421.56771596272785 A
2017-12-24T00:00:00-07:00,521.4031343460083 A
2017-12-25T00:00:00-07:00,509.5239674250285 A
2017-12-26T00:00:00-07:00,513.1052207946777 A
2017-12-27T00:00:00-07:00,521.8416767120361 A
2017-12-28T00:00:00-07:00,540.2593857447306 A
2017-12-29T00:00:00-07:00,543.5229272842407 A
2017-12-30T00:00:00-07:00,544.1750109990438 A
2017-12-31T00:00:00-07:00,534.108344078064 A
