Timestamp,['1ce63d7d-1ec2ea15 0028-MARRIOTT CENTER FOR DANCE Power Meter Current C']
2017-06-23T00:00:00-06:00,237.00566943486533 A
2017-06-24T00:00:00-06:00,214.68011983235678 A
2017-06-25T00:00:00-06:00,212.552632967631 A
2017-06-26T00:00:00-06:00,247.33679024378458 A
2017-06-27T00:00:00-06:00,247.5213179588318 A
2017-06-28T00:00:00-06:00,253.68763256072998 A
2017-06-29T00:00:00-06:00,260.20673688252765 A
2017-06-30T00:00:00-06:00,242.944770971934 A
2017-07-01T00:00:00-06:00,211.34491697947183 A
2017-07-02T00:00:00-06:00,189.03155867258707 A
2017-07-03T00:00:00-06:00,239.52496973673502 A
2017-07-04T00:00:00-06:00,200.75022586186728 A
2017-07-05T00:00:00-06:00,240.91211144129434 A
2017-07-06T00:00:00-06:00,246.98528289794922 A
2017-07-07T00:00:00-06:00,254.95851500829062 A
2017-07-08T00:00:00-06:00,216.21166769663492 A
2017-07-09T00:00:00-06:00,199.65504185358682 A
2017-07-10T00:00:00-06:00,248.989724000295 A
2017-07-11T00:00:00-06:00,246.31088336308798 A
2017-07-12T00:00:00-06:00,245.51658233006796 A
2017-07-13T00:00:00-06:00,264.16029930114746 A
2017-07-14T00:00:00-06:00,266.6230567296346 A
2017-07-15T00:00:00-06:00,211.79064798355103 A
2017-07-16T00:00:00-06:00,203.23566468556723 A
2017-07-17T00:00:00-06:00,217.5976079305013 A
2017-07-18T00:00:00-06:00,212.1224160194397 A
2017-07-19T00:00:00-06:00,202.06281884511313 A
2017-07-20T00:00:00-06:00,209.0609278678894 A
2017-07-21T00:00:00-06:00,211.42094071706137 A
2017-07-22T00:00:00-06:00,197.59643157323202 A
2017-07-23T00:00:00-06:00,187.51244767506918 A
2017-07-24T00:00:00-06:00,200.22537549336752 A
2017-07-25T00:00:00-06:00,205.47071393330893 A
2017-07-26T00:00:00-06:00,221.74098618825278 A
2017-07-27T00:00:00-06:00,233.9185183842977 A
2017-07-28T00:00:00-06:00,233.48544963200888 A
2017-07-29T00:00:00-06:00,211.31067641576132 A
2017-07-30T00:00:00-06:00,194.6843417485555 A
2017-07-31T00:00:00-06:00,213.48010698954263 A
2017-08-01T00:00:00-06:00,217.40881713231406 A
2017-08-02T00:00:00-06:00,218.7985396385193 A
2017-08-03T00:00:00-06:00,215.9694997469584 A
2017-08-04T00:00:00-06:00,210.9905268351237 A
2017-08-05T00:00:00-06:00,203.90505027770996 A
2017-08-06T00:00:00-06:00,193.4249439239502 A
2017-08-07T00:00:00-06:00,205.7666982014974 A
2017-08-08T00:00:00-06:00,215.063094774882 A
2017-08-09T00:00:00-06:00,234.10343901316324 A
2017-08-10T00:00:00-06:00,228.95582564159105 A
2017-08-11T00:00:00-06:00,217.147567431132 A
2017-08-12T00:00:00-06:00,207.76545413335165 A
