Timestamp,"['1cf8d7a5-ca84657f 0064-MERRILL ENGINEERING BLDG Power Meter (300154, 064-802) Current C']"
2017-08-23T00:00:00-06:00,8.14501953125 A
2017-08-24T00:00:00-06:00,8.225504557291666 A
2017-08-25T00:00:00-06:00,8.151082356770834 A
2017-08-26T00:00:00-06:00,7.086222330729167 A
2017-08-27T00:00:00-06:00,6.996541341145833 A
2017-08-28T00:00:00-06:00,8.004644097222222 A
2017-08-29T00:00:00-06:00,8.567274305555555 A
2017-08-30T00:00:00-06:00,8.373046875 A
2017-08-31T00:00:00-06:00,7.962076822916667 A
2017-09-01T00:00:00-06:00,7.699015299479167 A
2017-09-02T00:00:00-06:00,6.897623697916667 A
2017-09-03T00:00:00-06:00,7.032267252604167 A
2017-09-04T00:00:00-06:00,7.0103759765625 A
2017-09-05T00:00:00-06:00,8.222737630208334 A
2017-09-06T00:00:00-06:00,8.167434210526316 A
2017-09-07T00:00:00-06:00,7.8995361328125 A
2017-09-08T00:00:00-06:00,7.4869514627659575 A
2017-09-09T00:00:00-06:00,6.549153645833333 A
2017-09-10T00:00:00-06:00,6.669026692708333 A
2017-09-11T00:00:00-06:00,7.709065755208333 A
2017-09-12T00:00:00-06:00,8.170939127604166 A
2017-09-13T00:00:00-06:00,8.333251953125 A
2017-09-14T00:00:00-06:00,8.1973876953125 A
2017-09-15T00:00:00-06:00,7.489339192708333 A
2017-09-16T00:00:00-06:00,6.569864908854167 A
2017-09-17T00:00:00-06:00,6.685587565104167 A
2017-09-18T00:00:00-06:00,7.876993815104167 A
2017-09-19T00:00:00-06:00,7.92529296875 A
2017-09-20T00:00:00-06:00,8.1605224609375 A
2017-09-21T00:00:00-06:00,8.062459309895834 A
2017-09-22T00:00:00-06:00,7.962565104166667 A
2017-09-23T00:00:00-06:00,6.905192057291667 A
2017-09-24T00:00:00-06:00,6.8612060546875 A
2017-09-25T00:00:00-06:00,7.695231119791667 A
2017-09-26T00:00:00-06:00,8.012410481770834 A
2017-09-27T00:00:00-06:00,8.2064208984375 A
2017-09-28T00:00:00-06:00,8.063435872395834 A
2017-09-29T00:00:00-06:00,7.982666015625 A
2017-09-30T00:00:00-06:00,6.880411783854167 A
2017-10-01T00:00:00-06:00,6.732462565104167 A
2017-10-02T00:00:00-06:00,7.8487548828125 A
2017-10-03T00:00:00-06:00,8.1849365234375 A
2017-10-04T00:00:00-06:00,8.204508463541666 A
2017-10-05T00:00:00-06:00,8.343180338541666 A
2017-10-06T00:00:00-06:00,8.169026692708334 A
2017-10-07T00:00:00-06:00,7.3404541015625 A
2017-10-08T00:00:00-06:00,7.275227864583333 A
2017-10-09T00:00:00-06:00,7.8134765625 A
2017-10-10T00:00:00-06:00,7.779459635416667 A
2017-10-11T00:00:00-06:00,7.898681640625 A
2017-10-12T00:00:00-06:00,7.782958984375 A
2017-10-13T00:00:00-06:00,7.520100911458333 A
2017-10-14T00:00:00-06:00,7.0333251953125 A
2017-10-15T00:00:00-06:00,6.953653971354167 A
2017-10-16T00:00:00-06:00,8.100423177083334 A
2017-10-17T00:00:00-06:00,8.1912841796875 A
2017-10-18T00:00:00-06:00,8.025187174479166 A
2017-10-19T00:00:00-06:00,7.9898681640625 A
2017-10-20T00:00:00-06:00,7.8057861328125 A
2017-10-21T00:00:00-06:00,6.759684244791667 A
2017-10-22T00:00:00-06:00,6.875203450520833 A
2017-10-23T00:00:00-06:00,7.754720052083333 A
2017-10-24T00:00:00-06:00,8.063639322916666 A
2017-10-25T00:00:00-06:00,8.000691731770834 A
2017-10-26T00:00:00-06:00,7.659505208333333 A
2017-10-27T00:00:00-06:00,7.6064453125 A
2017-10-28T00:00:00-06:00,6.91796875 A
2017-10-29T00:00:00-06:00,6.981404622395833 A
2017-10-30T00:00:00-06:00,7.732340494791667 A
2017-10-31T00:00:00-06:00,7.184611002604167 A
2017-11-01T00:00:00-06:00,7.998046875 A
2017-11-02T00:00:00-06:00,8.377197265625 A
2017-11-03T00:00:00-06:00,8.498616536458334 A
2017-11-04T00:00:00-06:00,7.3529052734375 A
2017-11-05T00:00:00-06:00,7.49125 A
2017-11-06T00:00:00-07:00,8.2406005859375 A
2017-11-07T00:00:00-07:00,8.105631510416666 A
2017-11-08T00:00:00-07:00,8.26416015625 A
2017-11-09T00:00:00-07:00,8.582926432291666 A
2017-11-10T00:00:00-07:00,8.33154296875 A
2017-11-11T00:00:00-07:00,6.935750325520833 A
2017-11-12T00:00:00-07:00,6.790079752604167 A
2017-11-13T00:00:00-07:00,8.105265299479166 A
2017-11-14T00:00:00-07:00,8.150634765625 A
2017-11-15T00:00:00-07:00,7.991658528645833 A
2017-11-16T00:00:00-07:00,8.0909423828125 A
2017-11-17T00:00:00-07:00,7.936604817708333 A
2017-11-18T00:00:00-07:00,6.90869140625 A
2017-11-19T00:00:00-07:00,6.890340169270833 A
2017-11-20T00:00:00-07:00,8.149088541666666 A
2017-11-21T00:00:00-07:00,8.0552978515625 A
2017-11-22T00:00:00-07:00,8.0516357421875 A
2017-11-23T00:00:00-07:00,7.30322265625 A
2017-11-24T00:00:00-07:00,7.048543294270833 A
2017-11-25T00:00:00-07:00,6.775675455729167 A
2017-11-26T00:00:00-07:00,6.982625325520833 A
2017-11-27T00:00:00-07:00,7.9285888671875 A
2017-11-28T00:00:00-07:00,8.188680013020834 A
2017-11-29T00:00:00-07:00,8.06689453125 A
2017-11-30T00:00:00-07:00,8.302815755208334 A
2017-12-01T00:00:00-07:00,7.944498697916667 A
2017-12-02T00:00:00-07:00,6.756062825520833 A
2017-12-03T00:00:00-07:00,6.820638020833333 A
2017-12-04T00:00:00-07:00,8.011555989583334 A
2017-12-05T00:00:00-07:00,8.034993489583334 A
2017-12-06T00:00:00-07:00,8.300577799479166 A
2017-12-07T00:00:00-07:00,8.411905924479166 A
2017-12-08T00:00:00-07:00,8.395589192708334 A
2017-12-09T00:00:00-07:00,7.51904296875 A
2017-12-10T00:00:00-07:00,7.499837239583333 A
2017-12-11T00:00:00-07:00,8.461466471354166 A
2017-12-12T00:00:00-07:00,8.310139973958334 A
2017-12-13T00:00:00-07:00,8.124064127604166 A
2017-12-14T00:00:00-07:00,8.111979166666666 A
2017-12-15T00:00:00-07:00,8.103190104166666 A
2017-12-16T00:00:00-07:00,7.356892903645833 A
2017-12-17T00:00:00-07:00,7.4493408203125 A
2017-12-18T00:00:00-07:00,8.04112293956044 A
2017-12-19T00:00:00-07:00,7.953653971354167 A
2017-12-20T00:00:00-07:00,8.25341796875 A
2017-12-21T00:00:00-07:00,8.557942708333334 A
2017-12-22T00:00:00-07:00,8.4046630859375 A
2017-12-23T00:00:00-07:00,7.008382161458333 A
2017-12-24T00:00:00-07:00,7.018269856770833 A
2017-12-25T00:00:00-07:00,7.005533854166667 A
2017-12-26T00:00:00-07:00,7.040201822916667 A
2017-12-27T00:00:00-07:00,7.06005859375 A
2017-12-28T00:00:00-07:00,7.261800130208333 A
2017-12-29T00:00:00-07:00,7.089152018229167 A
2017-12-30T00:00:00-07:00,6.9796142578125 A
2017-12-31T00:00:00-07:00,6.900553385416667 A
