Timestamp,"['20767e0f-d213dbb0 0011-BROWNING BLDG Power Meter 300033 W-hours, Received']"
2017-11-04T00:00:00-06:00,0.1199951171875 kWh
2017-11-05T00:00:00-06:00,0.1300048828125 kWh
2017-11-06T00:00:00-07:00,3.32000732421875 kWh
2017-11-07T00:00:00-07:00,6.8399658203125 kWh
2017-11-08T00:00:00-07:00,5.97998046875 kWh
2017-11-09T00:00:00-07:00,5.07000732421875 kWh
2017-11-10T00:00:00-07:00,6.20001220703125 kWh
2017-11-11T00:00:00-07:00,0.20001220703125 kWh
2017-11-12T00:00:00-07:00,0.3499755859375 kWh
2017-11-13T00:00:00-07:00,2.1700439453125 kWh
2017-11-14T00:00:00-07:00,10.13995361328125 kWh
2017-11-15T00:00:00-07:00,1.77001953125 kWh
2017-11-16T00:00:00-07:00,1.8499755859375 kWh
2017-11-17T00:00:00-07:00,5.9100341796875 kWh
2017-11-18T00:00:00-07:00,0.30999755859375 kWh
2017-11-19T00:00:00-07:00,0.09002685546875 kWh
2017-11-20T00:00:00-07:00,2.93994140625 kWh
2017-11-21T00:00:00-07:00,1.48004150390625 kWh
2017-11-22T00:00:00-07:00,1.739990234375 kWh
2017-11-23T00:00:00-07:00,0.02996826171875 kWh
2017-11-24T00:00:00-07:00,0.0400390625 kWh
2017-11-25T00:00:00-07:00,0.02996826171875 kWh
2017-11-26T00:00:00-07:00,0.05999755859375 kWh
2017-11-27T00:00:00-07:00,4.11004638671875 kWh
2017-11-28T00:00:00-07:00,2.88995361328125 kWh
2017-11-29T00:00:00-07:00,5.260009765625 kWh
2017-11-30T00:00:00-07:00,2.70001220703125 kWh
2017-12-01T00:00:00-07:00,3 kWh
2017-12-02T00:00:00-07:00,0 kWh
2017-12-03T00:00:00-07:00,0.20001220703125 kWh
2017-12-04T00:00:00-07:00,12.3399658203125 kWh
2017-12-05T00:00:00-07:00,6.59002685546875 kWh
2017-12-06T00:00:00-07:00,7.489990234375 kWh
2017-12-07T00:00:00-07:00,9.010009765625 kWh
2017-12-08T00:00:00-07:00,4.1400146484375 kWh
2017-12-09T00:00:00-07:00,0.219970703125 kWh
2017-12-10T00:00:00-07:00,0.44000244140625 kWh
2017-12-11T00:00:00-07:00,7.82000732421875 kWh
2017-12-12T00:00:00-07:00,8.53997802734375 kWh
2017-12-13T00:00:00-07:00,5.010009765625 kWh
2017-12-14T00:00:00-07:00,7.77001953125 kWh
2017-12-15T00:00:00-07:00,6.010009765625 kWh
2017-12-16T00:00:00-07:00,0.510009765625 kWh
2017-12-17T00:00:00-07:00,0.2099609375 kWh
2017-12-18T00:00:00-07:00,3.05999755859375 kWh
2017-12-19T00:00:00-07:00,2.260009765625 kWh
2017-12-20T00:00:00-07:00,3.1199951171875 kWh
2017-12-21T00:00:00-07:00,3.6600341796875 kWh
2017-12-22T00:00:00-07:00,1.1300048828125 kWh
2017-12-23T00:00:00-07:00,0.16998291015625 kWh
2017-12-24T00:00:00-07:00,0.1199951171875 kWh
2017-12-25T00:00:00-07:00,0 kWh
2017-12-26T00:00:00-07:00,0.04998779296875 kWh
2017-12-27T00:00:00-07:00,0.75 kWh
2017-12-28T00:00:00-07:00,0.42999267578125 kWh
2017-12-29T00:00:00-07:00,0.10003662109375 kWh
2017-12-30T00:00:00-07:00,0.1300048828125 kWh
2017-12-31T00:00:00-07:00,0.12994384765625 kWh
