Timestamp,Museum of Natural History Temp,Museum of Natural History Humidity,0011-BROWNING BLDG Power Meter 300033 Current C,"0011-BROWNING BLDG Power Meter 300033 Watts, 3-Ph total",0011-BROWNING BLDG Power Meter 300033 Current B,0011-BROWNING BLDG Power Meter 300033 Current A,"0011-BROWNING BLDG Power Meter 300033 W-hours, Received"
2017-04-01T11:35:00-06:00 Denver,52.0880012512207°F,39.43%,,,,,
2017-04-01T11:40:00-06:00 Denver,53.36600112915039°F,37.80%,,,,,
2017-04-01T11:45:00-06:00 Denver,53.20399856567383°F,38.43%,,,,,
2017-04-01T11:50:00-06:00 Denver,54.03200149536133°F,37.64%,,,,,
2017-04-01T11:55:00-06:00 Denver,54.698001861572266°F,37.54%,,,,,
2017-04-01T12:00:00-06:00 Denver,55.652000427246094°F,36.59%,,,,,
2017-04-01T12:05:00-06:00 Denver,55.81399917602539°F,35.77%,,,,,
2017-04-01T12:10:00-06:00 Denver,56.80400085449219°F,35.36%,,,,,
2017-04-01T12:15:00-06:00 Denver,55.99399948120117°F,37.26%,,,,,
2017-04-01T12:20:00-06:00 Denver,57.07400131225586°F,33.90%,,,,,
2017-04-01T12:25:00-06:00 Denver,57.45199966430664°F,34.63%,,,,,
2017-04-01T12:30:00-06:00 Denver,58.29800033569336°F,34.38%,,,,,
2017-04-01T12:35:00-06:00 Denver,59.018001556396484°F,33.05%,,,,,
2017-04-01T12:40:00-06:00 Denver,59.198001861572266°F,32.93%,,,,,
2017-04-01T12:45:00-06:00 Denver,59.108001708984375°F,35.53%,,,,,
2017-04-01T12:50:00-06:00 Denver,58.082000732421875°F,33.41%,,,,,
2017-04-01T12:55:00-06:00 Denver,56.768001556396484°F,34.66%,,,,,
2017-04-01T13:00:00-06:00 Denver,56.98400115966797°F,34.50%,,,,,
2017-04-01T13:05:00-06:00 Denver,57.7400016784668°F,33.46%,,,,,
2017-04-01T13:10:00-06:00 Denver,58.38800048828125°F,32.45%,,,,,
2017-04-01T13:15:00-06:00 Denver,58.85599899291992°F,31.64%,,,,,
2017-04-01T13:20:00-06:00 Denver,59.071998596191406°F,32.80%,,,,,
2017-04-01T13:25:00-06:00 Denver,59.486000061035156°F,32.17%,,,,,
2017-04-01T13:30:00-06:00 Denver,60.619998931884766°F,31.63%,,,,,
2017-04-01T13:35:00-06:00 Denver,60.0260009765625°F,32.38%,,,,,
2017-04-01T13:40:00-06:00 Denver,60.007999420166016°F,31.71%,,,,,
2017-04-01T13:45:00-06:00 Denver,61.50199890136719°F,31.62%,,,,,
2017-04-01T13:50:00-06:00 Denver,61.141998291015625°F,32.94%,,,,,
2017-04-01T13:55:00-06:00 Denver,61.66400146484375°F,31.36%,,,,,
2017-04-01T14:00:00-06:00 Denver,61.89799880981445°F,31.03%,,,,,
2017-04-01T14:05:00-06:00 Denver,60.36800003051758°F,36.19%,,,,,
2017-04-01T14:10:00-06:00 Denver,58.72999954223633°F,37.15%,,,,,
2017-04-01T14:15:00-06:00 Denver,58.33399963378906°F,37.65%,,,,,
2017-04-01T14:20:00-06:00 Denver,57.30799865722656°F,38.16%,,,,,
2017-04-01T14:25:00-06:00 Denver,56.9119987487793°F,40.24%,,,,,
2017-04-01T14:30:00-06:00 Denver,57.50600051879883°F,39.34%,,,,,
2017-04-01T14:35:00-06:00 Denver,57.63199996948242°F,40.62%,,,,,
2017-04-01T14:40:00-06:00 Denver,57.650001525878906°F,42.52%,,,,,
2017-04-01T14:45:00-06:00 Denver,57.09199905395508°F,42.48%,,,,,
2017-04-01T14:50:00-06:00 Denver,56.42599868774414°F,42.94%,,,,,
2017-04-01T14:55:00-06:00 Denver,56.65999984741211°F,42.37%,,,,,
2017-04-01T15:00:00-06:00 Denver,57.20000076293945°F,39.97%,,,,,
2017-04-01T15:05:00-06:00 Denver,57.145999908447266°F,43.90%,,,,,
2017-04-01T15:10:00-06:00 Denver,56.65999984741211°F,44.59%,,,,,
2017-04-01T15:15:00-06:00 Denver,56.965999603271484°F,44.04%,,,,,
2017-04-01T15:20:00-06:00 Denver,56.80400085449219°F,44.56%,,,,,
2017-04-01T15:25:00-06:00 Denver,56.60599899291992°F,43.72%,,,,,
2017-04-01T15:30:00-06:00 Denver,56.98400115966797°F,43.08%,,,,,
2017-04-01T15:35:00-06:00 Denver,57.145999908447266°F,42.28%,,,,,
2017-04-01T15:40:00-06:00 Denver,56.119998931884766°F,43.30%,,,,,
2017-04-01T15:45:00-06:00 Denver,57.16400146484375°F,42.28%,,,,,
2017-04-01T15:50:00-06:00 Denver,56.69599914550781°F,43.20%,,,,,
2017-04-01T15:55:00-06:00 Denver,56.93000030517578°F,44.84%,,,,,
2017-04-01T16:00:00-06:00 Denver,56.47999954223633°F,45.41%,,,,,
2017-04-01T16:05:00-06:00 Denver,56.13800048828125°F,44.97%,,,,,
2017-04-01T16:10:00-06:00 Denver,55.652000427246094°F,47.20%,,,,,
2017-04-01T16:15:00-06:00 Denver,55.05799865722656°F,47.29%,,,,,
2017-04-01T16:20:00-06:00 Denver,55.81399917602539°F,47.09%,,,,,
2017-04-01T16:25:00-06:00 Denver,56.37200164794922°F,47.90%,,,,,
