Timestamp,"Layton, UT Sunrise/Sunset","Layton, UT Humidity","Layton, UT Cond","Layton, UT Temp",Museum of Natural History Temp,Museum of Natural History Humidity,"Salt Lake City, UT Temp","Salt Lake City, UT Cond","Salt Lake City, UT Sunrise/Sunset","Salt Lake City, UT Humidity"
2017-04-22T05:20:00-06:00 Denver,"","","","",36.5°F,"","","","",""
2017-04-22T05:25:00-06:00 Denver,"","","","",36.013999938964844°F,"","","","",""
2017-04-22T05:30:00-06:00 Denver,"","","","",35.79800033569336°F,"","","","",""
2017-04-22T05:35:00-06:00 Denver,"","","","",36.481998443603516°F,"","","","",""
2017-04-22T05:40:00-06:00 Denver,"","","","",37.34600067138672°F,"","","","",""
2017-04-22T05:45:00-06:00 Denver,"","","","",37.832000732421875°F,"","","","",""
2017-04-22T05:50:00-06:00 Denver,"","","","",37.27399826049805°F,"","","","",""
2017-04-22T05:55:00-06:00 Denver,"","","","",37.09400177001953°F,"","","","",""
2017-04-22T06:00:00-06:00 Denver,"",63%,1,38°F,37.43600082397461°F,"",36°F,1_unknown,"",69%
2017-04-22T06:05:00-06:00 Denver,"","","","",37.70600128173828°F,"","","","",""
2017-04-22T06:10:00-06:00 Denver,"","","","",37.6879997253418°F,"","","","",""
2017-04-22T06:15:00-06:00 Denver,"","","","",38.10200119018555°F,"","","","",""
2017-04-22T06:20:00-06:00 Denver,"","","","",37.99399948120117°F,"","","","",""
2017-04-22T06:25:00-06:00 Denver,"","","","",38.17399978637695°F,"","","","",""
2017-04-22T06:30:00-06:00 Denver,"","","","",37.922000885009766°F,"","","","",""
2017-04-22T06:35:00-06:00 Denver,"","","","",37.14799880981445°F,"","","","",""
2017-04-22T06:37:00-06:00 Denver,true,"","","","","","","","",""
2017-04-22T06:38:00-06:00 Denver,"","","","","","","","",true,""
2017-04-22T06:40:00-06:00 Denver,"","","","",37.00400161743164°F,"","","","",""
2017-04-22T06:45:00-06:00 Denver,"","","","",36.55400085449219°F,"","","","",""
2017-04-22T06:50:00-06:00 Denver,"","","","",36.715999603271484°F,"","","","",""
2017-04-22T06:55:00-06:00 Denver,"","","","",37.09400177001953°F,"","","","",""
2017-04-22T07:00:00-06:00 Denver,"",59%,1,40°F,38.22800064086914°F,"",40°F,1_unknown,"",65%
2017-04-22T07:05:00-06:00 Denver,"","","","",38.33599853515625°F,"","","","",""
2017-04-22T07:10:00-06:00 Denver,"","","","",38.60599899291992°F,"","","","",""
2017-04-22T07:15:00-06:00 Denver,"","","","",38.33599853515625°F,"","","","",""
2017-04-22T07:20:00-06:00 Denver,"","","","",38.534000396728516°F,"","","","",""
2017-04-22T07:25:00-06:00 Denver,"","","","",39.27199935913086°F,"","","","",""
2017-04-22T07:30:00-06:00 Denver,"","","","",39.145999908447266°F,"","","","",""
2017-04-22T07:35:00-06:00 Denver,"","","","",39.9739990234375°F,"","","","",""
2017-04-22T07:40:00-06:00 Denver,"","","","",39.9379997253418°F,"","","","",""
2017-04-22T07:45:00-06:00 Denver,"","","","",40.29800033569336°F,"","","","",""
2017-04-22T07:50:00-06:00 Denver,"","","","",40.53200149536133°F,"","","","",""
2017-04-22T07:55:00-06:00 Denver,"","","","",40.63999938964844°F,"","","","",""
2017-04-22T08:00:00-06:00 Denver,"",54%,1,43°F,40.76599884033203°F,"",44°F,1_unknown,"",62%
2017-04-22T08:05:00-06:00 Denver,"","","","",40.56800079345703°F,"","","","",""
2017-04-22T08:10:00-06:00 Denver,"","","","",40.90999984741211°F,"","","","",""
2017-04-22T08:15:00-06:00 Denver,"","","","",40.928001403808594°F,"","","","",""
2017-04-22T08:20:00-06:00 Denver,"","","","",41.14400100708008°F,"","","","",""
2017-04-22T08:25:00-06:00 Denver,"","","","",41.32400131225586°F,"","","","",""
2017-04-22T08:30:00-06:00 Denver,"","","","",41.52199935913086°F,"","","","",""
2017-04-22T08:35:00-06:00 Denver,"","","","",41.59400177001953°F,"","","","",""
2017-04-22T08:40:00-06:00 Denver,"","","","",41.79199981689453°F,"","","","",""
2017-04-22T08:45:00-06:00 Denver,"","","","",42.349998474121094°F,"","","","",""
2017-04-22T08:50:00-06:00 Denver,"","","","",42.512001037597656°F,"","","","",""
2017-04-22T08:55:00-06:00 Denver,"","","","",42.83599853515625°F,"","","","",""
2017-04-22T09:00:00-06:00 Denver,"",50%,1,45°F,43.30400085449219°F,"",49°F,1_unknown,"",58%
2017-04-22T09:05:00-06:00 Denver,"","","","",43.448001861572266°F,"","","","",""
2017-04-22T09:10:00-06:00 Denver,"","","","",43.790000915527344°F,"","","","",""
2017-04-22T09:15:00-06:00 Denver,"","","","",44.150001525878906°F,"","","","",""
2017-04-22T09:20:00-06:00 Denver,"","","","",44.582000732421875°F,"","","","",""
2017-04-22T09:25:00-06:00 Denver,"","","","",45.17599868774414°F,"","","","",""
2017-04-22T09:30:00-06:00 Denver,"","","","",45.68000030517578°F,"","","","",""
2017-04-22T09:35:00-06:00 Denver,"","","","",46.040000915527344°F,"","","","",""
2017-04-22T09:40:00-06:00 Denver,"","","","",46.507999420166016°F,"","","","",""
2017-04-22T09:45:00-06:00 Denver,"","","","",47.13800048828125°F,"","","","",""
2017-04-22T09:50:00-06:00 Denver,"","","","",47.47999954223633°F,"","","","",""
2017-04-22T09:55:00-06:00 Denver,"","","","",47.42599868774414°F,"","","","",""
2017-04-22T10:00:00-06:00 Denver,"",46%,1,47°F,47.47999954223633°F,"",50°F,1_unknown,"",50%
2017-04-22T10:05:00-06:00 Denver,"","","","",47.69599914550781°F,"","","","",""
2017-04-22T10:10:00-06:00 Denver,"","","","",47.31800079345703°F,"","","","",""
2017-04-22T10:15:00-06:00 Denver,"","","","",47.49800109863281°F,"","","","",""
2017-04-22T10:20:00-06:00 Denver,"","","","",47.9119987487793°F,"","","","",""
2017-04-22T10:25:00-06:00 Denver,"","","","",48.50600051879883°F,"","","","",""
2017-04-22T10:30:00-06:00 Denver,"","","","",48.86600112915039°F,"","","","",""
2017-04-22T10:35:00-06:00 Denver,"","","","",48.68600082397461°F,"","","","",""
2017-04-22T10:40:00-06:00 Denver,"","","","",48.667999267578125°F,"","","","",""
2017-04-22T10:45:00-06:00 Denver,"","","","",48.54199981689453°F,"","","","",""
2017-04-22T10:50:00-06:00 Denver,"","","","",48.847999572753906°F,"","","","",""
2017-04-22T10:55:00-06:00 Denver,"","","","",48.61399841308594°F,"","","","",""
2017-04-22T11:00:00-06:00 Denver,"",42%,1,49°F,49.44200134277344°F,"",52°F,1_unknown,"",42%
2017-04-22T11:05:00-06:00 Denver,"","","","",48.902000427246094°F,"","","","",""
2017-04-22T11:10:00-06:00 Denver,"","","","",49.04600143432617°F,"","","","",""
2017-04-22T11:15:00-06:00 Denver,"","","","",49.22600173950195°F,"","","","",""
2017-04-22T11:20:00-06:00 Denver,"","","","",49.81999969482422°F,"","","","",""
2017-04-22T11:25:00-06:00 Denver,"","","","",50.071998596191406°F,"","","","",""
2017-04-22T11:30:00-06:00 Denver,"","","","",49.604000091552734°F,"","","","",""
2017-04-22T11:35:00-06:00 Denver,"","","","",50.66600036621094°F,"","","","",""
2017-04-22T11:40:00-06:00 Denver,"","","","",50.125999450683594°F,"","","","",""
2017-04-22T11:45:00-06:00 Denver,"","","","",50.70199966430664°F,"","","","",""
2017-04-22T11:50:00-06:00 Denver,"","","","",51.69200134277344°F,"","","","",""
2017-04-22T11:55:00-06:00 Denver,"","","","",51.49399948120117°F,"","","","",""
2017-04-22T12:00:00-06:00 Denver,"",38%,1,50°F,52.75400161743164°F,"",54°F,1_unknown,"",34%
2017-04-22T12:05:00-06:00 Denver,"","","","",53.11399841308594°F,"","","","",""
2017-04-22T12:10:00-06:00 Denver,"","","","",53.92399978637695°F,"","","","",""
2017-04-22T12:15:00-06:00 Denver,"","","","",53.45600128173828°F,"","","","",""
2017-04-22T12:20:00-06:00 Denver,"","","","",53.2760009765625°F,"","","","",""
2017-04-22T12:25:00-06:00 Denver,"","","","",54.55400085449219°F,"","","","",""
2017-04-22T12:30:00-06:00 Denver,"","","","",53.492000579833984°F,"","","","",""
2017-04-22T12:35:00-06:00 Denver,"","","","",53.5099983215332°F,"","","","",""
2017-04-22T12:40:00-06:00 Denver,"","","","",53.582000732421875°F,"","","","",""
2017-04-22T12:45:00-06:00 Denver,"","","","",53.56399917602539°F,"","","","",""
2017-04-22T12:50:00-06:00 Denver,"","","","",53.90599822998047°F,"","","","",""
2017-04-22T12:55:00-06:00 Denver,"","","","",54.44599914550781°F,"","","","",""
2017-04-22T13:00:00-06:00 Denver,"",36%,1,54°F,55.7239990234375°F,"",57°F,1_unknown,"",33%
2017-04-22T13:05:00-06:00 Denver,"","","","",56.209999084472656°F,"","","","",""
2017-04-22T13:10:00-06:00 Denver,"","","","",56.624000549316406°F,"","","","",""
2017-04-22T13:15:00-06:00 Denver,"","","","",56.60599899291992°F,"","","","",""
2017-04-22T13:20:00-06:00 Denver,"","","","",57.470001220703125°F,"","","","",""
2017-04-22T13:25:00-06:00 Denver,"","","","",56.858001708984375°F,"","","","",""
2017-04-22T13:30:00-06:00 Denver,"","","","",56.89400100708008°F,"","","","",""
2017-04-22T13:35:00-06:00 Denver,"","","","",56.821998596191406°F,"","","","",""
2017-04-22T13:40:00-06:00 Denver,"","","","",57.577999114990234°F,"","","","",""
2017-04-22T13:45:00-06:00 Denver,"","","","",57.055999755859375°F,"","","","",""
2017-04-22T13:50:00-06:00 Denver,"","","","",55.507999420166016°F,"","","","",""
2017-04-22T13:55:00-06:00 Denver,"","","","",55.54399871826172°F,"","","","",""
2017-04-22T14:00:00-06:00 Denver,"",34%,1,58°F,57.055999755859375°F,"",60°F,1_unknown,"",32%
2017-04-22T14:05:00-06:00 Denver,"","","","",56.10200119018555°F,"","","","",""
2017-04-22T14:10:00-06:00 Denver,"","","","",55.81399917602539°F,"","","","",""
2017-04-22T14:15:00-06:00 Denver,"","","","",56.40800094604492°F,"","","","",""
2017-04-22T14:20:00-06:00 Denver,"","","","",57.30799865722656°F,"","","","",""
2017-04-22T14:25:00-06:00 Denver,"","","","",57.7760009765625°F,"","","","",""
2017-04-22T14:30:00-06:00 Denver,"","","","",57.902000427246094°F,"","","","",""
2017-04-22T14:35:00-06:00 Denver,"","","","",59.1619987487793°F,"","","","",""
2017-04-22T14:40:00-06:00 Denver,"","","","",59.071998596191406°F,"","","","",""
2017-04-22T14:45:00-06:00 Denver,"","","","",57.63199996948242°F,"","","","",""
2017-04-22T14:50:00-06:00 Denver,"","","","",57.59600067138672°F,"","","","",""
2017-04-22T14:55:00-06:00 Denver,"","","","",59.32400131225586°F,"","","","",""
2017-04-22T15:00:00-06:00 Denver,"",32%,1,61°F,58.90999984741211°F,"",63°F,1_unknown,"",31%
2017-04-22T15:05:00-06:00 Denver,"","","","",59.70199966430664°F,"","","","",""
2017-04-22T15:10:00-06:00 Denver,"","","","",59.071998596191406°F,"","","","",""
2017-04-22T15:15:00-06:00 Denver,"","","","",58.316001892089844°F,"","","","",""
2017-04-22T15:20:00-06:00 Denver,"","","","",58.8380012512207°F,"","","","",""
2017-04-22T15:25:00-06:00 Denver,"","","","",58.604000091552734°F,"","","","",""
2017-04-22T15:30:00-06:00 Denver,"","","","",59.125999450683594°F,"","","","",""
2017-04-22T15:35:00-06:00 Denver,"","","","",60.097999572753906°F,"","","","",""
2017-04-22T15:40:00-06:00 Denver,"","","","",59.900001525878906°F,"","","","",""
2017-04-22T15:45:00-06:00 Denver,"","","","",60.49399948120117°F,"","","","",""
2017-04-22T15:50:00-06:00 Denver,"","","","",61.52000045776367°F,"","","","",""
2017-04-22T15:55:00-06:00 Denver,"","","","",61.89799880981445°F,"","","","",""
2017-04-22T16:00:00-06:00 Denver,"",30%,1,61°F,62.2400016784668°F,"",57°F,1_unknown,"",29%
2017-04-22T16:05:00-06:00 Denver,"","","","",63.013999938964844°F,"","","","",""
2017-04-22T16:10:00-06:00 Denver,"","","","",62.94200134277344°F,"","","","",""
2017-04-22T16:15:00-06:00 Denver,"","","","",60.152000427246094°F,"","","","",""
2017-04-22T16:20:00-06:00 Denver,"","","","",59.93600082397461°F,"","","","",""
2017-04-22T16:25:00-06:00 Denver,"","","","",61.231998443603516°F,"","","","",""
2017-04-22T16:30:00-06:00 Denver,"","","","",62.18600082397461°F,"","","","",""
2017-04-22T16:35:00-06:00 Denver,"","","","",63.26599884033203°F,"","","","",""
2017-04-22T16:40:00-06:00 Denver,"","","","",62.63600158691406°F,"","","","",""
2017-04-22T16:45:00-06:00 Denver,"","","","",61.051998138427734°F,"","","","",""
2017-04-22T16:50:00-06:00 Denver,"","","","",61.89799880981445°F,"","","","",""
2017-04-22T16:55:00-06:00 Denver,"","","","",63.04999923706055°F,"","","","",""
2017-04-22T17:00:00-06:00 Denver,"",29%,3,60°F,62.99599838256836°F,"",55°F,3_unknown,"",29%
2017-04-22T17:05:00-06:00 Denver,"","","","",62.22200012207031°F,"","","","",""
2017-04-22T17:10:00-06:00 Denver,"","","","",61.465999603271484°F,"","","","",""
2017-04-22T17:15:00-06:00 Denver,"","","","",62.2760009765625°F,"","","","",""
2017-04-22T17:20:00-06:00 Denver,"","","","",63.08599853515625°F,"","","","",""
2017-04-22T17:25:00-06:00 Denver,"","","","",64.02200317382812°F,"","","","",""
2017-04-22T17:30:00-06:00 Denver,"","","","",63.284000396728516°F,"","","","",""
2017-04-22T17:35:00-06:00 Denver,"","","","",62.99599838256836°F,"","","","",""
2017-04-22T17:40:00-06:00 Denver,"","","","",62.97800064086914°F,"","","","",""
2017-04-22T17:45:00-06:00 Denver,"","","","",63.625999450683594°F,"","","","",""
2017-04-22T17:50:00-06:00 Denver,"","","","",63.82400131225586°F,"","","","",""
2017-04-22T17:55:00-06:00 Denver,"","","","",63.04999923706055°F,"","","","",""
2017-04-22T18:00:00-06:00 Denver,"",27%,3,59°F,61.62799835205078°F,"",52°F,3_unknown,"",28%
2017-04-22T18:05:00-06:00 Denver,"","","","",61.39400100708008°F,"","","","",""
2017-04-22T18:10:00-06:00 Denver,"","","","",60.90800094604492°F,"","","","",""
2017-04-22T18:15:00-06:00 Denver,"","","","",61.880001068115234°F,"","","","",""
2017-04-22T18:20:00-06:00 Denver,"","","","",63.35599899291992°F,"","","","",""
2017-04-22T18:25:00-06:00 Denver,"","","","",62.077999114990234°F,"","","","",""
2017-04-22T18:30:00-06:00 Denver,"","","","",62.02399826049805°F,"","","","",""
2017-04-22T18:35:00-06:00 Denver,"","","","",60.83599853515625°F,"","","","",""
2017-04-22T18:40:00-06:00 Denver,"","","","",59.52199935913086°F,"","","","",""
2017-04-22T18:45:00-06:00 Denver,"","","","",59.486000061035156°F,"","","","",""
2017-04-22T18:50:00-06:00 Denver,"","","","",59.36000061035156°F,"","","","",""
2017-04-22T18:55:00-06:00 Denver,"","","","",58.44200134277344°F,"","","","",""
2017-04-22T19:00:00-06:00 Denver,"",31%,3,57°F,58.082000732421875°F,"",49°F,3_unknown,"",34%
2017-04-22T19:05:00-06:00 Denver,"","","","",58.13600158691406°F,"","","","",""
2017-04-22T19:10:00-06:00 Denver,"","","","",57.63199996948242°F,"","","","",""
2017-04-22T19:15:00-06:00 Denver,"","","","",57.577999114990234°F,"","","","",""
2017-04-22T19:20:00-06:00 Denver,"","","","",57.72200012207031°F,"","","","",""
2017-04-22T19:25:00-06:00 Denver,"","","","",57.577999114990234°F,"","","","",""
2017-04-22T19:30:00-06:00 Denver,"","","","",56.98400115966797°F,"","","","",""
2017-04-22T19:35:00-06:00 Denver,"","","","",56.89400100708008°F,"","","","",""
2017-04-22T19:40:00-06:00 Denver,"","","","",56.49800109863281°F,"","","","",""
2017-04-22T19:45:00-06:00 Denver,"","","","",56.17399978637695°F,"","","","",""
2017-04-22T19:50:00-06:00 Denver,"","","","",55.922000885009766°F,"","","","",""
2017-04-22T19:55:00-06:00 Denver,"","","","",55.61600112915039°F,"","","","",""
2017-04-22T20:00:00-06:00 Denver,"",34%,3,55°F,55.05799865722656°F,"",46°F,3_unknown,"",39%
2017-04-22T20:05:00-06:00 Denver,"","","","",54.82400131225586°F,"","","","",""
2017-04-22T20:10:00-06:00 Denver,"","","","",54.518001556396484°F,"","","","",""
2017-04-22T20:15:00-06:00 Denver,false,"","","",54.22999954223633°F,"","","",false,""
2017-04-22T20:25:00-06:00 Denver,"","","","",53.689998626708984°F,"","","","",""
2017-04-22T20:30:00-06:00 Denver,"","","","",53.38399887084961°F,"","","","",""
2017-04-22T20:35:00-06:00 Denver,"","","","",53.22200012207031°F,"","","","",""
2017-04-22T20:40:00-06:00 Denver,"","","","",53.02399826049805°F,"","","","",""
2017-04-22T20:45:00-06:00 Denver,"","","","",52.86199951171875°F,"","","","",""
2017-04-22T20:50:00-06:00 Denver,"","","","",52.790000915527344°F,"","","","",""
2017-04-22T20:55:00-06:00 Denver,"","","","",52.59199905395508°F,"","","","",""
2017-04-22T21:00:00-06:00 Denver,"",38%,3,52°F,52.268001556396484°F,"",43°F,3_unknown,"",45%
2017-04-22T21:05:00-06:00 Denver,"","","","",52.051998138427734°F,"","","","",""
2017-04-22T21:10:00-06:00 Denver,"","","","",51.854000091552734°F,"","","","",""
2017-04-22T21:15:00-06:00 Denver,"","","","",51.45800018310547°F,"","","","",""
2017-04-22T21:20:00-06:00 Denver,"","","","",50.93600082397461°F,"","","","",""
2017-04-22T21:25:00-06:00 Denver,"","","","",50.28799819946289°F,"","","","",""
2017-04-22T21:30:00-06:00 Denver,"","","","",49.8380012512207°F,"","","","",""
2017-04-22T21:35:00-06:00 Denver,"","","","",49.76599884033203°F,"","","","",""
2017-04-22T21:40:00-06:00 Denver,"","","","",49.33399963378906°F,"","","","",""
2017-04-22T21:45:00-06:00 Denver,"","","","",48.86600112915039°F,"","","","",""
2017-04-22T21:50:00-06:00 Denver,"","","","",49.15399932861328°F,"","","","",""
2017-04-22T21:55:00-06:00 Denver,"","","","",49.11800003051758°F,"","","","",""
2017-04-22T22:00:00-06:00 Denver,"",40%,3,52°F,49.874000549316406°F,"",46°F,3_unknown,"",46%
2017-04-22T22:05:00-06:00 Denver,"","","","",50.25199890136719°F,"","","","",""
2017-04-22T22:10:00-06:00 Denver,"","","","",50.486000061035156°F,"","","","",""
2017-04-22T22:15:00-06:00 Denver,"","","","",50.25199890136719°F,"","","","",""
2017-04-22T22:20:00-06:00 Denver,"","","","",49.47800064086914°F,"","","","",""
2017-04-22T22:25:00-06:00 Denver,"","","","",49.02799987792969°F,"","","","",""
2017-04-22T22:30:00-06:00 Denver,"","","","",48.95600128173828°F,"","","","",""
2017-04-22T22:35:00-06:00 Denver,"","","","",49.172000885009766°F,"","","","",""
2017-04-22T22:40:00-06:00 Denver,"","","","",48.7760009765625°F,"","","","",""
2017-04-22T22:45:00-06:00 Denver,"","","","",48.560001373291016°F,"","","","",""
2017-04-22T22:50:00-06:00 Denver,"","","","",49.11800003051758°F,"","","","",""
2017-04-22T22:55:00-06:00 Denver,"","","","",49.22600173950195°F,"","","","",""
2017-04-22T23:00:00-06:00 Denver,"",42%,2,51°F,48.7400016784668°F,"",49°F,2_unknown,"",48%
2017-04-22T23:05:00-06:00 Denver,"","","","",48.577999114990234°F,"","","","",""
2017-04-22T23:10:00-06:00 Denver,"","","","",48.39799880981445°F,"","","","",""
2017-04-22T23:15:00-06:00 Denver,"","","","",48.992000579833984°F,"","","","",""
2017-04-22T23:20:00-06:00 Denver,"","","","",48.70399856567383°F,"","","","",""
2017-04-22T23:25:00-06:00 Denver,"","","","",48.27199935913086°F,"","","","",""
2017-04-22T23:30:00-06:00 Denver,"","","","",48.30799865722656°F,"","","","",""
2017-04-22T23:35:00-06:00 Denver,"","","","",48.8120002746582°F,"","","","",""
2017-04-22T23:40:00-06:00 Denver,"","","","",48.83000183105469°F,"","","","",""
2017-04-22T23:45:00-06:00 Denver,"","","","",48.59600067138672°F,"","","","",""
2017-04-22T23:50:00-06:00 Denver,"","","","",48.79399871826172°F,"","","","",""
2017-04-22T23:55:00-06:00 Denver,"","","","",48.470001220703125°F,"","","","",""
2017-04-23T00:00:00-06:00 Denver,"",44%,2,50°F,48.45199966430664°F,"",52°F,2_unknown,"",49%
2017-04-23T00:05:00-06:00 Denver,"","","","",48.32600021362305°F,"","","","",""
2017-04-23T00:10:00-06:00 Denver,"","","","",47.821998596191406°F,"","","","",""
2017-04-23T00:15:00-06:00 Denver,"","","","",47.60599899291992°F,"","","","",""
2017-04-23T00:20:00-06:00 Denver,"","","","",48.07400131225586°F,"","","","",""
2017-04-23T00:25:00-06:00 Denver,"","","","",47.066001892089844°F,"","","","",""
2017-04-23T00:30:00-06:00 Denver,"","","","",47.04800033569336°F,"","","","",""
2017-04-23T00:35:00-06:00 Denver,"","","","",47.534000396728516°F,"","","","",""
2017-04-23T00:40:00-06:00 Denver,"","","","",48.59600067138672°F,"","","","",""
2017-04-23T00:45:00-06:00 Denver,"","","","",49.35200119018555°F,"","","","",""
2017-04-23T00:50:00-06:00 Denver,"","","","",49.54999923706055°F,"","","","",""
2017-04-23T00:55:00-06:00 Denver,"","","","",49.76599884033203°F,"","","","",""
2017-04-23T01:00:00-06:00 Denver,"",44%,2,49°F,49.694000244140625°F,"",52°F,2_unknown,"",48%
2017-04-23T01:05:00-06:00 Denver,"","","","",49.9640007019043°F,"","","","",""
2017-04-23T01:10:00-06:00 Denver,"","","","",50.86399841308594°F,"","","","",""
2017-04-23T01:15:00-06:00 Denver,"","","","",50.305999755859375°F,"","","","",""
2017-04-23T01:20:00-06:00 Denver,"","","","",50.41400146484375°F,"","","","",""
2017-04-23T01:25:00-06:00 Denver,"","","","",51.54800033569336°F,"","","","",""
2017-04-23T01:30:00-06:00 Denver,"","","","",49.71200180053711°F,"","","","",""
2017-04-23T01:35:00-06:00 Denver,"","","","",49.891998291015625°F,"","","","",""
2017-04-23T01:40:00-06:00 Denver,"","","","",49.53200149536133°F,"","","","",""
2017-04-23T01:45:00-06:00 Denver,"","","","",49.62200164794922°F,"","","","",""
2017-04-23T01:50:00-06:00 Denver,"","","","",50.198001861572266°F,"","","","",""
2017-04-23T01:55:00-06:00 Denver,"","","","",49.71200180053711°F,"","","","",""
2017-04-23T02:00:00-06:00 Denver,"",44%,1,48°F,49.891998291015625°F,"",51°F,3_unknown,"",47%
2017-04-23T02:05:00-06:00 Denver,"","","","",49.94599914550781°F,"","","","",""
2017-04-23T02:10:00-06:00 Denver,"","","","",50.43199920654297°F,"","","","",""
2017-04-23T02:15:00-06:00 Denver,"","","","",50.25199890136719°F,"","","","",""
2017-04-23T02:20:00-06:00 Denver,"","","","",49.71200180053711°F,"","","","",""
2017-04-23T02:25:00-06:00 Denver,"","","","",50.61199951171875°F,"","","","",""
2017-04-23T02:30:00-06:00 Denver,"","","","",50.55799865722656°F,"","","","",""
2017-04-23T02:35:00-06:00 Denver,"","","","",49.513999938964844°F,"","","","",""
2017-04-23T02:40:00-06:00 Denver,"","","","",50.05400085449219°F,"","","","",""
2017-04-23T02:45:00-06:00 Denver,"","","","",50.50400161743164°F,"","","","",""
2017-04-23T02:50:00-06:00 Denver,"","","","",50.25199890136719°F,"","","","",""
2017-04-23T02:55:00-06:00 Denver,"","","","",51.0620002746582°F,"","","","",""
2017-04-23T03:00:00-06:00 Denver,"",44%,1,47°F,51.007999420166016°F,"",50°F,3_unknown,"",46%
2017-04-23T03:05:00-06:00 Denver,"","","","",50.395999908447266°F,"","","","",""
2017-04-23T03:10:00-06:00 Denver,"","","","",50.108001708984375°F,"","","","",""
2017-04-23T03:15:00-06:00 Denver,"","","","",50.486000061035156°F,"","","","",""
2017-04-23T03:20:00-06:00 Denver,"","","","",51.16999816894531°F,"","","","",""
2017-04-23T03:25:00-06:00 Denver,"","","","",51.2239990234375°F,"","","","",""
2017-04-23T03:30:00-06:00 Denver,"","","","",51.78200149536133°F,"","","","",""
2017-04-23T03:35:00-06:00 Denver,"","","","",51.65599822998047°F,"","","","",""
2017-04-23T03:40:00-06:00 Denver,"","","","",51.0260009765625°F,"","","","",""
2017-04-23T03:45:00-06:00 Denver,"","","","",50.57600021362305°F,"","","","",""
2017-04-23T03:50:00-06:00 Denver,"","","","",51.0260009765625°F,"","","","",""
2017-04-23T03:55:00-06:00 Denver,"","","","",50.305999755859375°F,"","","","",""
2017-04-23T04:00:00-06:00 Denver,"",45%,1,46°F,49.9640007019043°F,"",50°F,3_unknown,"",46%
2017-04-23T04:05:00-06:00 Denver,"","","","",50.45000076293945°F,"","","","",""
2017-04-23T04:10:00-06:00 Denver,"","","","",50.36000061035156°F,"","","","",""
2017-04-23T04:15:00-06:00 Denver,"","","","",49.94599914550781°F,"","","","",""
2017-04-23T04:20:00-06:00 Denver,"","","","",49.54999923706055°F,"","","","",""
2017-04-23T04:25:00-06:00 Denver,"","","","",49.604000091552734°F,"","","","",""
2017-04-23T04:30:00-06:00 Denver,"","","","",50.37799835205078°F,"","","","",""
2017-04-23T04:35:00-06:00 Denver,"","","","",50.46799850463867°F,"","","","",""
2017-04-23T04:40:00-06:00 Denver,"","","","",50.683998107910156°F,"","","","",""
2017-04-23T04:45:00-06:00 Denver,"","","","",49.53200149536133°F,"","","","",""
2017-04-23T04:50:00-06:00 Denver,"","","","",48.54199981689453°F,"","","","",""
2017-04-23T04:55:00-06:00 Denver,"","","","",49.58599853515625°F,"","","","",""
2017-04-23T05:00:00-06:00 Denver,"",45%,2,46°F,49.72999954223633°F,"",50°F,1_unknown,"",46%
2017-04-23T05:05:00-06:00 Denver,"","","","",49.801998138427734°F,"","","","",""
2017-04-23T05:10:00-06:00 Denver,"","","","",49.62200164794922°F,"","","","",""
2017-04-23T05:15:00-06:00 Denver,"","","","",49.42399978637695°F,"","","","",""
2017-04-23T05:20:00-06:00 Denver,"","","","",50.395999908447266°F,"","","","",""
2017-04-23T05:25:00-06:00 Denver,"","","","",51.83599853515625°F,"","","","",""
2017-04-23T05:30:00-06:00 Denver,"","","","",50.95399856567383°F,"","","","",""
2017-04-23T05:35:00-06:00 Denver,"","","","",52.01599884033203°F,"","","","",""
2017-04-23T05:40:00-06:00 Denver,"","","","",52.95199966430664°F,"","","","",""
2017-04-23T05:45:00-06:00 Denver,"","","","",53.2760009765625°F,"","","","",""
2017-04-23T05:50:00-06:00 Denver,"","","","",53.61800003051758°F,"","","","",""
2017-04-23T05:55:00-06:00 Denver,"","","","",51.97999954223633°F,"","","","",""
2017-04-23T06:00:00-06:00 Denver,"",46%,2,45°F,50.32400131225586°F,"",50°F,1_unknown,"",46%
2017-04-23T06:05:00-06:00 Denver,"","","","",51.47600173950195°F,"","","","",""
2017-04-23T06:10:00-06:00 Denver,"","","","",51.54800033569336°F,"","","","",""
2017-04-23T06:15:00-06:00 Denver,"","","","",49.74800109863281°F,"","","","",""
2017-04-23T06:20:00-06:00 Denver,"","","","",48.59600067138672°F,"","","","",""
2017-04-23T06:25:00-06:00 Denver,"","","","",48.09199905395508°F,"","","","",""
2017-04-23T06:30:00-06:00 Denver,"","","","",48.07400131225586°F,"","","","",""
2017-04-23T06:35:00-06:00 Denver,"","","","",49.02799987792969°F,"","","","",""
2017-04-23T06:36:00-06:00 Denver,true,"","","","","","","",true,""
2017-04-23T06:40:00-06:00 Denver,"","","","",48.95600128173828°F,"","","","",""
2017-04-23T06:45:00-06:00 Denver,"","","","",48.88399887084961°F,"","","","",""
2017-04-23T06:50:00-06:00 Denver,"","","","",49.891998291015625°F,"","","","",""
2017-04-23T06:55:00-06:00 Denver,"","","","",49.02799987792969°F,"","","","",""
2017-04-23T07:00:00-06:00 Denver,"",47%,2,46°F,49.29800033569336°F,"",52°F,1_unknown,"",44%
2017-04-23T07:05:00-06:00 Denver,"","","","",50.395999908447266°F,"","","","",""
2017-04-23T07:10:00-06:00 Denver,"","","","",50.77399826049805°F,"","","","",""
